DateTime,AddedIPs,RemovedIPs
1464472940,1,3
1464476479,1,0
1464480218,0,2
1464483743,4,0
1464487535,2,3
1464494489,1,3
1464498085,1,2
1464501744,1,0
1464508887,0,2
1464512514,4,3
1464516098,5,0
1464519688,0,2
1464523306,0,3
1464526912,2,4
1464530496,6,3
1464534207,1,2
1464537693,4,1
1464541303,0,3
1464544887,2,0
1464548546,1,2
1464552111,1,2
1464555744,3,2
1464559343,2,2
1464562886,1,1
1464566484,2,1
1464570085,2,1
1464573693,1,1
1464577289,1,1
1464580939,3,1
1464584731,0,3
1464588329,1,1
1464591931,1,0
1464595530,1,5
1464599132,0,1
1464602732,3,4
1464606332,6,1
1464609739,1,1
1464613283,1,0
1464616887,0,3
1464620486,1,2
1464627707,1,1
1464631307,0,2
1464634879,3,0
1464638509,2,1
1464642091,1,1
1464645683,2,0
1464649307,2,2
1464652880,1,1
1464656479,1,1
1464660112,0,1
1464663691,1,4
1464667307,3,0
1464670888,0,1
1464674478,1,1
1464678086,2,3
1464681708,6,2
1464688885,1,0
1464692508,1,1
1464696093,0,4
1464699708,1,1
1464703283,2,1
1464706881,1,2
1464710480,1,1
1464714080,5,6
1464717708,1,1
1464724915,2,2
1464728487,0,3
1464732094,0,1
1464735694,2,1
1464739327,5,1
1464742909,3,0
1464746540,1,1
1464753682,0,4
1464757340,0,3
1464760878,4,1
1464764508,0,2
1464768079,1,0
1464775309,2,3
1464782488,1,0
1464796907,2,3
1464800539,1,4
1464804109,2,1
1464807708,5,0
1464811292,1,0
1464822109,0,2
1464825692,1,3
1464829305,5,0
1464833003,0,2
1464836484,2,2
1464840097,3,0
1464843711,1,1
1464850896,0,4
1464854495,0,1
1464861709,1,2
1464865308,1,1
1464868941,2,0
1464879695,3,0
1464883280,2,1
1464886895,2,1
1464890508,1,2
1464894081,0,3
1464897696,1,2
1464901308,1,2
1464904940,1,0
1464908507,3,1
1464912135,0,1
1464915735,4,1
1464919335,3,1
1464922876,0,2
1464926477,1,1
1464930136,1,1
1464933702,1,2
1464940902,3,1
1464948104,1,0
1464951681,1,0
1464955303,0,3
1464958877,1,5
1464962487,1,2
1464966108,1,0
1464969677,2,2
1464973302,1,2
1464976889,4,2
1464980477,2,1
1464984102,1,3
