DateTime,Entries,UniqueIPs
1464447740,18,18
1464451288,16,16
1464454882,15,15
1464458483,15,15
1464462138,17,17
1464465683,18,18
1464469287,18,18
1464472940,16,16
1464476479,17,17
1464480218,15,15
1464483743,19,19
1464487535,18,18
1464494489,16,16
1464498085,15,15
1464501744,16,16
1464508887,14,14
1464512514,15,15
1464516098,20,20
1464519688,18,18
1464523306,15,15
1464526912,13,13
1464530496,16,16
1464534207,15,15
1464537693,18,18
1464541303,15,15
1464544887,17,17
1464548546,16,16
1464552111,15,15
1464555744,16,16
1464559343,16,16
1464562886,16,16
1464566484,17,17
1464570085,18,18
1464573693,18,18
1464577289,18,18
1464580939,20,20
1464584731,17,17
1464588329,17,17
1464591931,18,18
1464595530,14,14
1464599132,13,13
1464602732,12,12
1464606332,17,17
1464609739,17,17
1464613283,18,18
1464616887,15,15
1464620486,14,14
1464627707,14,14
1464631307,12,12
1464634879,15,15
1464638509,16,16
1464642091,16,16
1464645683,18,18
1464649307,18,18
1464652880,18,18
1464656479,18,18
1464660112,17,17
1464663691,14,14
1464667307,17,17
1464670888,16,16
1464674478,16,16
1464678086,15,15
1464681708,19,19
1464688885,20,20
1464692508,20,20
1464696093,16,16
1464699708,16,16
1464703283,17,17
1464706881,16,16
1464710480,16,16
1464714080,15,15
1464717708,15,15
1464724915,15,15
1464728487,12,12
1464732094,11,11
1464735694,12,12
1464739327,16,16
1464742909,19,19
1464746540,19,19
1464753682,15,15
1464757340,12,12
1464760878,15,15
1464764508,13,13
1464768079,14,14
1464775309,13,13
1464782488,14,14
1464796907,13,13
1464800539,10,10
1464804109,11,11
1464807708,16,16
1464811292,17,17
1464822109,15,15
1464825692,13,13
1464829305,18,18
1464833003,16,16
1464836484,16,16
1464840097,19,19
1464843711,19,19
1464850896,15,15
1464854495,14,14
1464861709,13,13
1464865308,13,13
1464868941,15,15
1464879695,18,18
1464883280,19,19
1464886895,20,20
1464890508,19,19
1464894081,16,16
1464897696,15,15
1464901308,14,14
1464904940,15,15
1464908507,17,17
1464912135,16,16
1464915735,19,19
1464919335,21,21
1464922876,19,19
1464926477,19,19
1464930136,19,19
1464933702,18,18
1464940902,20,20
1464948104,21,21
1464951681,22,22
1464955303,19,19
1464958877,15,15
1464962487,14,14
1464966108,15,15
1464969677,15,15
1464973302,14,14
1464976889,16,16
1464980477,17,17
1464984102,15,15
1464987677,15,15
1464991306,13,13
1464994887,11,11
1464998510,12,12
1465002137,12,12
1465005771,10,10
1465009281,12,12
1465016486,12,12
1465020091,14,14
1465023679,16,16
1465027281,15,15
1465030940,16,16
1465034479,20,20
1465038083,18,18
1465041708,16,16
1465045308,18,18
1465048888,15,15
1465052490,14,14
1465056080,13,13
1465059686,12,12
1465063284,13,13
1465066887,16,16
1465070481,17,17
1465074140,15,15
1465077733,17,17
1465081340,16,16
1465084880,15,15
1465088508,16,16
1465092107,14,14
1465095708,14,14
1465099293,15,15
1465102942,13,13
1465106481,13,13
1465110141,16,16
1465113682,15,15
1465117306,17,17
1465120895,15,15
1465124485,13,13
1465128140,15,15
1465131692,18,18
1465135308,18,18
1465138882,19,19
1465142482,18,18
1465146108,17,17
1465149708,14,14
1465153285,13,13
1465156909,13,13
1465160478,10,10
1465164150,10,10
1465167740,14,14
1465171292,14,14
1465174884,16,16
1465178482,17,17
1465182078,17,17
1465185677,16,16
1465189325,13,13
1465196507,14,14
1465200080,13,13
1465203686,15,15
1465207293,14,14
1465210908,13,13
1465214495,12,12
1465218080,17,17
1465221686,20,20
1465225288,19,19
1465228885,19,19
1465232491,20,20
1465239679,16,16
1465243282,16,16
1465246892,14,14
1465250486,14,14
1465254139,14,14
1465257711,16,16
1465261289,16,16
1465264899,13,13
1465268484,14,14
1465272079,12,12
1465279293,14,14
1465282884,15,15
1465286478,15,15
1465290079,18,18
1465293680,16,16
1465297282,19,19
1465300886,20,20
1465304508,20,20
1465308087,21,21
1465311685,16,16
1465315307,18,18
1465318882,16,16
1465322481,15,15
1465326106,17,17
1465329688,17,17
1465333307,18,18
1465336888,16,16
1465340610,16,16
1465347702,16,16
1465351439,16,16
1465354890,14,14
1465358543,18,18
1465362096,16,16
1465365692,17,17
1465369307,19,19
1465372941,15,15
1465376493,16,16
1465383692,14,14
1465387294,15,15
1465390908,14,14
1465394479,13,13
1465398094,13,13
1465401708,13,13
1465405285,13,13
1465408886,17,17
1465412508,19,19
1465419692,19,19
1465423285,18,18
1465426907,14,14
1465430479,11,11
1465434103,14,14
1465437734,16,16
1465441302,18,18
1465444934,17,17
1465448474,18,18
1465452089,19,19
1465455734,20,20
1465459277,19,19
1465462887,17,17
1465466477,18,18
1465470086,17,17
1465473680,20,20
1465477288,21,21
1465480901,19,19
1465484483,19,19
1465488094,15,15
1465491686,13,13
1465495309,16,16
1465498888,13,13
1465502503,15,15
1465506086,15,15
1465509828,14,14
1465513302,16,16
1465520725,17,17
1465524081,18,18
1465527680,19,19
1465534874,18,18
1465538486,16,16
1465542081,15,15
1465545702,14,14
1465549302,16,16
1465552886,12,12
1465556480,17,17
1465563705,14,14
1465567283,14,14
1465570877,15,15
1465574509,16,16
1465578075,17,17
1465581686,17,17
1465585302,18,18
1465588881,18,18
1465592495,15,15
1465596079,17,17
1465599689,16,16
1465603246,10,10
1465606878,12,12
1465610556,13,13
1465614108,18,18
1465621279,17,17
1465624878,16,16
1465628478,16,16
1465632098,16,16
1465635708,17,17
1465639294,16,16
1465642940,14,14
1465646488,14,14
1465650138,16,16
1465660881,14,14
1465664507,14,14
1465668113,14,14
1465671707,15,15
1465678892,14,14
1465682483,14,14
1465686107,15,15
1465689680,14,14
1465696914,11,11
1465700486,14,14
1465704084,15,15
1465707834,17,17
1465714908,15,15
1465718483,16,16
1465722095,12,12
1465725681,12,12
1465729280,11,11
1465732882,13,13
1465740106,15,15
1465743708,15,15
1465747284,16,16
1465750905,18,18
1465754506,19,19
1465758094,19,19
1465761708,15,15
1465765338,13,13
1465768943,15,15
1465772483,13,13
1465776109,13,13
1465779701,14,14
1465783404,14,14
1465786899,11,11
1465790477,12,12
1465794142,10,10
1465797706,11,11
1465801306,14,14
1465804907,13,13
1465808507,12,12
1465812111,11,11
1465815706,11,11
1465819314,13,13
1465822908,15,15
1465830085,14,14
1465833687,11,11
1465837281,11,11
1465840879,11,11
1465844493,13,13
1465848080,12,12
1465851691,13,13
1465855285,13,13
1465858908,12,12
1465862539,15,15
1465866109,16,16
1465869806,15,15
1465873283,16,16
1465876885,16,16
1465880486,16,16
1465884080,18,18
1465887740,18,18
1465891277,16,16
1465894879,17,17
1465898490,16,16
1465902139,14,14
1465905739,16,16
1465909284,16,16
1465920085,14,14
1465923679,13,13
