DateTime,Entries,UniqueIPs
1465497155,903,903
1465499065,905,905
1465500982,904,904
1465502903,915,915
1465504830,930,930
1465506740,928,928
1465508654,937,937
1465510624,936,936
1465512526,943,943
1465514442,944,944
1465516364,945,945
1465518285,976,976
1465520197,976,976
1465522123,969,969
1465524056,971,971
1465525975,971,971
1465527885,964,964
1465529793,970,970
1465531725,977,977
1465533636,973,973
1465535813,970,970
1465537723,973,973
1465539649,970,970
1465541576,978,978
1465543495,961,961
1465545412,1664,1664
1465547335,1666,1666
1465549262,1659,1659
1465551193,1660,1660
1465553086,1660,1660
1465555005,1662,1662
1465556926,1659,1659
1465558851,1665,1665
1465560777,1663,1663
1465562680,1667,1667
1465564608,1661,1661
1465566527,1663,1663
1465568453,1657,1657
1465570370,1666,1666
1465572280,1669,1669
1465574214,1665,1665
1465576134,1663,1663
1465578061,1668,1668
1465579996,1665,1665
1465581886,1665,1665
1465583802,1680,1680
1465585733,1678,1678
1465587643,1684,1684
1465589572,1689,1689
1465591490,1686,1686
1465593408,1679,1679
1465595331,1683,1683
1465597247,1679,1679
1465599175,1680,1680
1465601082,1677,1677
1465603016,1690,1690
1465604930,1679,1679
1465606865,1678,1678
1465608796,1686,1686
1465610681,1688,1688
1465612624,1690,1690
1465614534,1689,1689
1465616451,1684,1684
1465618380,1690,1690
1465620292,1690,1690
1465622220,1692,1692
1465624126,1694,1694
1465626048,1691,1691
1465627979,1682,1682
1465629908,1678,1678
1465631819,1412,1412
1465633735,1173,1173
1465635680,930,930
1465637590,931,931
1465639494,932,932
1465641418,935,935
1465643339,934,934
1465645334,936,936
1465647195,930,930
1465649092,928,928
1465651010,929,929
1465652951,936,936
1465654857,926,926
1465656776,929,929
1465658699,913,913
1465660625,918,918
1465662546,910,910
1465664478,913,913
1465666394,918,918
1465668299,909,909
1465670220,913,913
1465672144,908,908
1465674097,907,907
1465676276,905,905
1465678113,907,907
1465680012,905,905
1465681955,905,905
1465683851,901,901
1465685772,904,904
1465687703,897,897
1465689633,897,897
1465691474,898,898
1465693468,892,892
1465695386,888,888
1465697325,881,881
1465699235,887,887
1465701174,887,887
1465703063,889,889
1465705018,882,882
1465706938,889,889
1465708832,890,890
1465710771,893,893
1465712670,893,893
1465714596,898,898
1465716537,916,916
1465718452,914,914
1465720372,848,848
1465722277,846,846
1465724200,847,847
1465726123,845,845
1465728040,848,848
1465729958,842,842
1465731864,854,854
1465733813,850,850
1465735721,856,856
1465737635,854,854
1465739679,861,861
1465741715,863,863
1465743629,858,858
1465745540,861,861
1465747457,856,856
1465749310,866,866
1465751316,902,902
1465753235,910,910
1465755168,908,908
1465757068,913,913
1465759000,916,916
1465760921,910,910
1465762822,905,905
1465764762,911,911
1465766662,924,924
1465768608,928,928
1465770515,925,925
1465772447,929,929
1465774369,930,930
1465776267,934,934
1465778199,941,941
1465780115,941,941
1465782038,940,940
1465783952,940,940
1465785876,938,938
1465787805,941,941
1465790024,938,938
1465791861,941,941
1465793781,944,944
1465795710,946,946
1465797632,943,943
1465799547,946,946
1465801460,947,947
1465803379,923,923
1465805309,917,917
1465807222,913,913
1465809141,907,907
1465811060,910,910
1465812988,909,909
1465814915,913,913
1465816818,916,916
1465818743,915,915
1465820652,915,915
1465822574,926,926
1465824501,926,926
1465826521,934,934
1465828350,939,939
1465830284,936,936
1465832217,954,954
1465834132,952,952
1465836055,953,953
1465837967,949,949
1465839881,956,956
1465841816,955,955
1465843741,955,955
1465845641,956,956
1465847779,959,959
1465849722,963,963
1465851681,989,989
1465853612,997,997
1465855493,993,993
1465857398,999,999
1465859323,1000,1000
1465861245,1003,1003
1465863165,998,998
1465865322,1002,1002
1465867231,1068,1068
1465869154,1085,1085
1465871083,1087,1087
1465872992,1085,1085
1465874926,1078,1078
1465876886,1071,1071
1465878970,1072,1072
1465880921,1071,1071
1465882856,1073,1073
1465884789,1075,1075
1465886675,1082,1082
1465888625,1093,1093
1465890521,1097,1097
1465892451,1041,1041
1465894379,1018,1018
1465896283,1018,1018
1465898212,1028,1028
1465900130,1026,1026
1465902062,1036,1036
1465903974,1048,1048
1465905887,1043,1043
1465907907,1043,1043
1465909710,1040,1040
1465911646,1043,1043
1465913564,1044,1044
1465915535,1067,1067
1465917406,1073,1073
1465919318,1067,1067
1465921284,1063,1063
1465923244,1078,1078
1465925104,1066,1066
1465927058,1071,1071
1465929195,1069,1069
1465931171,1066,1066
1465932987,1068,1068
1465934899,1073,1073
1465936879,1070,1070
1465938847,1059,1059
1465940688,1055,1055
1465942634,1052,1052
1465944529,1054,1054
1465946469,1051,1051
1465948390,1060,1060
1465950317,1059,1059
1465952531,1051,1051
1465954379,994,994
1465956291,985,985
1465958211,987,987
1465960127,987,987
1465962045,990,990
1465964008,992,992
1465965880,991,991
1465967809,976,976
1465969738,975,975
1465971638,969,969
1465973567,972,972
1465975488,962,962
1465977387,959,959
1465979324,871,871
1465981294,868,868
1465983177,868,868
1465985091,855,855
1465987312,857,857
1465989146,857,857
1465991051,857,857
