DateTime,Entries,UniqueIPs
1466267304,6760,6799
1466268043,6753,6792
1466268742,6764,6803
1466269481,6760,6799
1466270179,6768,6807
1466270899,6760,6799
1466271617,6783,6822
1466272344,6758,6797
1466273052,6772,6811
1466273808,6766,6804
1466274509,6783,6821
1466275234,6773,6811
1466275941,6784,6822
1466276658,6783,6821
1466277378,6796,6834
1466278100,6784,6822
1466278819,6791,6829
1466279568,6789,6827
1466280259,6776,6814
1466280996,6785,6823
1466281700,6778,6816
1466282414,6775,6813
1466283137,6770,6808
1466283857,6760,6798
1466284581,6753,6790
1466285325,6757,6794
1466286026,6756,6793
1466286762,6758,6795
1466287453,6752,6789
1466288210,6758,6795
1466288901,6753,6790
1466289613,6743,6780
1466290339,6746,6783
1466291056,6745,6782
1466291787,6736,6773
1466292510,6730,6767
1466293220,6739,6776
1466293975,6737,6774
1466294653,6737,6774
1466295379,6735,6772
1466296097,6742,6779
1466296831,6739,6776
1466297552,6735,6772
1466298267,6727,6764
1466298981,6723,6760
1466299732,6716,6753
1466300417,6729,6766
1466301140,6727,6764
1466301857,6737,6774
1466302579,6729,6766
1466303747,6736,6773
1466304502,6742,6779
1466305243,6744,6781
1466305959,6730,6767
1466306648,6735,6772
1466307394,6720,6757
1466308357,6721,6759
1466309060,6730,6768
1466309815,6730,6768
1466310499,6731,6768
1466311221,6727,6764
1466311944,6731,6768
1466312653,6729,6766
1466313393,6722,6759
1466314115,6723,6760
1466314824,6724,6761
1466315604,6726,6763
1466316254,6723,6760
1466316980,6722,6759
1466317705,6727,6764
1466318424,6727,6764
1466319147,6724,6761
1466319863,6720,6757
1466320584,6721,6758
1466321328,6715,6752
1466321966,6712,6749
1466322739,6720,6757
1466323453,6718,6755
1466324186,6707,6744
1466324904,6720,6757
1466325616,6708,6745
1466326334,6720,6757
1466327073,6708,6745
1466327802,6711,6748
1466328509,6713,6750
1466329218,6723,6760
1466329939,6725,6762
1466330650,6728,6765
1466331380,6733,6770
1466332102,6744,6781
1466332863,6732,6769
1466333554,6737,6774
1466334261,6744,6781
1466334974,6749,6786
1466335699,6753,6790
1466336421,6755,6792
1466337142,6753,6790
1466337853,6762,6799
1466338614,6756,6793
1466339312,6749,6786
1466340019,6758,6795
1466340743,6753,6790
1466341456,6744,6781
1466342176,6754,6791
1466342898,6746,6783
1466343620,6754,6791
1466344365,6733,6770
1466345077,6722,6759
1466345787,6734,6771
1466346502,6729,6766
1466347237,6720,6757
1466347935,6727,6764
1466348656,6728,6765
1466349381,6726,6763
1466350131,6706,6743
1466350834,6710,6747
1466351540,6715,6752
1466352262,6725,6762
1466352985,6728,6765
1466353709,6718,6755
1466354419,6732,6769
1466355210,6717,6754
1466355904,6723,6760
1466356604,6711,6748
1466357297,6723,6760
1466357985,6717,6754
1466358739,6713,6750
1466359456,6696,6733
1466360189,6717,6754
1466360900,6715,6752
1466361625,6708,6745
1466362356,6697,6734
1466363053,6705,6742
1466363812,6704,6741
1466364506,6700,6737
1466365215,6715,6752
1466365940,6706,6743
1466366657,6713,6750
1466367396,6709,6746
1466368125,6700,6737
1466368820,6711,6748
1466369570,6704,6742
1466370258,6699,6737
1466370985,6688,6726
1466371701,6698,6736
1466372420,6700,6738
1466373144,6693,6731
1466373869,6682,6720
1466374585,6690,6728
1466375330,6679,6717
1466375942,6686,6724
1466376746,6677,6715
1466377453,6686,6724
1466378192,6664,6703
1466378904,6677,6716
1466379622,6662,6701
1466380339,6669,6708
1466381095,6648,6687
1466381803,6644,6683
1466382502,6646,6685
1466383213,6652,6691
1466383940,6652,6691
1466384654,6657,6696
1466385403,6659,6698
1466386097,6663,6702
1466386850,6654,6693
1466387551,6651,6690
1466388257,6658,6697
1466388976,6663,6702
1466389710,6654,6693
1466390423,6653,6692
1466391141,6653,6692
1466391855,6651,6690
1466392615,6652,6691
1466393606,6655,6694
1466394274,6656,6696
1466394988,6646,6686
1466395700,6646,6686
1466396421,6648,6687
1466397144,6659,6698
1466397854,6662,6701
1466398608,6661,6700
1466399305,6671,6710
1466400034,6670,6709
1466400750,6679,6718
1466401462,6679,6718
1466402187,6683,6722
1466402896,6688,6727
1466403620,6693,6732
1466404368,6695,6734
1466405055,6701,6740
1466405792,6711,6750
1466406500,6707,6746
1466407213,6716,6755
1466407947,6723,6762
1466408653,6726,6765
1466409383,6729,6768
1466410133,6733,6772
1466410822,6726,6765
1466411852,6724,6763
1466412525,6733,6772
1466413277,6727,6766
1466413985,6737,6776
1466414649,6734,6773
1466415385,6734,6773
1466416104,6733,6772
1466416855,6738,6777
1466417536,6728,6767
1466418252,6728,6767
1466418977,6735,6774
1466419742,6738,6777
1466420476,6748,6787
1466421645,6743,6782
1466422366,6741,6780
1466423060,6740,6779
1466423777,6739,6778
1466424513,6737,6776
1466425530,6740,6779
1466426208,6736,6775
1466426903,6738,6777
1466427642,6731,6770
1466428351,6736,6775
1466429048,6732,6771
1466429775,6727,6766
1466430507,6722,6761
1466431308,6731,6770
1466431942,6729,6768
1466432653,6732,6771
1466433377,6725,6764
1466434101,6726,6765
1466434855,6737,6776
1466435540,6741,6780
1466436253,6747,6786
1466437012,6759,6798
1466437949,6750,6789
1466438669,6752,6791
1466439387,6760,6799
1466440104,6770,6809
1466440844,6756,6795
1466441534,6776,6815
1466442252,6775,6814
1466443026,6775,6814
1466443698,6778,6817
1466444432,6779,6818
1466445133,6795,6834
1466445857,6777,6816
1466446580,6787,6826
1466447303,6780,6819
1466448011,6798,6837
1466448772,6783,6822
1466449457,6781,6820
1466450193,6794,6833
1466450894,6795,6834
1466451628,6785,6824
1466452405,6790,6829
1466453093,6776,6815
1466453780,6781,6820
1466454533,6766,6805
1466455222,6760,6799
1466455940,6773,6812
1466456930,6752,6791
1466457610,6751,6790
1466458559,6753,6792
1466459303,6755,6794
1466460040,6753,6792
1466461009,6740,6779
1466461691,6755,6794
1466462452,6740,6779
1466463143,6748,6787
1466463858,6747,6786
1466464580,6753,6792
1466465297,6749,6789
1466466018,6758,6798
1466466763,6755,6795
1466467454,6758,6798
1466468215,6741,6781
1466468898,6756,6796
1466469619,6748,6788
1466470340,6764,6804
1466471053,6767,6807
1466471783,6766,6806
1466472527,6747,6787
1466473217,6762,6802
1466473964,6754,6794
1466474651,6763,6803
1466475387,6752,6792
1466476099,6758,6798
1466476827,6746,6786
1466477540,6751,6791
1466478274,6743,6783
1466478984,6758,6798
1466479732,6745,6785
1466480422,6743,6783
1466481139,6740,6780
1466481854,6742,6782
1466482586,6747,6787
1466483309,6740,6780
1466484045,6742,6782
1466484740,6744,6784
1466485736,6729,6770
1466486413,6736,6777
1466487152,6728,6769
1466487873,6737,6779
1466488579,6743,6785
1466489297,6742,6784
1466490027,6743,6785
1466490743,6747,6789
1466491477,6726,6768
1466492182,6744,6786
1466492902,6731,6773
1466493635,6730,6772
1466494348,6742,6784
1466495051,6740,6782
1466495778,6741,6783
1466496495,6744,6786
1466497267,6726,6768
1466497956,6735,6777
1466498667,6731,6773
1466499380,6737,6779
1466500102,6727,6769
1466500813,6736,6778
1466501556,6736,6778
1466502256,6741,6783
1466503012,6735,6777
1466503706,6729,6771
1466504416,6727,6769
1466505147,6726,6768
1466505855,6727,6769
1466506583,6725,6767
1466507320,6721,6762
1466508019,6731,6772
1466508772,6710,6751
1466509456,6720,6761
1466510178,6718,6759
1466510900,6706,6746
1466511620,6711,6751
1466512347,6699,6739
1466513063,6697,6737
1466513784,6701,6741
1466514541,6695,6735
1466515220,6695,6735
1466515948,6694,6734
1466516661,6699,6739
1466517371,6708,6748
1466518098,6700,6740
1466518822,6695,6735
1466519547,6696,6736
1466520275,6703,6743
1466520985,6692,6732
1466521699,6694,6734
1466522421,6696,6737
1466523145,6684,6725
1466523856,6679,6720
1466524880,6688,6729
1466525568,6688,6729
1466526253,6696,6737
1466526981,6692,6733
1466527703,6702,6743
1466528441,6705,6746
1466529148,6706,6747
1466530143,6708,6749
1466530815,6718,6759
1466531567,6699,6740
1466532251,6709,6750
1466532986,6696,6737
1466533694,6711,6752
1466534421,6693,6734
1466535147,6709,6750
1466535894,6696,6737
1466536580,6713,6754
1466537313,6693,6734
1466538016,6705,6746
1466538746,6691,6732
1466539457,6690,6731
1466540183,6673,6714
1466540904,6690,6731
1466541619,6686,6727
1466542342,6660,6701
1466543058,6669,6710
1466543785,6662,6703
1466544538,6658,6699
1466545213,6658,6699
1466545960,6658,6699
1466546656,6651,6692
1466547388,6658,6699
1466548099,6637,6678
1466548822,6647,6688
1466549538,6644,6685
1466550289,6624,6665
1466550984,6621,6662
1466551693,6630,6671
1466552423,6616,6657
1466553141,6623,6664
1466553857,6608,6649
1466554588,6617,6658
1466555299,6609,6650
1466556020,6603,6644
1466557031,6609,6650
1466557703,6612,6653
1466558415,6615,6656
1466559412,6614,6655
1466560104,6602,6643
1466560865,6605,6646
1466561539,6609,6650
1466562250,6614,6655
1466562978,6613,6654
1466563738,6610,6651
1466564438,6613,6654
1466565143,6602,6643
1466565949,6601,6642
1466566586,6605,6646
1466567305,6614,6655
1466568034,6609,6650
1466568739,6608,6649
1466569456,6601,6642
1466570180,6606,6647
1466570910,6605,6646
1466571695,6602,6643
1466572344,6592,6633
1466573048,6592,6632
1466573784,6585,6625
1466574502,6588,6628
1466575283,6580,6620
1466575949,6582,6622
1466576658,6586,6626
1466577640,6600,6640
1466578343,6602,6642
1466579079,6601,6641
1466579787,6602,6642
1466580503,6602,6642
1466581232,6600,6641
1466581941,6595,6636
1466582659,6586,6627
1466583410,6584,6625
1466584103,6589,6629
1466584820,6586,6626
1466585543,6591,6631
1466586260,6584,6624
1466586995,6585,6625
1466587699,6584,6624
1466588418,6589,6629
1466589172,6588,6628
1466589857,6598,6638
1466590582,6593,6632
1466591263,6592,6631
1466592023,6596,6635
1466592758,6589,6628
1466593463,6597,6636
1466594186,6595,6634
1466594904,6592,6631
1466595611,6593,6632
1466596342,6585,6624
1466597094,6587,6626
1466597788,6586,6625
1466598520,6580,6619
1466599221,6586,6625
1466599887,6578,6617
1466600658,6580,6619
1466601386,6577,6616
1466602103,6582,6621
1466602849,6579,6618
1466603544,6577,6616
1466604520,6577,6615
1466605214,6587,6625
1466605951,6562,6600
1466606934,6566,6604
1466607641,6565,6603
1466608362,6567,6605
1466609047,6567,6605
1466609785,6572,6610
1466610525,6570,6608
1466611241,6581,6619
1466611943,6583,6621
1466612678,6567,6604
1466613380,6586,6623
1466614154,6571,6608
1466615189,6574,6611
1466616104,6573,6610
1466616748,6567,6604
1466617457,6562,6599
1466618173,6560,6597
1466618899,6572,6609
1466619639,6570,6607
1466620369,6565,6603
1466621052,6561,6599
1466621777,6565,6603
1466622501,6564,6601
1466623221,6563,6600
1466623950,6558,6595
1466624682,6570,6607
1466625380,6576,6613
1466626113,6577,6614
1466626817,6568,6605
1466627570,6572,6609
1466628257,6567,6604
1466628981,6560,6597
1466629703,6556,6593
1466630416,6555,6592
1466631147,6539,6576
1466631855,6541,6578
