DateTime,Entries,UniqueIPs
1466114195,4867,4867
1466114896,4854,4854
1466115619,4852,4852
1466116344,4851,4851
1466117063,4832,4832
1466117771,4825,4825
1466118505,4803,4803
1466119245,4827,4827
1466119956,4823,4823
1466120653,4816,4816
1466121379,4813,4813
1466122096,4813,4813
1466122831,4830,4830
1466123545,4833,4833
1466124262,4824,4824
1466125002,4803,4803
1466126454,4813,4813
1466128172,4811,4811
1466129398,4797,4797
1466130091,4802,4802
1466130740,4807,4807
1466131458,4806,4806
1466132175,4805,4805
1466132898,4790,4790
1466133612,4781,4781
1466134350,4765,4765
1466135056,4789,4789
1466135834,4765,4765
1466136501,4750,4750
1466137215,4765,4765
1466137942,4752,4752
1466138654,4758,4758
1466139374,4780,4780
1466140103,4772,4772
1466140823,4758,4758
1466141601,4766,4766
1466142251,4761,4761
1466142986,4790,4790
1466143704,4782,4782
1466144421,4809,4809
1466145140,4813,4813
1466145855,4814,4814
1466146585,4821,4821
1466147351,4829,4829
1466148010,4814,4814
1466148750,4814,4814
1466149450,4822,4822
1466150180,4823,4823
1466150901,4818,4818
1466151614,4811,4811
1466152415,4823,4823
1466153531,4779,4779
1466154260,4792,4792
1466154989,4798,4798
1466155705,4808,4808
1466156415,4808,4808
1466157141,4809,4809
1466157851,4821,4821
1466158580,4813,4813
1466159346,4807,4807
1466160029,4809,4809
1466160740,4814,4814
1466161457,4798,4798
1466162181,4816,4816
1466162896,4817,4817
1466163619,4837,4837
1466164339,4836,4836
1466165097,4840,4840
1466165784,4839,4839
1466166499,4866,4866
1466167214,4866,4866
1466167938,4866,4866
1466168651,4875,4875
1466169380,4878,4878
1466170094,4885,4885
1466170862,4884,4884
1466171541,4874,4874
1466172257,4891,4891
1466172976,4872,4872
1466173694,4879,4879
1466174423,4865,4865
1466175136,4869,4869
1466175858,4891,4891
1466176626,4881,4881
1466177303,4883,4883
1466178024,4862,4862
1466178743,4869,4869
1466179452,4851,4851
1466180182,4844,4844
1466180893,4861,4861
1466181616,4881,4881
1466182386,4895,4895
1466183063,4915,4915
1466183789,4907,4907
1466184495,4889,4889
1466185220,4904,4904
1466185934,4876,4876
1466186666,4893,4893
1466187384,4895,4895
1466188147,4901,4901
1466188819,4894,4894
1466189549,4891,4891
1466190253,4906,4906
1466190979,4912,4912
1466191696,4912,4912
1466192671,4912,4912
1466193379,4911,4911
1466194200,4926,4926
1466194828,4911,4911
1466195548,4898,4898
1466196250,4917,4917
1466196978,4912,4912
1466197701,4917,4917
1466198424,4924,4924
1466199147,4919,4919
1466199886,4921,4921
1466200606,4896,4896
1466201302,4891,4891
1466202018,4891,4891
1466202752,4879,4879
1466203452,4879,4879
1466204187,4861,4861
1466204912,4855,4855
1466205769,4845,4845
1466206574,4847,4847
1466207316,4827,4827
1466208041,4837,4837
1466208751,4845,4845
1466209453,4858,4858
1466210178,4860,4860
1466210905,4841,4841
1466211707,4842,4842
1466212341,4832,4832
1466213067,4821,4821
1466213781,4821,4821
1466214508,4834,4834
1466215841,4813,4813
1466216653,4825,4825
1466217384,4823,4823
1466218105,4826,4826
1466218858,4823,4823
1466219547,4823,4823
1466220255,4816,4816
1466220979,4813,4813
1466221731,4805,4805
1466222439,4805,4805
1466223136,4824,4824
1466223860,4823,4823
1466224595,4823,4823
1466225308,4815,4815
1466226033,4815,4815
1466226741,4817,4817
1466227480,4821,4821
1466228187,4823,4823
1466228900,4822,4822
1466229651,4830,4830
1466230357,4829,4829
1466231057,4836,4836
1466231794,4832,4832
1466232506,4842,4842
1466233290,4852,4852
1466233938,4856,4856
1466234654,4857,4857
1466235378,4862,4862
1466236358,4861,4861
1466237092,4862,4862
1466237778,4878,4878
1466238507,4885,4885
1466239214,4885,4885
1466239941,4896,4896
1466240656,4900,4900
1466241388,4880,4880
1466242109,4893,4893
1466242852,4911,4911
1466243539,4910,4910
1466244258,4919,4919
1466244975,4909,4909
1466245701,4926,4926
1466246419,4909,4909
1466247153,4907,4907
1466247865,4912,4912
1466248611,4906,4906
1466249299,4923,4923
1466250024,4930,4930
1466250739,4926,4926
1466251454,4936,4936
1466252185,4932,4932
1466252904,4923,4923
1466253631,4917,4917
1466254376,4893,4893
1466255050,4893,4893
1466255780,4913,4913
1466256485,4933,4933
1466257223,4941,4941
1466257939,4927,4927
1466258665,4927,4927
1466259402,4941,4941
1466260106,4944,4944
1466260819,4930,4930
1466261542,4929,4929
1466262286,4927,4927
1466263007,4925,4925
1466263730,4923,4923
1466264417,4916,4916
1466265135,4913,4913
1466265858,4907,4907
1466266577,4942,4942
1466267304,4945,4945
1466268043,4949,4949
1466268742,4955,4955
1466269481,4939,4939
1466270179,4953,4953
1466270899,4949,4949
1466271617,4954,4954
1466272344,4947,4947
1466273052,4925,4925
1466273808,4947,4947
1466274509,4940,4940
1466275234,4954,4954
1466275941,4948,4948
1466276658,4941,4941
1466277378,4940,4940
1466278100,4943,4943
1466278819,4937,4937
1466279568,4936,4936
1466280259,4945,4945
1466280996,4949,4949
1466281700,4936,4936
1466282414,4928,4928
1466283137,4928,4928
1466283857,4931,4931
1466284581,4922,4922
1466285325,4900,4900
1466286026,4900,4900
1466286762,4887,4887
1466287453,4895,4895
1466288210,4892,4892
1466288901,4880,4880
1466289613,4855,4855
1466290339,4859,4859
1466291056,4864,4864
1466291787,4845,4845
1466292510,4846,4846
1466293220,4840,4840
1466293975,4834,4834
1466294653,4817,4817
1466295379,4819,4819
1466296097,4818,4818
1466296831,4808,4808
1466297552,4829,4829
1466298267,4823,4823
1466298981,4823,4823
1466299732,4821,4821
1466300417,4830,4830
1466301140,4830,4830
1466301857,4827,4827
1466302579,4817,4817
1466303747,4834,4834
1466304502,4835,4835
1466305243,4837,4837
1466305959,4834,4834
1466306648,4837,4837
1466307394,4822,4822
1466308357,4831,4831
1466309060,4829,4829
1466309815,4839,4839
1466310499,4837,4837
1466311221,4831,4831
1466311944,4838,4838
1466312653,4833,4833
1466313393,4830,4830
1466314115,4831,4831
1466314824,4859,4859
1466315604,4861,4861
1466316254,4841,4841
1466316980,4851,4851
1466317705,4847,4847
1466318424,4849,4849
1466319147,4849,4849
1466319863,4852,4852
1466320584,4848,4848
1466321328,4853,4853
1466321966,4851,4851
1466322739,4859,4859
1466323453,4862,4862
1466324186,4859,4859
1466324904,4870,4870
1466325616,4887,4887
1466326334,4883,4883
1466327073,4890,4890
1466327802,4899,4899
1466328509,4920,4920
1466329218,4930,4930
1466329939,4931,4931
1466330650,4941,4941
1466331380,4959,4959
1466332102,4950,4950
1466332863,4924,4924
1466333554,4930,4930
1466334261,4937,4937
1466334974,4939,4939
1466335699,4946,4946
1466336421,4959,4959
1466337142,4945,4945
1466337853,4960,4960
1466338614,4968,4968
1466339312,4973,4973
1466340019,4957,4957
1466340743,4953,4953
1466341456,4949,4949
1466342176,4958,4958
1466342898,4957,4957
1466343620,4944,4944
1466344365,4946,4946
1466345077,4952,4952
1466345787,4954,4954
1466346502,4953,4953
1466347237,4947,4947
1466347935,4932,4932
1466348656,4935,4935
1466349381,4947,4947
1466350131,4940,4940
1466350834,4940,4940
1466351540,4958,4958
1466352262,4967,4967
1466352985,4965,4965
1466353709,4959,4959
1466354419,4959,4959
