DateTime,AddedIPs,RemovedIPs
1465984568,4,1
1465985415,4,4
1465986486,4,0
1465987326,4,4
1465988167,3,1
1465989006,1,3
1465990085,1,0
1465990925,3,7
1465991765,1,0
1465992615,1,9
1465993685,3,0
1465994528,3,12
1465995617,3,3
1465996446,2,1
1465997286,2,0
1465998126,1,8
1465998967,4,0
1465999815,3,3
1466000886,9,0
1466001726,3,3
1466003645,6,1
1466004486,1,0
1466005327,5,4
1466006167,3,3
1466007015,2,4
1466008085,1,0
1466008926,2,1
1466009766,1,0
1466010607,2,2
1466011685,3,0
1466012526,5,89
1466013366,2,0
1466014215,7,3
1466015286,2,2
1466016128,3,9
1466016966,3,1
1466017806,4,0
1466018886,4,1
1466019729,6,11
1466021645,6,1
1466022486,5,0
1466023329,3,6
1466024167,1,0
1466025250,0,1
1466026086,3,1
1466026925,0,6
1466027766,5,0
1466028615,3,6
1466029686,2,0
1466030527,6,7
1466031366,2,0
1466032206,2,0
1466033286,8,0
1466034126,4,8
1466034965,3,1
1466035815,3,2
1466036886,5,0
1466037726,5,6
1466038593,4,0
1466039407,5,8
1466040485,4,0
1466042166,9,5
1466043015,5,3
1466043247,1,0
1466044205,2,2
1466045766,7,4
1466046605,3,1
1466047685,5,0
1466048527,3,4
1466049365,4,0
1466050215,2,2
1466051286,3,1
1466052126,4,8
1466052966,3,1
1466053806,2,4
1466054886,4,0
1466055730,2,4
1466056565,4,1
1466057415,3,3
1466058486,7,0
1466059328,2,5
1466060119,1,0
1466061007,2,8
1466062926,2,6
1466063863,2,0
1466064846,4,4
1466065688,4,0
1466066528,2,8
1466067367,3,1
1466068206,5,5
1466069286,5,1
1466070126,3,11
1466071241,6,2
1466072046,5,0
1466072886,2,1
1466073725,2,7
1466074566,4,1
1466075405,4,3
1466076486,8,0
1466077326,4,7
1466078166,1,1
1466079014,6,4
1466080086,2,1
1466080926,6,4
1466081766,6,0
1466082606,7,5
1466083686,2,1
1466084525,5,9
1466085620,6,0
1466086446,3,1
1466087287,6,0
1466088126,6,7
1466088967,3,0
1466089809,7,5
1466090888,5,0
1466091727,5,2
1466093645,8,3
1466094485,2,0
1466095327,7,7
1466096165,2,0
1466097006,7,4
1466098926,11,4
1466099765,2,0
1466100615,1,7
1466101686,5,0
1466102525,2,10
1466103366,4,2
1466104207,7,4
1466105406,5,7
1466106307,1,3
1466108886,8,5
1466109729,5,13
1466110568,5,0
1466111406,15,3
1466112486,14,0
1466113326,7,9
1466114165,3,0
1466115014,1,2
1466116925,2,11
1466117765,3,1
1466118607,3,2
1466119686,3,2
1466120528,2,3
1466122445,5,3
1466123285,5,0
1466129646,22,16
