DateTime,Entries,UniqueIPs
1465981806,9942,9942
1465982886,9947,9947
1465983726,9929,9929
1465984568,9932,9932
1465985415,9932,9932
1465986486,9936,9936
1465987326,9936,9936
1465988167,9938,9938
1465989006,9936,9936
1465990085,9937,9937
1465990925,9933,9933
1465991765,9934,9934
1465992615,9926,9926
1465993685,9929,9929
1465994528,9920,9920
1465995617,9920,9920
1465996446,9921,9921
1465997286,9923,9923
1465998126,9916,9916
1465998967,9920,9920
1465999815,9920,9920
1466000886,9929,9929
1466001726,9929,9929
1466003645,9934,9934
1466004486,9935,9935
1466005327,9936,9936
1466006167,9936,9936
1466007015,9934,9934
1466008085,9935,9935
1466008926,9936,9936
1466009766,9937,9937
1466010607,9937,9937
1466011685,9940,9940
1466012526,9856,9856
1466013366,9858,9858
1466014215,9862,9862
1466015286,9862,9862
1466016128,9856,9856
1466016966,9858,9858
1466017806,9862,9862
1466018886,9865,9865
1466019729,9860,9860
1466021645,9865,9865
1466022486,9870,9870
1466023329,9867,9867
1466024167,9868,9868
1466025250,9867,9867
1466026086,9869,9869
1466026925,9863,9863
1466027766,9868,9868
1466028615,9865,9865
1466029686,9867,9867
1466030527,9866,9866
1466031366,9868,9868
1466032206,9870,9870
1466033286,9878,9878
1466034126,9874,9874
1466034965,9876,9876
1466035815,9877,9877
1466036886,9882,9882
1466037726,9881,9881
1466038593,9885,9885
1466039407,9882,9882
1466040485,9886,9886
1466042166,9890,9890
1466043015,9892,9892
1466043247,9893,9893
1466044205,9893,9893
1466045766,9896,9896
1466046605,9898,9898
1466047685,9903,9903
1466048527,9902,9902
1466049365,9906,9906
1466050215,9906,9906
1466051286,9908,9908
1466052126,9904,9904
1466052966,9906,9906
1466053806,9904,9904
1466054886,9908,9908
1466055730,9906,9906
1466056565,9909,9909
1466057415,9909,9909
1466058486,9916,9916
1466059328,9913,9913
1466060119,9914,9914
1466061007,9908,9908
1466062926,9904,9904
1466063863,9906,9906
1466064846,9906,9906
1466065688,9910,9910
1466066528,9904,9904
1466067367,9906,9906
1466068206,9906,9906
1466069286,9910,9910
1466070126,9902,9902
1466071241,9906,9906
1466072046,9911,9911
1466072886,9912,9912
1466073725,9907,9907
1466074566,9910,9910
1466075405,9911,9911
1466076486,9919,9919
1466077326,9916,9916
1466078166,9916,9916
1466079014,9918,9918
1466080086,9919,9919
1466080926,9921,9921
1466081766,9927,9927
1466082606,9929,9929
1466083686,9930,9930
1466084525,9926,9926
1466085620,9932,9932
1466086446,9934,9934
1466087287,9940,9940
1466088126,9939,9939
1466088967,9942,9942
1466089809,9944,9944
1466090888,9949,9949
1466091727,9952,9952
1466093645,9957,9957
1466094485,9959,9959
1466095327,9959,9959
1466096165,9961,9961
1466097006,9964,9964
1466098926,9971,9971
1466099765,9973,9973
1466100615,9967,9967
1466101686,9972,9972
1466102525,9964,9964
1466103366,9966,9966
1466104207,9969,9969
1466105406,9967,9967
1466106307,9965,9965
1466108886,9968,9968
1466109729,9960,9960
1466110568,9965,9965
1466111406,9977,9977
1466112486,9991,9991
1466113326,9989,9989
1466114165,9992,9992
1466115014,9991,9991
1466116925,9982,9982
1466117765,9984,9984
1466118607,9985,9985
1466119686,9986,9986
1466120528,9985,9985
1466122445,9987,9987
1466123285,9992,9992
1466129646,9998,9998
1466130486,10002,10002
1466131327,10002,10002
1466132166,10002,10002
1466133007,10004,10004
1466134087,10009,10009
1466134925,10005,10005
1466135765,10006,10006
1466136614,10007,10007
1466137685,10011,10011
1466138526,10006,10006
1466139366,10008,10008
1466140445,10010,10010
1466141286,10012,10012
1466142131,10008,10008
1466142965,10010,10010
1466143815,10011,10011
1466144886,10013,10013
1466145726,10009,10009
1466146565,10013,10013
1466147645,10009,10009
1466148485,10014,10014
1466149326,10006,10006
1466150167,10009,10009
1466151015,10005,10005
1466152085,10006,10006
1466152931,9998,9998
1466153766,9999,9999
1466154606,9994,9994
1466155687,9998,9998
1466156528,9990,9990
1466157365,9992,9992
1466158215,9993,9993
1466159285,9996,9996
1466160130,9994,9994
1466161221,9993,9993
1466162046,9995,9995
1466162887,9996,9996
1466163730,9987,9987
1466164566,9987,9987
1466165415,9985,9985
1466166485,9988,9988
1466168165,9987,9987
1466169006,9984,9984
1466170087,9992,9992
1466170928,9978,9978
1466171765,9980,9980
1466172615,9977,9977
1466173686,9977,9977
1466174526,9970,9970
1466175389,9970,9970
1466176206,9971,9971
1466177287,9971,9971
1466178129,9970,9970
1466178965,9972,9972
1466179783,9974,9974
1466180886,9976,9976
1466181884,9971,9971
1466183646,9974,9974
1466184486,9975,9975
1466185330,9969,9969
1466187248,9967,9967
1466188085,9968,9968
1466188933,9958,9958
1466189766,9959,9959
