DateTime,Entries,UniqueIPs
1465833369,377,377
1465834450,375,375
1465835290,377,377
1465836129,379,379
1465837810,378,378
1465841651,377,377
1465842491,378,378
1465843330,381,381
1465844169,382,382
1465846088,383,383
1465847772,385,385
1465848617,384,384
1465849688,385,385
1465850528,387,387
1465852449,388,388
1465853289,389,389
1465854128,385,385
1465855818,387,387
1465856888,391,391
1465857903,391,391
1465858568,394,394
1465859390,397,397
1465860609,394,394
1465861330,394,394
1465862420,394,394
1465863248,395,395
1465864088,396,396
1465864929,395,395
1465865768,396,396
1465866608,397,397
1465867689,398,398
1465868528,396,396
1465869368,399,399
1465871290,403,403
1465872131,403,403
1465872969,404,404
1465873809,403,403
1465875009,404,404
1465875728,405,405
1465877417,399,399
1465878488,401,401
1465879330,400,400
1465881248,398,398
1465882930,397,397
1465883768,397,397
1465884618,373,373
1465886531,372,372
1465888190,372,372
1465890129,372,372
1465890968,374,374
1465891772,373,373
1465892889,375,375
1465893728,372,372
1465894598,373,373
1465895409,370,370
1465896489,373,373
1465897328,369,369
1465898168,370,370
1465899017,354,354
1465900089,356,356
1465900928,352,352
1465902849,353,353
1465904530,343,343
1465906218,344,344
1465908968,341,341
1465909811,340,340
1465911729,339,339
1465912569,341,341
1465913417,335,335
1465914489,336,336
1465915329,333,333
1465916170,334,334
1465917009,333,333
1465918090,333,333
1465918931,332,332
1465919767,335,335
1465922528,333,333
1465923355,332,332
1465924210,330,330
1465926131,326,326
1465928049,327,327
1465929910,325,325
1465931648,325,325
1465933328,325,325
1465934169,326,326
1465935018,321,321
1465936089,322,322
1465937769,318,318
1465938848,320,320
1465939688,324,324
1465940528,322,322
1465941369,325,325
1465942450,326,326
1465944128,325,325
1465945809,327,327
1465947010,322,322
1465947731,324,324
1465948568,326,326
1465949418,328,328
1465951329,322,322
1465952168,324,324
1465953009,327,327
1465954930,324,324
1465955768,326,326
1465956617,327,327
1465957689,328,328
1465958529,330,330
1465959368,331,331
1465960209,332,332
1465962128,332,332
1465962969,333,333
1465964889,334,334
1465967648,337,337
1465968488,336,336
1465969330,337,337
1465970168,338,338
1465971017,340,340
1465972089,342,342
1465974609,340,340
1465975689,341,341
1465976528,338,338
1465977369,340,340
1465978219,339,339
1465979290,342,342
1465980129,333,333
1465980969,334,334
1465981809,326,326
1465982889,329,329
1465983729,311,311
1465984571,312,312
1465985418,312,312
1465987330,313,313
1465988170,313,313
1465989009,314,314
1465990088,315,315
1465990928,313,313
1465991767,314,314
1465992618,309,309
1465993688,310,310
1465994533,302,302
1465995623,301,301
1465996449,302,302
1465997289,302,302
1465998130,297,297
1465999818,297,297
1466000890,298,298
1466001729,295,295
1466003648,297,297
1466005330,294,294
1466006170,293,293
1466007018,292,292
1466008929,293,293
1466010610,292,292
1466012531,292,292
1466014219,292,292
1466015289,292,292
1466016134,288,288
1466016969,290,290
1466017809,291,291
1466019739,289,289
1466021648,291,291
1466022489,295,295
1466023336,294,294
1466024170,295,295
1466025254,294,294
1466026089,296,296
1466026928,294,294
1466027768,295,295
1466028618,295,295
1466029689,296,296
1466030533,296,296
1466032209,297,297
1466033289,302,302
1466034135,300,300
1466034968,303,303
1466035818,303,303
1466036889,305,305
1466037731,302,302
1466038596,305,305
1466039410,304,304
1466040488,304,304
1466042169,305,305
1466043017,306,306
1466043250,307,307
1466044208,307,307
1466045770,311,311
1466046609,312,312
1466047688,313,313
1466048531,313,313
1466049368,314,314
1466050218,315,315
1466051289,316,316
1466052128,315,315
1466052968,317,317
1466053810,318,318
1466055736,318,318
1466056568,319,319
1466057418,319,319
1466058489,323,323
1466059333,321,321
1466060246,322,322
1466061250,317,317
1466062929,317,317
1466063866,319,319
1466064849,321,321
1466066534,319,319
1466067370,320,320
1466068209,320,320
1466069289,324,324
1466070133,319,319
1466071244,322,322
1466072049,323,323
1466073728,320,320
1466074570,320,320
1466075408,320,320
1466076489,323,323
1466077329,322,322
1466078169,322,322
1466079018,326,326
1466080089,326,326
1466080932,328,328
