DateTime,Entries,UniqueIPs
1466011683,1732,1732
1466012523,1712,1712
1466013364,1715,1715
1466014213,1712,1712
1466015283,1719,1719
1466016125,1696,1696
1466016963,1701,1701
1466017803,1691,1691
1466018884,1700,1700
1466019725,1690,1690
1466021643,1684,1684
1466022484,1691,1691
1466023325,1671,1671
1466024163,1674,1674
1466025245,1668,1668
1466026083,1677,1677
1466026923,1656,1656
1466027763,1660,1660
1466028613,1652,1652
1466029684,1658,1658
1466030524,1645,1645
1466031363,1647,1647
1466032203,1634,1634
1466033284,1642,1642
1466034123,1620,1620
1466034963,1622,1622
1466035813,1618,1618
1466036884,1624,1624
1466037723,1599,1599
1466038591,1601,1601
1466039403,1595,1595
1466040483,1600,1600
1466042163,1583,1583
1466043012,1573,1573
1466045763,1560,1560
1466046603,1559,1559
1466047683,1563,1563
1466048523,1544,1544
1466049363,1554,1554
1466050213,1542,1542
1466051283,1547,1547
1466052123,1532,1532
1466052963,1536,1536
1466053804,1527,1527
1466054883,1532,1532
1466055726,1510,1510
1466056563,1514,1514
1466057413,1503,1503
1466058483,1512,1512
1466059324,1497,1497
1466060117,1501,1501
1466061004,1496,1496
1466062083,1508,1508
1466062923,1497,1497
1466063763,1500,1500
1466064576,1495,1495
1466065684,1504,1504
1466066525,1486,1486
1466067364,1489,1489
1466068204,1487,1487
1466069283,1492,1492
1466070123,1483,1483
1466071238,1481,1481
1466072043,1486,1486
1466072883,1496,1496
1466073723,1486,1486
1466074563,1488,1488
1466075403,1492,1492
1466076484,1499,1499
1466077323,1501,1501
1466078163,1509,1509
1466079012,1502,1502
1466080083,1508,1508
1466080924,1507,1507
1466081764,1512,1512
1466082603,1509,1509
1466083684,1516,1516
1466084523,1511,1511
1466085616,1512,1512
1466086443,1520,1520
1466087283,1527,1527
1466088123,1524,1524
1466088963,1533,1533
1466089804,1537,1537
1466090884,1545,1545
1466091724,1543,1543
1466093643,1550,1550
1466094483,1557,1557
1466095324,1548,1548
1466096163,1554,1554
1466097004,1552,1552
1466097243,1553,1553
1466098203,1544,1544
1466098923,1543,1543
1466099763,1547,1547
1466100613,1552,1552
1466101683,1558,1558
1466102523,1559,1559
1466103363,1566,1566
1466104203,1563,1563
1466105403,1564,1564
1466106304,1571,1571
1466108043,1580,1580
1466108883,1582,1582
1466109725,1579,1579
1466110563,1581,1581
1466111403,1585,1585
1466112483,1590,1590
1466113323,1582,1582
1466114163,1586,1586
1466115012,1590,1590
1466116083,1596,1596
1466116922,1582,1582
1466117762,1588,1588
1466118604,1588,1588
1466119683,1614,1614
1466120525,1618,1618
1466122443,1637,1637
1466123283,1645,1645
1466129643,1679,1679
1466130483,1683,1683
1466131324,1678,1678
1466132163,1686,1686
1466133003,1690,1690
1466134083,1697,1697
1466134923,1693,1693
1466135763,1701,1701
1466136612,1702,1702
1466137683,1706,1706
1466138523,1703,1703
1466139363,1711,1711
1466140443,1712,1712
1466141283,1719,1719
1466142125,1717,1717
1466142963,1724,1724
1466143813,1724,1724
1466144883,1730,1730
1466145723,1721,1721
1466146563,1724,1724
1466147643,1721,1721
1466148483,1725,1725
1466149323,1714,1714
1466150164,1723,1723
1466151012,1726,1726
1466152083,1735,1735
1466152926,1741,1741
1466153763,1756,1756
1466154604,1743,1743
1466155684,1752,1752
1466156524,1744,1744
1466157363,1748,1748
1466158212,1742,1742
1466159283,1745,1745
1466160125,1734,1734
1466161214,1737,1737
1466162043,1739,1739
1466162884,1740,1740
1466163725,1735,1735
1466164563,1740,1740
1466165413,1737,1737
1466166483,1742,1742
1466168163,1831,1831
1466169003,1860,1860
1466170083,1899,1899
1466170924,1917,1917
1466171763,1938,1938
1466172612,1953,1953
1466173683,1979,1979
1466174523,1984,1984
1466175387,2004,2004
1466176203,2008,2008
1466177283,2030,2030
1466178125,2031,2031
1466178963,2048,2048
1466179781,2061,2061
1466180883,2069,2069
1466181882,2076,2076
1466183643,2098,2098
1466184484,2108,2108
1466185326,2102,2102
1466187244,2132,2132
1466188082,2144,2144
1466188928,2144,2144
1466189763,2166,2166
1466190603,2163,2163
1466191683,2167,2167
1466192526,2157,2157
1466194443,2161,2161
1466195283,2165,2165
1466196124,2153,2153
1466196963,2156,2156
1466197803,2151,2151
1466198883,2159,2159
1466199723,2154,2154
1466200564,2155,2155
1466201413,2154,2154
1466202483,2156,2156
1466203323,2146,2146
1466204164,2147,2147
1466205004,2143,2143
1466206083,2146,2146
1466206926,2141,2141
1466208843,2145,2145
1466209683,2148,2148
1466210528,2138,2138
1466211363,2144,2144
1466212203,2138,2138
1466214124,2124,2124
1466216043,2125,2125
1466216883,2130,2130
1466217723,2119,2119
1466218563,2122,2122
1466219403,2115,2115
1466220483,2118,2118
1466221323,2108,2108
1466222163,2110,2110
1466223012,2107,2107
1466224084,2112,2112
1466224923,2111,2111
1466225763,2118,2118
1466226603,2118,2118
1466227683,2128,2128
1466228525,2123,2123
1466229363,2131,2131
1466230212,2133,2133
1466231283,2136,2136
1466232127,2131,2131
1466232964,2135,2135
1466233804,2126,2126
1466234884,2133,2133
1466235824,2129,2129
1466236563,2135,2135
1466237412,2133,2133
1466238484,2143,2143
1466239325,2142,2142
1466241243,2154,2154
1466242083,2159,2159
1466242925,2151,2151
1466243763,2159,2159
1466244613,2162,2162
1466245683,2167,2167
1466246523,2162,2162
1466247363,2170,2170
1466248154,2162,2162
1466249283,2168,2168
1466250123,2156,2156
1466251216,2153,2153
1466252044,2159,2159
1466252883,2161,2161
1466253728,2146,2146
