DateTime,Entries,UniqueIPs
1466339103,6512,6512
1466339701,6515,6515
1466340002,6517,6517
1466340603,6506,6506
1466341202,6504,6504
1466341802,6502,6502
1466342402,6511,6511
1466342704,6510,6510
1466343302,6506,6506
1466343902,6504,6504
1466344502,6505,6505
1466345103,6495,6495
1466345702,6489,6489
1466346004,6490,6490
1466346601,6490,6490
1466346903,6484,6484
1466347503,6483,6483
1466348102,6483,6483
1466348702,6479,6479
1466349302,6478,6478
1466349904,6479,6479
1466350502,6477,6477
1466351103,6475,6475
1466351702,6477,6477
1466352302,6474,6474
1466352903,6474,6474
1466353540,6479,6479
1466354102,6479,6479
1466354702,6631,6631
1466355303,6712,6712
1466355903,6825,6825
1466356502,6830,6830
1466357102,6917,6917
1466357703,6909,6909
1466358302,7012,7012
1466358901,7010,7010
1466359503,7008,7008
1466360103,7010,7010
1466360702,7128,7128
1466361303,7117,7117
1466361903,7118,7118
1466362502,7116,7116
1466363103,7240,7240
1466363702,7241,7241
1466364303,7238,7238
1466364902,7238,7238
1466365503,7236,7236
1466366102,7235,7235
1466366702,7233,7233
1466367303,7231,7231
1466367901,7232,7232
1466368204,7233,7233
1466368802,7230,7230
1466369104,7175,7175
1466369704,7168,7168
1466370303,7264,7264
1466370606,7173,7173
1466371205,7173,7173
1466371802,7170,7170
1466372103,7167,7167
1466372703,7305,7305
1466373302,7306,7306
1466373902,7305,7305
1466374207,7178,7178
1466374802,7176,7176
1466375412,7099,7099
1466376002,7099,7099
1466376308,6976,6976
1466376902,6978,6978
1466377510,6880,6880
1466378102,6881,6881
1466378703,6880,6880
1466379011,6657,6657
1466379602,6657,6657
1466379904,6658,6658
1466380514,6456,6456
1466381103,6456,6456
1466381407,6360,6360
1466382002,6355,6355
1466382306,6267,6267
1466382910,6161,6161
1466383502,6159,6159
1466384107,6054,6054
1466384702,6056,6056
1466385304,6054,6054
1466385911,5889,5889
1466386803,5891,5891
1466387404,5867,5867
1466388004,5866,5866
1466388601,5866,5866
1466388904,5867,5867
1466389503,5837,5837
1466390104,5833,5833
1466390704,5827,5827
1466391302,5829,5829
1466391902,5827,5827
1466392502,5829,5829
1466393103,5827,5827
1466393702,5826,5826
1466394302,5827,5827
