DateTime,Entries,UniqueIPs
1463775609,6901,6901
1463783289,6895,6895
1463787125,6869,6869
1463792885,6829,6829
1463798645,6831,6831
1463800563,6820,6820
1463804403,6813,6813
1463810169,6848,6848
1463817845,6866,6866
1463823612,6898,6898
1463831524,6914,6914
1463833446,6890,6890
1463839205,6885,6885
1463843524,6903,6903
1463851204,6909,6909
1463855044,6905,6905
1463860808,6897,6897
1463866814,6882,6882
1463870644,6855,6855
1463874724,6839,6839
1463878564,6817,6817
1463884804,6804,6804
1463892725,6794,6794
1463902323,6832,6832
1463906165,6850,6850
1463910012,6872,6872
1463915764,6898,6898
1463921525,6886,6886
1463929206,6896,6896
1463936884,6914,6914
1463942883,6939,6939
1463948644,6928,6928
1463956323,6894,6894
1463962084,6784,6784
1463970723,6824,6824
1463976483,6805,6805
1463984163,6839,6839
1463989924,6833,6833
1463994007,6841,6841
1463995924,6869,6869
1464001683,6879,6879
1464009363,6866,6866
1464015124,6884,6884
1464017044,6890,6890
1464022804,6891,6891
1464028563,6902,6902
1464033363,6932,6932
1464041043,6906,6906
1464048724,6852,6852
1464056403,6824,6824
1464060243,6816,6816
1464066005,6818,6818
1464069842,6815,6815
1464071763,6857,6857
1464075603,6863,6863
1464079443,6890,6890
1464087123,6903,6903
1464090963,6901,6901
1464096723,6896,6896
1464104402,6903,6903
1464110169,6935,6935
1464117843,6945,6945
1464123604,6940,6940
1464129364,6918,6918
1464133204,6904,6904
1464139203,6853,6853
1464143043,6857,6857
1464148805,6853,6853
1464150723,6844,6844
1464154562,6857,6857
1464158403,6878,6878
1464160567,6883,6883
1464166324,6899,6899
1464175933,6899,6899
1464179762,6905,6905
1464183604,6905,6905
1464185525,6900,6900
1464189363,6903,6903
1464197284,6911,6911
1464201123,6924,6924
1464207127,6908,6908
1464212883,6903,6903
1464222485,6870,6870
1464226326,6855,6855
1464230171,6861,6861
1464235925,6826,6826
1464242169,6823,6823
1464246012,6849,6849
1464247932,6868,6868
1464249847,6852,6852
1464257765,6838,6838
1464265449,6896,6896
1464271212,6909,6909
1464277207,6900,6900
1464281045,6899,6899
1464288731,6919,6919
1464294484,6912,6912
1464298323,6899,6899
1464302163,6895,6895
1464306004,6848,6848
1464307926,6850,6850
1464313685,6831,6831
1464319449,6822,6822
1464325444,6820,6820
1464331204,6819,6819
1464335043,6828,6828
1464340804,6835,6835
1464348483,6859,6859
1464355209,6858,6858
1464362883,6859,6859
1464366722,6850,6850
1464376562,6864,6864
1464380402,6864,6864
1464386170,6874,6874
1464388082,6805,6805
1464393843,6785,6785
1464397684,6762,6762
1464403442,6762,6762
1464407282,6753,6753
1464411365,6751,6751
1464419042,6770,6770
1464422884,6771,6771
1464430562,6817,6817
1464434403,6836,6836
1464440163,6831,6831
1464445923,6835,6835
1464449762,6834,6834
1464451683,6816,6816
1464457443,6825,6825
1464459362,6831,6831
1464465123,6817,6817
1464474785,6803,6803
1464478564,6791,6791
1464480484,6779,6779
1464484323,6757,6757
1464490083,6758,6758
1464493924,6749,6749
1464497763,6733,6733
1464505457,6777,6777
1464511204,6794,6794
1464515043,6799,6799
1464518883,6816,6816
1464523923,6846,6846
1464531602,6868,6868
1464539284,6878,6878
1464546004,6874,6874
1464553685,6856,6856
1464557524,6846,6846
1464561363,6826,6826
1464567365,6795,6795
1464573125,6757,6757
1464578883,6766,6766
1464582734,6762,6762
1464586564,6766,6766
1464592324,6789,6789
1464596165,6788,6788
