DateTime,Entries,UniqueIPs
1465480102,18305,18998
1465482009,18298,18989
1465483942,18308,18999
1465485857,18310,19002
1465487780,18308,19000
1465489707,18290,18983
1465491640,18284,18974
1465493549,18285,18975
1465495469,18267,18957
1465497386,18262,18952
1465499309,18257,18947
1465501220,18240,18928
1465503149,18238,18926
1465505051,18223,18910
1465506996,18224,18911
1465508903,18219,18907
1465510808,18206,18894
1465512734,18207,18895
1465514649,18223,18912
1465516571,18223,18912
1465518496,18221,18912
1465520433,18212,18902
1465522352,18205,18895
1465524250,18192,18882
1465526180,18176,18865
1465528095,18167,18856
1465530012,18161,18852
1465531937,18151,18845
1465533850,18158,18852
1465535809,18155,18848
1465537721,18144,18837
1465539634,18142,18836
1465541566,18142,18840
1465543468,18132,18827
1465545396,18134,18830
1465547323,18130,18828
1465549253,18135,18833
1465551177,18140,18833
1465553072,18137,18832
1465554996,18133,18828
1465556909,18137,18832
1465558841,18140,18835
1465560766,18145,18840
1465562664,18146,18844
1465564599,18151,18849
1465566514,18156,18855
1465568438,18164,18864
1465570360,18165,18861
1465572271,18177,18873
1465574197,18191,18887
1465576125,18202,18900
1465578052,18214,18912
1465579978,18207,18905
1465581876,18210,18908
1465583792,18223,18922
1465585716,18237,18936
1465587633,18252,18951
1465589563,18244,18942
1465591474,18244,18941
1465593398,18228,18923
1465595321,18226,18920
1465597231,18223,18915
1465599166,18220,18912
1465601072,18220,18911
1465603000,18215,18906
1465604920,18216,18907
1465606855,18212,18903
1465608780,18227,18918
1465610670,18223,18914
1465612614,18238,18931
1465614517,18242,18936
1465616441,18250,18944
1465618370,18251,18945
1465620274,18264,18959
1465622205,18264,18959
1465624117,18255,18949
1465626031,18256,18952
1465627967,18241,18937
1465629878,18250,18946
1465631802,18258,18953
1465633725,18263,18958
1465635669,18263,18959
1465637573,18263,18957
1465639482,18255,18952
1465641406,18256,18956
1465643322,18255,18956
1465645245,18257,18957
1465647179,18253,18953
1465649082,18251,18950
1465651001,18256,18956
1465652935,18259,18958
1465654847,18260,18959
1465656766,18264,18963
1465658688,18264,18965
1465660613,18271,18972
1465662529,18272,18974
1465664468,18259,18965
1465666385,18248,18954
1465668283,18245,18951
1465670210,18246,18954
1465672133,18249,18957
