DateTime,AddedIPs,RemovedIPs
1465510808,10,11
1465512734,7,9
1465514649,23,12
1465516571,8,13
1465518496,14,17
1465520433,9,8
1465522352,8,18
1465524250,6,5
1465526180,8,12
1465528095,9,8
1465530012,17,3
1465531937,17,7
1465533850,24,3
1465535809,18,7
1465537721,19,18
1465539634,23,16
1465541566,21,12
1465543468,23,27
1465545396,21,20
1465547323,18,21
1465549253,14,11
1465551177,13,12
1465553072,11,6
1465554996,17,24
1465556909,16,8
1465558841,17,10
1465560766,19,19
1465562664,15,22
1465564599,14,28
1465566514,20,20
1465568438,23,8
1465570360,14,13
1465572271,25,12
1465574197,24,6
1465576125,29,18
1465578052,20,8
1465579978,4,11
1465581876,7,4
1465583792,20,4
1465585716,23,4
1465587633,27,4
1465589563,17,8
1465591474,20,6
1465593398,18,10
1465595321,16,15
1465597231,7,21
1465599166,4,17
1465601072,8,18
1465603000,9,8
1465604920,12,10
1465606855,10,2
1465608780,23,12
1465610670,13,19
1465612614,24,11
1465614517,12,16
1465616441,18,14
1465618370,22,13
1465620274,21,13
1465622205,9,0
1465624117,17,13
1465626031,14,9
1465627967,23,14
1465629878,21,16
1465631802,19,23
1465633725,15,12
1465635669,25,18
1465637573,18,20
1465639482,20,15
1465641406,26,18
1465643322,19,17
1465645245,32,17
1465647179,14,26
1465649082,19,23
1465651001,25,20
1465652935,27,22
1465654847,10,21
1465656766,11,25
1465658688,18,15
1465660613,23,12
1465662529,22,25
1465664468,7,12
1465666385,3,17
1465668283,5,12
1465670210,26,20
1465672133,14,22
1465674081,25,15
1465676258,15,21
1465678111,20,22
1465680010,23,15
1465681946,19,18
1465683849,14,18
1465685770,19,8
1465687694,30,13
1465689631,13,17
1465691464,22,15
1465693466,22,17
1465695384,23,15
1465697315,20,19
1465699233,18,15
1465701162,21,15
1465703061,23,15
1465705008,18,22
1465706935,23,20
1465708828,14,16
1465710762,9,12
1465712668,20,10
1465714594,12,17
1465716507,21,15
1465718449,25,21
1465720370,16,14
1465722266,12,17
1465724198,15,24
1465726121,18,19
1465728031,26,22
1465729956,26,22
1465731862,20,24
1465733803,11,25
1465735719,27,24
1465737633,23,16
1465739566,16,18
1465741475,14,11
1465743397,9,14
1465745322,15,18
1465747260,31,17
1465749306,15,17
1465751314,21,15
1465753226,20,14
1465755159,22,20
1465757064,23,21
1465758998,19,26
1465760912,9,10
1465762820,9,27
1465764754,18,19
1465766661,17,21
1465768606,21,28
1465770506,13,14
1465772442,26,17
1465774367,21,14
1465776259,13,19
1465778197,15,14
1465780114,12,19
1465782030,21,8
1465783951,23,19
1465785874,21,13
1465787794,18,24
1465790007,19,14
1465791851,21,29
1465793776,17,20
1465795700,12,15
1465797630,11,15
1465799545,13,23
1465801453,18,24
1465803377,17,30
1465805298,17,26
1465807214,21,27
1465809138,21,17
1465811051,16,21
1465812986,16,25
1465814906,17,14
1465816810,18,8
1465818740,11,13
1465820650,23,16
1465822573,18,12
1465824499,26,17
1465826437,14,12
1465828348,15,23
1465830275,6,13
1465832207,6,2
1465834121,4,4
1465836038,9,4
1465837957,5,12
1465839872,9,4
1465841800,5,15
1465843731,9,22
1465845632,9,5
1465847762,12,11
1465849711,14,19
1465851658,5,7
1465853594,7,15
1465855491,6,7
1465857396,6,10
1465859314,8,12
1465861243,6,5
1465863155,10,8
1465865306,23,9
1465867220,6,10
1465869143,11,9
1465871065,12,12
1465872981,5,16
1465874916,11,9
1465876870,22,8
1465878952,17,11
1465880911,14,9
1465882839,9,15
1465884779,13,5
1465886665,15,25
1465888609,22,23
1465890511,23,21
1465892432,15,14
1465894362,20,15
1465896272,15,12
1465898200,20,21
1465900114,20,19
1465902046,17,23
1465903964,26,20
1465905870,19,29
1465907890,24,19
1465909709,8,15
1465911644,21,18
1465913553,15,22
1465915533,18,21
1465917397,16,11
1465919315,15,7
1465921282,16,2
1465923234,11,8
1465925097,23,11
1465927049,13,12
1465929178,21,9
1465931161,6,13
1465932978,7,14
1465934896,4,2
1465936869,13,12
1465938843,7,18
1465940679,9,19
1465942631,8,4
1465944527,15,4
1465946459,9,3
1465948388,8,5
1465950316,14,13
1465952522,5,10
1465954377,7,11
1465956289,4,11
1465958202,14,9
1465960125,14,16
1465962043,12,11
1465963999,15,6
1465965878,8,18
1465967806,11,6
1465969729,13,9
1465971636,12,4
1465973566,16,6
1465975479,14,4
1465977385,9,10
1465979323,22,13
1465981284,22,22
1465983175,10,15
1465985089,16,9
1465987008,17,4
1465988929,22,5
1465990846,16,19
1465992775,21,7
1465994690,20,18
1465996605,15,11
1465998539,19,17
1466000450,17,10
1466002369,6,6
1466004284,17,5
1466006253,4,8
1466008136,18,10
1466010363,5,13
1466012193,6,17
1466014134,2,15
1466016043,4,8
1466017961,5,6
1466019879,16,7
1466021807,4,9
1466023707,14,10
1466025639,9,4
1466027564,3,6
1466029479,13,7
1466031403,8,6
1466033317,19,5
1466035272,7,5
1466037307,2,15
1466039336,7,7
1466041249,5,9
1466043173,3,6
1466045264,12,7
1466047250,7,5
1466049166,15,8
1466051083,17,4
1466052996,22,5
1466054934,18,12
1466056888,14,16
1466058777,19,7
1466060693,16,20
1466062601,17,13
1466064525,17,5
1466066440,18,23
1466068371,18,6
1466070279,20,1
1466072207,5,5
1466074145,12,12
1466076051,8,6
1466078418,19,5
1466080367,5,7
1466082298,10,17
1466084209,6,16
1466086142,30,13
1466088053,27,27
1466089967,15,19
1466091926,18,9
1466094070,11,6
1466096280,6,14
1466098114,10,6
1466100092,4,3
1466101969,5,2
1466103880,5,3
1466105811,6,2
1466107721,5,5
1466109634,3,0
1466111574,8,9
1466113481,21,3
1466115405,9,10
1466117328,11,9
1466119242,5,7
1466121165,10,16
1466123081,13,6
1466124999,7,11
1466128169,7,14
1466130088,17,7
1466131998,4,6
1466133884,20,7
1466135830,3,15
1466137756,8,16
1466139707,3,21
1466141598,3,19
1466143516,7,18
1466145425,6,23
1466147348,6,17
1466149270,16,25
