DateTime,AddedIPs,RemovedIPs
1465485857,33,46
1465487780,22,33
1465489707,34,23
1465491640,23,33
1465493549,15,24
1465495469,18,14
1465497386,17,17
1465499309,17,18
1465501220,27,18
1465503149,25,22
1465505051,18,26
1465506996,17,19
1465508903,33,17
1465510808,22,31
1465512734,19,24
1465514649,49,20
1465516571,16,48
1465518496,33,18
1465520433,16,31
1465522352,24,16
1465524250,20,25
1465526180,17,21
1465528095,18,18
1465530012,43,18
1465531937,48,36
1465533850,46,48
1465535809,53,53
1465537721,43,44
1465539634,50,53
1465541566,46,45
1465543468,52,42
1465545396,44,55
1465547323,41,40
1465549253,29,41
1465551177,29,33
1465553072,41,30
1465554996,49,42
1465556909,37,46
1465558841,37,37
1465560766,47,38
1465562664,49,45
1465564599,46,47
1465566514,43,51
1465568438,52,43
1465570360,34,52
1465572271,55,36
1465574197,42,51
1465576125,53,44
1465578052,41,52
1465579978,11,50
1465581876,20,7
1465583792,53,18
1465585716,41,45
1465587633,48,45
1465589563,44,53
1465591474,42,38
1465593398,38,47
1465595321,35,40
1465597231,23,36
1465599166,21,23
1465601072,25,16
1465603000,23,26
1465604920,30,22
1465606855,27,29
1465608780,52,28
1465610670,36,37
1465612614,46,50
1465614517,25,47
1465616441,36,25
1465618370,43,36
1465620274,44,42
1465622205,52,49
1465624117,40,42
1465626031,30,48
1465627967,43,24
1465629878,48,46
1465631802,40,50
1465633725,43,36
1465635669,48,47
1465637573,39,48
1465639482,34,24
1465641406,48,45
1465643322,39,38
1465645245,49,52
1465647179,43,52
1465649082,36,40
1465651001,49,36
1465652935,48,47
1465654847,26,50
1465656766,36,24
1465658688,46,36
1465660613,53,50
1465662529,49,50
1465664468,23,58
1465666385,12,19
1465668283,23,11
1465670210,49,24
1465672133,42,43
1465674081,46,42
1465676258,39,43
1465678111,50,41
1465680010,52,53
1465681946,48,51
1465683849,49,47
1465685770,43,49
1465687694,60,43
1465689631,39,63
1465691464,41,35
1465693466,49,47
1465695384,44,48
1465697315,41,44
1465699233,49,40
1465701162,46,46
1465703061,41,47
1465705008,44,40
1465706935,42,46
1465708828,54,45
1465710762,34,47
1465712668,46,36
1465714594,38,45
1465716507,44,42
1465718449,58,47
1465720370,46,55
1465722266,42,41
1465724198,41,47
1465726121,40,40
1465728031,50,38
1465729956,47,51
1465731862,54,47
1465733803,35,56
1465735719,48,34
1465737633,45,49
1465739566,41,42
1465741475,30,44
1465743397,22,33
1465745322,49,21
1465747260,57,46
1465749306,40,56
1465751314,41,36
1465753226,47,48
1465755159,50,47
1465757064,54,48
1465758998,44,51
1465760912,28,48
1465762820,21,30
1465764754,44,21
1465766661,54,41
1465768606,49,53
1465770506,45,52
1465772442,50,44
1465774367,47,51
1465776259,39,40
1465778197,39,42
1465780114,29,38
1465782030,45,31
1465783951,39,47
1465785874,36,36
1465787794,29,43
1465790007,46,28
1465791851,49,45
1465793776,35,45
1465795700,60,39
1465797630,33,56
1465799545,41,35
1465801453,39,38
1465803377,44,40
1465805298,38,43
1465807214,40,40
1465809138,47,40
1465811051,40,46
1465812986,49,40
1465814906,43,47
1465816810,50,48
1465818740,43,50
1465820650,43,37
1465822573,42,51
1465824499,54,40
1465826437,29,54
1465828348,37,23
1465830275,20,42
1465832207,25,23
1465834121,20,26
1465836038,19,19
1465837957,20,19
1465839872,28,19
1465841800,21,26
1465843731,25,22
1465845632,25,28
1465847762,30,22
1465849711,42,25
1465851658,20,48
1465853594,14,19
1465855491,19,14
1465857396,18,19
1465859314,17,16
1465861243,16,20
1465863155,29,13
1465865306,40,28
1465867220,25,40
1465869143,20,27
1465871065,32,22
1465872981,17,33
1465874916,32,18
1465876870,48,26
1465878952,46,52
1465880911,42,44
1465882839,32,44
1465884779,29,30
1465886665,32,28
1465888609,51,36
1465890511,42,43
1465892432,38,39
1465894362,43,43
1465896272,41,40
1465898200,44,42
1465900114,47,47
1465902046,44,53
1465903964,57,41
1465905870,48,56
1465907890,47,51
1465909709,35,32
1465911644,45,47
1465913553,41,44
1465915533,37,39
1465917397,33,35
1465919315,40,37
1465921282,40,38
1465923234,25,37
1465925097,48,29
1465927049,29,47
1465929178,43,29
1465931161,16,43
1465932978,21,16
1465934896,11,27
1465936869,35,11
1465938843,20,35
1465940679,29,15
1465942631,24,29
1465944527,31,27
1465946459,28,32
1465948388,20,29
1465950316,29,17
1465952522,11,28
1465954377,12,13
1465956289,19,11
1465958202,39,19
1465960125,37,33
1465962043,40,37
1465963999,37,45
1465965878,35,34
1465967806,45,39
1465969729,37,43
1465971636,34,36
1465973566,36,34
1465975479,31,40
1465977385,36,28
1465979323,47,38
1465981284,49,51
1465983175,31,43
1465985089,39,30
1465987008,44,39
1465988929,45,40
1465990846,33,45
1465992775,42,34
1465994690,37,46
1465996605,43,36
1465998539,42,44
1466000450,42,43
1466002369,19,42
1466004284,37,18
1466006253,12,37
1466008136,41,14
1466010363,18,40
1466012193,16,20
1466014134,12,14
1466016043,14,13
1466017961,21,12
1466019879,28,18
1466021807,23,29
