DateTime,Entries,UniqueIPs
1465204840,2875,2875
1465207020,2964,2964
1465210855,3669,3669
1465212761,3098,3098
1465214678,3692,3692
1465216591,2967,2967
1465218515,3638,3638
1465222360,4268,4268
1465224280,4272,4272
1465228125,4268,4268
1465230040,4284,4284
1465232078,4290,4290
1465236080,4283,4283
1465237969,4294,4294
1465239867,1696,1696
1465241795,4289,4289
1465243731,4255,4255
1465245623,586,586
1465247576,4243,4243
1465249477,4238,4238
1465251401,2994,2994
1465253330,4243,4243
1465255233,3037,3037
1465257156,3615,3615
1465259072,4288,4288
1465261013,4280,4280
1465262933,4295,4295
1465265813,3289,3289
1465267857,4318,4318
1465271807,4323,4323
1465273717,4343,4343
1465275638,913,913
1465277560,4351,4351
1465279486,4354,4354
1465281395,2128,2128
1465283339,4377,4377
1465285243,4393,4393
1465287166,3154,3154
1465290998,4433,4433
1465292916,3923,3923
1465294841,3177,3177
1465298672,3833,3833
1465300602,3966,3966
1465302524,4452,4452
1465304471,4464,4464
1465306360,964,964
1465308537,4482,4482
1465310439,4484,4484
1465312383,4494,4494
1465316244,4490,4490
1465318131,4505,4505
1465320044,1610,1610
1465321969,3431,3431
1465323884,4510,4510
1465325836,4010,4010
1465327728,4521,4521
1465329660,4554,4554
1465331572,4548,4548
1465335404,3436,3436
1465337346,4556,4556
1465339352,4608,4608
1465343327,4599,4599
1465345250,4587,4587
1465349078,4587,4587
1465351002,4600,4600
1465354873,4634,4634
1465356788,4632,4632
1465359644,4576,4576
1465361771,4628,4628
1465365657,4631,4631
1465367570,4628,4628
1465370442,4561,4561
1465372372,2588,2588
1465374285,4135,4135
1465376224,4657,4657
1465378144,4652,4652
1465381969,3511,3511
1465383903,4620,4620
1465385822,4665,4665
1465389662,4665,4665
1465391574,3634,3634
1465395435,4668,4668
1465397343,4676,4676
1465399383,4665,4665
1465403330,3573,3573
1465405287,4629,4629
1465409098,4638,4638
1465411025,4623,4623
1465414868,4027,4027
1465416789,4458,4458
1465418685,3263,3263
1465420636,4440,4440
1465422545,4425,4425
1465424465,3893,3893
1465428573,3394,3394
1465430457,4452,4452
1465432482,4431,4431
1465436450,4442,4442
1465438361,4423,4423
1465442204,4444,4444
1465444120,4455,4455
1465446038,1810,1810
1465447967,3346,3346
1465449870,3200,3200
1465451802,4468,4468
1465455672,4468,4468
1465457573,4489,4489
1465461439,4494,4494
1465463330,4492,4492
1465465242,3342,3342
1465467186,4492,4492
1465469085,4452,4452
1465471009,4457,4457
1465474872,4529,4529
1465476778,4512,4512
1465478683,4514,4514
1465482522,3373,3373
1465484514,4507,4507
1465486514,4507,4507
1465490443,4499,4499
1465492364,3394,3394
1465496452,3307,3307
1465498406,4489,4489
1465502212,4505,4505
1465504142,4488,4488
1465508204,4305,4305
1465510162,3413,3413
1465513966,4436,4436
1465515880,4427,4427
1465519722,4421,4421
1465521648,4410,4410
1465523565,4404,4404
1465527414,4403,4403
1465529333,4402,4402
1465533158,3215,3215
1465536037,3216,3216
1465537966,4196,4196
1465539875,4388,4388
1465541799,4378,4378
1465543705,1633,1633
1465545670,4389,4389
1465547567,4394,4394
1465550443,3334,3334
1465554268,3351,3351
1465556197,4431,4431
1465560061,4440,4440
1465561968,4440,4440
1465563880,4450,4450
1465567731,4447,4447
1465569649,4455,4455
1465571817,4452,4452
1465575643,4454,4454
1465577564,4456,4456
1465581402,4465,4465
1465583321,4466,4466
1465585285,4473,4473
1465589078,4467,4467
1465591011,4477,4477
1465594853,3938,3938
1465596774,4476,4476
1465598683,4488,4488
1465602528,4495,4495
1465604446,4497,4497
1465608277,4504,4504
1465610200,4504,4504
1465612252,4524,4524
1465616201,4530,4530
1465618126,4533,4533
1465620028,119,119
1465621970,4535,4535
1465623876,4530,4530
1465626025,4531,4531
1465629875,3560,3560
1465631800,2099,2099
1465633724,3376,3376
1465635663,4539,4539
1465637564,490,490
1465639479,4528,4528
1465641404,4508,4508
1465643320,3281,3281
1465647174,4536,4536
1465649080,4521,4521
1465650994,2071,2071
1465652928,4519,4519
1465654840,3321,3321
1465656765,4527,4527
1465660612,4549,4549
1465662527,4546,4546
1465666375,3466,3466
1465668280,4545,4545
1465672131,4552,4552
1465674077,4563,4563
1465676933,4551,4551
1465678908,1583,1583
1465680783,3266,3266
1465682689,4552,4552
1465684613,4550,4550
1465688455,4550,4550
1465690372,4548,4548
1465694221,4530,4530
1465696128,4522,4522
1465698052,4528,4528
1465700010,4531,4531
1465701885,4524,4524
1465705727,3284,3284
1465707672,1285,1285
1465709568,3399,3399
1465711490,4511,4511
1465713577,4507,4507
1465717476,4512,4512
1465719397,3985,3985
1465723239,4514,4514
1465725161,4515,4515
1465729000,4509,4509
1465730930,4504,4504
1465734768,4503,4503
1465736683,4500,4500
1465738813,4496,4496
1465742678,4494,4494
1465744599,3973,3973
1465746519,4493,4493
1465748442,4493,4493
1465750362,4492,4492
1465752421,4519,4519
1465756367,4517,4517
1465758267,1602,1602
1465760203,3269,3269
1465762132,4469,4469
1465765968,4507,4507
1465767883,4376,4376
1465769799,4495,4495
1465771727,4498,4498
1465773645,4543,4543
1465777477,4543,4543
1465779405,4544,4544
1465781314,173,173
1465783259,4543,4543
1465785162,4588,4588
1465787071,2473,2473
1465789002,3178,3178
1465790925,4603,4603
1465796678,4623,4623
1465798600,3136,3136
1465800523,3796,3796
1465802445,4643,4643
1465804371,4646,4646
1465806284,4640,4640
1465810140,4646,4646
1465813980,4648,4648
1465817824,4639,4639
1465819737,4642,4642
1465821662,4637,4637
1465825518,4632,4632
1465827423,3196,3196
1465829663,4618,4618
1465833671,4615,4615
1465835565,3349,3349
1465837482,4626,4626
1465841330,4626,4626
1465843246,4641,4641
1465845175,4641,4641
1465849115,4637,4637
1465851167,4604,4604
1465853074,4604,4604
1465856920,3839,3839
1465858855,4581,4581
1465860919,4591,4591
1465864842,4591,4591
1465866757,3264,3264
1465870605,4618,4618
1465872519,4615,4615
1465874422,151,151
1465876366,4619,4619
1465878278,4617,4617
1465880199,4645,4645
1465885970,4628,4628
1465889796,3330,3330
1465891727,4650,4650
1465893651,4645,4645
1465897478,4633,4633
1465899397,3341,3341
1465903236,4617,4617
1465905171,4617,4617
1465907228,4628,4628
1465911162,4621,4621
1465913076,4623,4623
1465915225,4575,4575
1465918125,4567,4567
1465921012,4564,4564
1465924843,4581,4581
1465926765,4578,4578
1465928824,4590,4590
1465932778,4583,4583
1465934707,4588,4588
1465936865,4585,4585
1465940678,4610,4610
1465942622,4606,4606
1465946458,4608,4608
1465948386,4660,4660
1465950280,830,830
1465952514,4703,4703
1465954368,4699,4699
1465956286,4727,4727
1465960123,4744,4744
1465962040,4752,4752
1465963967,4121,4121
1465965877,4751,4751
1465967801,4757,4757
1465969722,4758,4758
1465973564,4741,4741
1465975475,4746,4746
1465977385,301,301
1465979321,4742,4742
1465981278,4736,4736
1465983168,4751,4751
1465987005,4754,4754
1465988926,3607,3607
1465992772,4762,4762
1465994688,4755,4755
1465996598,3440,3440
1465998533,4764,4764
1466000448,4763,4763
1466002367,4761,4761
1466006251,4763,4763
1466008135,3618,3618
1466010356,3635,3635
1466014129,4809,4809
1466016040,3790,3790
1466019877,4811,4811
1466021802,3814,3814
1466023703,196,196
1466025637,4818,4818
1466027563,4842,4842
1466029476,4833,4833
1466033316,3736,3736
1466035268,4852,4852
1466037276,4859,4859
1466041247,4865,4865
1466043170,4881,4881
1466045256,4898,4898
1466049164,4920,4920
1466051080,4729,4729
1466052995,3885,3885
1466054933,4923,4923
1466056884,4925,4925
1466058771,4918,4918
1466062599,4907,4907
1466064522,3782,3782
1466068368,4919,4919
1466070278,4917,4917
1466074138,4888,4888
1466076049,4932,4932
1466078405,4919,4919
1466082293,4744,4744
1466084207,4924,4924
1466088043,4929,4929
1466089961,3740,3740
1466094060,3794,3794
1466096278,4950,4950
1466098113,2511,2511
1466100086,4958,4958
1466101963,4956,4956
1466105809,4969,4969
1466107718,4507,4507
1466109632,3607,3607
1466111571,4998,4998
1466113479,4991,4991
1466115399,5026,5026
1466119240,5020,5020
1466121163,5036,5036
1466123077,5034,5034
1466128157,3823,3823
1466130077,5052,5052
1466131996,5051,5051
1466133883,488,488
1466135829,5045,5045
1466137755,5046,5046
1466139701,5051,5051
1466143515,5049,5049
1466145420,3919,3919
1466149265,5065,5065
1466151184,5058,5058
1466153522,5072,5072
1466155476,2115,2115
1466157427,5071,5071
1466159342,5075,5075
1466163183,3951,3951
1466165090,5094,5094
1466167027,5114,5114
1466170856,5113,5113
1466172781,3916,3916
1466176615,5127,5127
1466178534,5139,5139
1466180451,4688,4688
1466182382,5163,5163
1466184287,3991,3991
1466186238,5162,5162
1466190101,5185,5185
1466191969,4075,4075
1466194187,3053,3053
1466196035,4127,4127
1466197967,5201,5201
1466199882,5201,5201
1466203753,5216,5216
1466205764,5240,5240
1466209721,5214,5214
1466211699,5275,5275
1466215828,5286,5286
1466217880,5298,5298
1466219795,4426,4426
1466221723,5296,5296
1466223633,4173,4173
1466225563,5289,5289
1466229415,5286,5286
1466231330,5281,5281
1466235166,5279,5279
1466237086,5277,5277
1466240926,5227,5227
1466242846,5227,5227
1466246675,3982,3982
1466248603,3860,3860
1466250508,742,742
1466252456,5179,5179
1466254372,5127,5127
1466256482,2903,2903
1466258460,5119,5119
1466260361,5104,5104
1466262278,5048,5048
1466266112,3885,3885
1466268037,4167,4167
1466269969,5064,5064
1466271883,5059,5059
1466273800,4533,4533
1466277647,5057,5057
1466279565,5031,5031
1466281480,5109,5109
1466285321,3759,3759
1466288203,5085,5085
1466290129,5081,5081
1466295869,3043,3043
1466297804,4990,4990
1466301673,4941,4941
1466303737,4942,4942
1466305726,5027,5027
1466307766,1943,1943
1466309801,5022,5022
1466311718,4970,4970
1466313635,4961,4961
1466317468,3670,3670
1466319396,4924,4924
1466323269,4926,4926
1466325159,3465,3465
1466327066,1239,1239
1466328994,3462,3462
1466330930,4934,4934
1466332852,4930,4930
1466336673,3284,3284
1466338604,4917,4917
1466342440,4905,4905
1466344359,3406,3406
1466348205,4860,4860
1466350127,4867,4867
1466353957,3176,3176
1466355896,4845,4845
1466357977,4828,4828
1466361878,4801,4801
1466363803,4802,4802
1466367637,4792,4792
1466371477,2422,2422
1466373410,4787,4787
1466375325,4780,4780
1466377282,2968,2968
1466379172,4773,4773
1466381088,4753,4753
1466384930,4756,4756
1466386844,4741,4741
1466388770,4733,4733
1466392605,4711,4711
1466394778,2949,2949
1466398604,4690,4690
1466400535,4691,4691
1466404359,3031,3031
1466406286,4710,4710
1466408196,3725,3725
1466410127,4698,4698
1466412045,3195,3195
1466413979,4037,4037
1466417804,4056,4056
1466419730,4656,4656
1466421640,3201,3201
1466423566,4630,4630
1466425509,2978,2978
1466427404,4627,4627
1466431300,4610,4610
1466433172,4597,4597
1466435072,1560,1560
1466437004,3027,3027
1466438943,4593,4593
1466440836,2966,2966
1466443016,4596,4596
