DateTime,Entries,UniqueIPs
1464417381,6875,6875
1464421223,7097,7097
1464425060,7083,7083
1464429078,7082,7082
1464434913,7084,7084
1464438757,7068,7068
1464442594,5900,5900
1464444509,7046,7046
1464448357,6918,6918
1464452190,6895,6895
1464456030,6757,6757
1464460160,4016,4016
1464465863,6690,6690
1464469716,6510,6510
1464473550,6499,6499
1464477588,6480,6480
1464483398,6474,6474
1464487242,6477,6477
1464491062,6493,6493
1464494916,6346,6346
1464496827,6493,6493
1464500667,6492,6492
1464504502,6483,6483
1464508355,6439,6439
1464513160,6420,6420
1464516984,1639,1639
1464518907,6466,6466
1464523012,6475,6475
1464526852,6563,6563
1464530669,6585,6585
1464534761,6531,6531
1464540508,6483,6483
1464544344,6384,6384
1464548180,4283,4283
1464550111,6497,6497
1464553943,6837,6837
1464557788,6814,6814
1464563548,6684,6684
1464567403,6595,6595
1464571231,6446,6446
1464577060,6504,6504
1464580840,6472,6472
1464584664,6580,6580
1464589714,6612,6612
1464593558,6618,6618
1464598348,6620,6620
1464602184,6646,6646
1464606989,6619,6619
1464612752,6632,6632
1464619034,6748,6748
1464624748,6774,6774
1464628580,6799,6799
1464636260,4091,4091
1464638180,6995,6995
1464642035,6964,6964
1464645858,6957,6957
1464649881,7365,7365
1464655703,7336,7336
1464659548,7328,7328
1464663383,3946,3946
1464665315,7310,7310
1464669148,8064,8064
1464672991,8006,8006
1464676827,8305,8305
1464682594,8309,8309
1464686420,8389,8389
1464690551,8624,8624
1464696260,8631,8631
1464700112,8671,8671
1464703959,8829,8829
1464708754,8198,8198
1464712588,9134,9134
1464716619,9107,9107
1464722426,9210,9210
1464726261,9075,9075
1464730106,9099,9099
1464735871,9150,9150
1464739710,9180,9180
1464743548,9231,9231
1464749306,9255,9255
1464753154,9443,9443
1464756998,6231,6231
1464758912,9598,9598
1464762751,9579,9579
1464767550,9824,9824
1464771621,9063,9063
1464773554,10040,10040
1464777392,10123,10123
1464782188,10161,10161
1464786081,10135,10135
1464790831,10132,10132
1464794666,10207,10207
1464800447,10269,10269
1464804268,10270,10270
1464808120,10251,10251
1464810029,10263,10263
1464813865,10266,10266
1464817711,10282,10282
1464821582,10253,10253
1464825382,8427,8427
1464827310,10239,10239
1464831166,10345,10345
1464834991,10351,10351
1464841010,10466,10466
1464844839,10910,10910
1464848896,11451,11451
1464854658,11460,11460
1464858509,11473,11473
1464862347,8696,8696
1464866367,12574,12574
1464872180,12535,12535
1464876041,12526,12526
1464879858,4480,4480
1464881783,12951,12951
1464885633,13181,13181
1464889687,13207,13207
1464895463,13563,13563
1464899329,13539,13539
1464903150,13492,13492
1464906994,13520,13520
1464912752,13595,13595
1464916591,11067,11067
1464920581,13588,13588
1464926442,13601,13601
1464930260,13604,13604
1464934102,7431,7431
1464936021,9113,9113
1464939859,13620,13620
1464943704,13617,13617
1464947553,13828,13828
1464949468,13829,13829
1464953309,13836,13836
1464957391,9057,9057
1464963161,14136,14136
1464966990,10883,10883
1464972766,14125,14125
1464976595,14146,14146
1464982361,14170,14170
1464986196,14111,14111
1464991960,14031,14031
1464995793,14017,14017
1464997706,14012,14012
1465001563,10864,10864
1465005632,13705,13705
1465009464,13563,13563
1465013550,8733,8733
1465017610,13601,13601
1465023392,13585,13585
1465027227,13471,13471
1465031057,4449,4449
1465032988,8350,8350
1465036824,13295,13295
1465040917,13186,13186
1465044773,13094,13094
1465050514,13032,13032
1465054596,13011,13011
1465058437,12986,12986
1465064209,12923,12923
1465068037,12976,12976
1465072076,7362,7362
1465077918,12709,12709
1465081718,12492,12492
1465085564,12388,12388
1465089423,2743,2743
1465091322,12347,12347
1465095159,12340,12340
1465098994,12337,12337
1465102853,12263,12263
1465107632,6269,6269
1465111464,12262,12262
1465117239,12261,12261
1465121058,12254,12254
1465124904,8095,8095
1465129956,6402,6402
1465134035,12224,12224
1465139795,12258,12258
1465143635,6499,6499
1465147461,6344,6344
1465153248,12227,12227
1465157064,6125,6125
1465162834,6494,6494
1465166666,5888,5888
1465170517,11499,11499
1465174607,5909,5909
1465180352,8101,8101
1465184184,8707,8707
1465186107,10568,10568
1465189958,10537,10537
1465193786,5822,5822
1465198101,5941,5941
1465203863,10330,10330
1465207707,9292,9292
1465211555,5974,5974
1465217306,10051,10051
1465221153,10055,10055
1465224995,9880,9880
1465228851,9915,9915
1465234591,7435,7435
1465238433,10051,10051
1465244190,10045,10045
1465248027,2682,2682
1465249954,10299,10299
1465253794,10293,10293
1465257630,10422,10422
1465262423,7954,7954
1465266262,10176,10176
1465272040,10120,10120
1465275861,10097,10097
1465279717,6574,6574
1465285472,9914,9914
1465289303,9827,9827
1465293308,9906,9906
1465299154,8213,8213
1465302985,9979,9979
1465306832,9964,9964
1465312583,9978,9978
1465316418,7083,7083
1465320258,5377,5377
1465322183,7193,7193
1465326040,10296,10296
1465329859,10236,10236
1465334657,10189,10189
1465338504,2278,2278
1465340435,10097,10097
1465344269,10125,10125
1465348112,10099,10099
1465352906,10093,10093
1465356753,10096,10096
1465362508,10095,10095
1465366348,7280,7280
1465370405,10094,10094
1465376188,10011,10011
1465380047,9999,9999
1465383861,10022,10022
1465389627,8429,8429
1465393461,10074,10074
1465401390,10077,10077
1465407165,6915,6915
1465410990,10076,10076
1465414834,10549,10549
1465420600,10797,10797
1465424428,8691,8691
1465429221,10793,10793
1465433501,9568,9568
1465435458,10809,10809
1465439310,11050,11050
1465443148,11017,11017
1465447210,11038,11038
1465452983,11228,11228
1465456826,6885,6885
1465461627,11352,11352
1465465462,11362,11362
1465470265,11448,11448
1465475065,11573,11573
1465478940,5531,5531
1465480853,11560,11560
1465484912,11639,11639
1465488837,7556,7556
1465492747,11600,11600
1465498590,11602,11602
1465502446,11529,11529
1465506520,11550,11550
1465510599,7659,7659
1465514433,11479,11479
1465520188,11471,11471
1465524041,11489,11489
1465527864,11498,11498
1465531714,6444,6444
1465533622,7017,7017
1465537707,11356,11356
1465541558,11354,11354
1465545392,4429,4429
1465547315,10391,10391
1465551163,8483,8483
1465554986,10988,10988
1465558831,10988,10988
1465564585,10990,10990
1465568430,10952,10952
1465572263,6762,6762
1465576116,10858,10858
1465579966,6961,6961
1465581865,10814,10814
1465585708,10803,10803
1465589553,10798,10798
1465591465,10799,10799
1465595308,10632,10632
1465599157,10347,10347
1465602992,9129,9129
1465604910,10300,10300
1465608766,8307,8307
1465612604,10706,10706
1465616433,8924,8924
1465618360,10683,10683
1465622191,10369,10369
1465626277,6465,6465
1465630107,10324,10324
1465633954,10092,10092
1465638756,10067,10067
1465642592,9201,9201
1465644516,10081,10081
1465648352,10119,10119
1465652184,10096,10096
1465656024,10069,10069
1465660269,10043,10043
1465666105,5607,5607
1465669945,5998,5998
1465674038,9958,9958
1465679792,9874,9874
1465683629,5658,5658
1465687466,9818,9818
1465691451,9817,9817
1465697304,9673,9673
1465701153,9617,9617
1465704998,2603,2603
1465706915,9584,9584
1465710754,9564,9564
1465714586,9556,9556
1465718437,9455,9455
1465720356,9559,9559
1465724190,6653,6653
1465728022,9560,9560
1465737624,9596,9596
1465741464,9517,9517
1465745314,9514,9514
1465749291,9530,9530
1465755149,9549,9549
1465758985,9522,9522
1465764746,9381,9381
1465768596,9383,9383
1465772431,6869,6869
1465774353,9385,9385
1465778188,9389,9389
1465782020,9390,9390
1465785864,9393,9393
1465790659,9524,9524
1465794507,9519,9519
1465800261,8591,8591
1465804105,9512,9512
1465808116,9513,9513
1465813944,9511,9511
1465817788,9512,9512
1465821627,9508,9508
1465825479,9507,9507
1465830264,9503,9503
1465834112,5898,5898
1465839862,9548,9548
1465843712,9667,9667
1465847752,9783,9783
1465853578,9568,9568
1465857386,9789,9789
1465861233,9838,9838
1465865293,9933,9933
1465871058,6529,6529
1465874906,9919,9919
1465878937,9948,9948
1465884768,9952,9952
1465888596,9875,9875
1465894352,9948,9948
1465898192,10040,10040
1465902033,10003,10003
1465905863,6802,6802
1465907881,7357,7357
1465911634,9768,9768
1465915520,9893,9893
1465920290,5864,5864
1465922186,8015,8015
1465926084,9494,9494
1465929859,8485,8485
1465934670,9648,9648
1465939707,9692,9692
1465943557,9746,9746
1465948352,9772,9772
1465953154,9758,9758
1465955063,9770,9770
1465958912,9779,9779
1465962753,9799,9799
1465966585,9797,9797
1465972363,6262,6262
1465976190,9941,9941
1465980029,9906,9906
1465983865,9940,9940
1465988153,9938,9938
1465993950,9930,9930
1465997784,10547,10547
1466001635,10563,10563
1466005460,10568,10568
1466011225,10914,10914
1466015061,10886,10886
1466018921,10830,10830
1466024665,10848,10848
1466028539,10966,10966
