DateTime,AddedIPs,RemovedIPs
1466043389,60,78
1466044354,187,179
1466045276,94,73
1466046276,168,181
1466047256,144,135
1466048198,116,118
1466049173,94,100
1466050107,142,135
1466051096,96,102
1466052026,140,137
1466053002,119,130
1466053952,78,92
1466054940,151,135
1466055865,95,109
1466056901,194,201
1466058024,98,127
1466058983,104,133
1466059948,256,243
1466060902,103,150
1466061872,91,105
1466062826,157,187
1466063780,86,84
1466064777,111,132
1466065716,117,151
1466066678,175,159
1466067653,211,265
1466068585,69,71
1466069564,86,145
1466070512,513,421
1466071458,332,286
1466072427,178,112
1466073460,147,137
1466074583,156,138
1466075552,83,81
1466076507,118,118
1466077458,134,112
1466078436,139,140
1466079386,63,69
1466080373,109,114
1466081309,312,298
1466082317,231,245
1466083456,153,152
1466084430,187,141
1466085387,78,86
1466086341,131,115
1466087308,247,220
1466088349,95,86
1466089258,104,132
1466090202,69,74
1466091452,159,224
1466092589,501,443
1466093535,116,147
1466094507,163,220
1466095462,102,86
1466096454,259,259
1466097387,85,89
1466098362,163,197
1466099312,106,123
1466100259,129,112
1466101224,85,111
1466102186,94,113
1466103146,341,347
1466104114,147,146
1466105060,84,102
1466106028,121,133
1466106989,154,150
1466107953,109,135
1466108906,179,186
1466109866,75,85
1466110850,164,152
1466111791,83,80
1466112756,151,130
1466113711,119,110
1466114661,157,152
1466115629,126,140
1466116582,119,113
1466117546,101,120
1466118514,163,168
1466119459,76,74
1466120425,156,199
1466121389,162,146
1466122402,197,150
1466123298,38,52
1466123551,183,183
1466124268,45,30
1466124497,111,111
1466126464,220,259
1466128182,289,269
1466129408,128,149
1466130502,159,176
1466131468,172,183
1466132440,182,192
1466133385,85,87
1466134360,229,189
1466135304,94,108
1466136260,184,165
1466137226,131,135
1466138182,85,95
1466139145,164,161
1466140114,114,128
1466141057,92,93
1466142024,179,131
1466143001,99,105
1466143949,127,127
1466144908,218,158
1466145866,73,135
1466146845,200,154
1466147801,94,82
1466148760,142,155
1466149704,79,71
1466150664,210,164
1466151624,93,84
1466152994,162,167
1466154033,159,138
1466154999,67,52
1466155948,233,169
1466156906,138,269
1466157861,117,222
1466158834,103,111
1466159779,131,125
1466160750,128,138
1466161701,139,141
1466162659,104,108
1466163629,178,183
1466164579,86,75
1466165548,132,146
1466166563,191,193
1466167713,122,142
1466168660,109,103
1466169617,138,153
1466170578,92,101
1466171551,125,136
1466172502,98,119
1466173475,92,136
1466174433,157,212
1466175475,485,389
1466176636,116,92
1466177549,136,136
1466178545,154,245
1466179464,80,128
1466180458,167,170
1466181376,370,328
1466182396,453,425
1466183304,111,138
1466184294,79,91
1466185230,40,50
1466186244,324,346
1466187394,86,90
1466188349,122,146
1466189300,122,116
1466190263,30,48
1466191216,40,51
1466192179,273,276
1466193147,359,392
1466194210,158,169
1466195305,135,171
1466196260,130,139
1466197250,191,189
1466198182,438,399
1466199165,172,183
1466200104,169,123
1466201113,308,281
1466202028,33,60
1466202982,150,142
1466203945,56,54
1466204923,66,101
1466205864,129,101
1466206828,150,148
1466207811,16,21
1466208761,400,389
1466209737,147,160
1466210664,129,109
1466211716,252,272
1466212814,194,145
1466213790,130,174
1466214738,3,20
1466215851,235,200
1466216907,115,117
1466217888,127,127
1466218867,137,143
1466219806,246,243
1466220759,162,189
1466221740,207,194
1466222669,110,98
1466223640,129,132
1466224605,117,95
1466225570,110,104
1466226518,188,219
1466227490,119,128
1466228469,155,163
1466229421,137,135
1466230366,117,130
1466231336,175,170
1466232274,131,114
1466233299,140,162
1466234201,33,35
1466235180,181,189
1466236372,140,149
1466237301,120,124
1466238269,111,104
1466239224,158,152
1466240192,65,66
1466241144,137,137
1466242119,183,216
1466243054,80,69
1466244059,139,148
1466244985,128,121
1466245967,162,169
1466246905,146,164
1466247875,131,139
1466248815,118,122
1466249796,119,108
1466250749,106,129
1466251724,117,102
1466252652,93,97
1466253640,170,166
1466254574,102,99
1466255569,118,107
1466256495,183,210
1466257467,82,97
1466258532,142,142
1466259140,60,10
1466259613,104,104
1466260112,34,2
1466260597,87,87
1466261055,16,0
1466261547,95,95
1466262040,40,101
1466263109,201,201
1466264211,115,90
1466265146,126,94
1466266120,112,91
1466267053,104,103
1466268052,154,217
1466268982,56,104
1466269977,108,119
1466270909,187,155
1466271890,66,67
1466272835,149,129
1466273818,107,101
1466274752,177,131
1466275730,153,157
1466276669,98,89
1466277654,98,86
1466278579,81,68
1466279578,142,123
1466280502,29,20
1466281001,120,120
1466281483,11,14
1466281948,101,101
1466282421,60,4
1466282926,114,114
1466283407,12,0
1466283864,98,98
1466284343,12,131
1466284825,84,84
1466285332,58,45
1466285778,87,87
1466286253,23,18
1466286767,85,85
1466287239,29,74
1466287706,85,85
1466288216,20,0
1466288661,86,86
1466289144,41,40
1466289619,116,116
1466290136,28,11
1466290598,84,84
1466291062,27,0
1466291542,85,85
1466292046,13,32
1466292517,112,112
1466292981,44,50
1466293453,59,59
1466293981,24,6
1466294452,112,112
1466294901,28,79
1466295386,34,34
1466295872,22,37
1466296368,136,136
1466296837,50,46
1466297303,64,64
1466297807,23,27
1466298274,124,124
1466298743,35,45
1466299218,88,88
1466299738,38,24
1466300198,77,77
1466300654,18,0
1466301146,80,80
1466301687,32,34
1466302116,90,90
1466302820,24,42
1466303048,78,78
1466303753,30,28
1466304061,116,116
1466304739,24,35
1466304975,82,82
1466305731,27,18
1466305965,51,52
1466306655,21,44
1466306898,115,115
1466307772,49,33
1466308363,97,97
1466308835,26,50
1466309297,87,87
1466309821,6,20
1466310260,80,80
1466310748,31,45
1466311228,113,113
1466311726,18,31
1466312186,58,58
1466312660,10,18
1466313142,97,97
1466313641,18,12
1466314121,163,163
1466314573,26,35
1466315060,59,59
1466315611,24,51
1466316046,96,96
1466316754,23,30
1466316986,74,74
1466317712,32,66
1466317960,82,82
1466318653,18,5
1466318906,120,120
1466319638,34,40
1466319870,89,89
1466320590,2,14
1466320814,96,96
1466321551,47,61
1466321972,125,125
1466322500,21,28
1466322983,60,60
1466323458,56,24
1466323958,105,105
1466324414,34,20
1466324910,130,130
1466325391,31,26
1466325864,43,43
1466326340,26,20
1466326831,136,136
1466327304,30,34
1466327808,93,93
1466328254,20,32
1466328749,78,78
1466329224,29,52
1466329716,75,75
1466330186,52,22
1466330655,143,143
1466331142,29,23
1466331634,79,79
1466332573,78,78
1466332869,50,57
1466333561,122,122
1466333775,8,18
1466334497,109,109
1466334776,26,50
1466335472,72,72
1466335705,41,45
1466336427,126,126
1466336679,16,8
1466337386,83,83
1466337640,37,40
1466338346,103,103
1466338620,5,12
1466339318,146,146
1466339579,36,41
1466340547,120,139
1466341469,118,111
1466342448,115,115
1466343388,70,85
1466344376,145,154
1466345305,128,136
1466346284,92,100
1466347246,148,134
1466348215,94,104
1466349149,99,97
1466350234,178,186
1466351321,148,148
1466352273,136,129
1466353212,110,118
1466354181,103,111
1466355220,123,109
1466356338,126,126
1466357306,181,193
1466358265,84,77
1466359240,152,153
1466360199,100,98
1466361152,108,126
1466362115,150,137
1466363063,114,114
1466364020,104,92
1466364987,80,95
1466365950,126,138
1466366911,134,126
1466367858,123,129
1466368829,135,152
1466369784,63,65
1466370747,122,116
1466371711,153,154
1466372739,70,70
1466373150,43,25
1466373669,108,108
1466374102,9,32
1466374592,74,74
1466375059,17,24
1466375550,98,98
1466376276,31,27
1466376495,117,117
1466377290,33,33
1466377459,114,114
1466378197,4,8
1466378410,90,90
1466379183,30,42
1466379381,69,69
1466380103,40,42
1466380346,96,96
1466381101,27,28
1466381299,112,112
1466382021,30,32
1466382249,91,91
1466383021,21,39
1466383219,95,95
1466383946,18,28
1466384177,72,72
1466384937,37,28
1466385409,128,128
1466385857,44,14
1466386348,85,85
1466386856,34,28
1466387307,102,102
1466387785,12,9
1466388263,68,68
1466388776,27,18
1466389223,123,123
1466389716,80,38
1466390185,73,73
1466390690,14,10
1466391148,90,90
1466391634,48,31
1466392102,96,96
1466392621,12,8
1466393058,88,88
1466393613,50,47
1466394018,84,84
1466394841,39,22
1466394993,81,81
1466395953,112,94
1466396906,181,160
1466397863,81,65
1466398882,141,125
1466399788,91,81
1466400773,149,129
1466401705,147,136
1466402702,111,108
1466403629,94,86
1466404585,123,107
