DateTime,Entries,UniqueIPs
1466023950,4825,4825
1466024913,4846,4846
1466025859,4847,4847
1466026831,4828,4828
1466027795,4840,4840
1466028749,4833,4833
1466029707,4829,4829
1466030664,4866,4866
1466031646,4866,4866
1466032582,4884,4884
1466033557,4938,4938
1466034508,5001,5001
1466035463,4979,4979
1466036445,4950,4950
1466037634,4922,4922
1466038580,4945,4945
1466039562,4933,4933
1466040525,4928,4928
1466041460,4897,4897
1466042449,4901,4901
1466043389,4883,4883
1466044354,4891,4891
1466045276,4912,4912
1466046276,4899,4899
1466047256,4908,4908
1466048198,4906,4906
1466049173,4900,4900
1466050107,4907,4907
1466051096,4901,4901
1466052026,4904,4904
1466053002,4893,4893
1466053952,4879,4879
1466054940,4895,4895
1466055865,4881,4881
1466056901,4874,4874
1466058024,4845,4845
1466058983,4816,4816
1466059948,4829,4829
1466060902,4782,4782
1466061872,4768,4768
1466062826,4738,4738
1466063780,4740,4740
1466064777,4719,4719
1466065716,4685,4685
1466066678,4701,4701
1466067653,4647,4647
1466068585,4645,4645
1466069564,4586,4586
1466070512,4678,4678
1466071458,4724,4724
1466072427,4790,4790
1466073460,4800,4800
1466074583,4818,4818
1466075552,4820,4820
1466076507,4820,4820
1466077458,4842,4842
1466078436,4841,4841
1466079386,4835,4835
1466080373,4830,4830
1466081309,4844,4844
1466082317,4830,4830
1466083456,4831,4831
1466084430,4877,4877
1466085387,4869,4869
1466086341,4885,4885
1466087308,4912,4912
1466088349,4921,4921
1466089258,4893,4893
1466090202,4888,4888
1466091452,4823,4823
1466092589,4881,4881
1466093535,4850,4850
1466094507,4793,4793
1466095462,4809,4809
1466096454,4809,4809
1466097387,4805,4805
1466098362,4771,4771
1466099312,4754,4754
1466100259,4771,4771
1466101224,4745,4745
1466102186,4726,4726
1466103146,4720,4720
1466104114,4721,4721
1466105060,4703,4703
1466106028,4691,4691
1466106989,4695,4695
1466107953,4669,4669
1466108906,4662,4662
1466109866,4652,4652
1466110850,4664,4664
1466111791,4667,4667
1466112756,4688,4688
1466113711,4697,4697
1466114661,4702,4702
1466115629,4688,4688
1466116582,4694,4694
1466117546,4675,4675
1466118514,4670,4670
1466119459,4672,4672
1466120425,4629,4629
1466121389,4645,4645
1466122402,4692,4692
1466123298,4678,4678
1466123551,4678,4678
1466124268,4693,4693
1466124497,4693,4693
1466126464,4654,4654
1466128182,4674,4674
1466129408,4653,4653
1466130502,4636,4636
1466131468,4625,4625
1466132440,4615,4615
1466133385,4613,4613
1466134360,4653,4653
1466135304,4639,4639
1466136260,4658,4658
1466137226,4654,4654
1466138182,4644,4644
1466139145,4647,4647
1466140114,4633,4633
1466141057,4632,4632
1466142024,4680,4680
1466143001,4674,4674
1466143949,4674,4674
1466144908,4734,4734
1466145866,4672,4672
1466146845,4718,4718
1466147801,4730,4730
1466148760,4717,4717
1466149704,4725,4725
1466150664,4771,4771
1466151624,4780,4780
1466152994,4775,4775
1466154033,4796,4796
1466154999,4811,4811
1466155948,4875,4875
1466156906,4744,4744
1466157861,4639,4639
1466158834,4631,4631
1466159779,4637,4637
1466160750,4627,4627
1466161701,4625,4625
1466162659,4621,4621
1466163629,4616,4616
1466164579,4627,4627
1466165548,4613,4613
1466166563,4611,4611
1466167713,4591,4591
1466168660,4597,4597
1466169617,4582,4582
1466170578,4573,4573
1466171551,4562,4562
1466172502,4541,4541
1466173475,4497,4497
1466174433,4442,4442
1466175475,4538,4538
1466176636,4562,4562
1466177549,4562,4562
1466178545,4471,4471
1466179464,4423,4423
1466180458,4420,4420
1466181376,4462,4462
1466182396,4490,4490
1466183304,4463,4463
1466184294,4451,4451
1466185230,4441,4441
1466186244,4419,4419
1466187394,4415,4415
1466188349,4391,4391
1466189300,4397,4397
1466190263,4379,4379
1466191216,4368,4368
1466192179,4365,4365
1466193147,4332,4332
1466194210,4321,4321
1466195305,4285,4285
1466196260,4276,4276
1466197250,4278,4278
1466198182,4317,4317
1466199165,4306,4306
1466200104,4352,4352
1466201113,4379,4379
1466202028,4352,4352
1466202982,4360,4360
1466203945,4362,4362
1466204923,4327,4327
1466205864,4355,4355
1466206828,4357,4357
1466207811,4352,4352
1466208761,4363,4363
1466209737,4350,4350
1466210664,4370,4370
1466211716,4350,4350
1466212814,4399,4399
1466213790,4355,4355
1466214738,4338,4338
1466215851,4373,4373
1466216907,4371,4371
1466217888,4371,4371
1466218867,4365,4365
1466219806,4368,4368
1466220759,4341,4341
1466221740,4354,4354
1466222669,4366,4366
1466223640,4363,4363
1466224605,4385,4385
1466225570,4391,4391
1466226518,4360,4360
1466227490,4351,4351
1466228469,4343,4343
1466229421,4345,4345
1466230366,4332,4332
1466231336,4337,4337
1466232274,4354,4354
1466233299,4332,4332
1466234201,4330,4330
1466235180,4322,4322
1466236372,4313,4313
1466237301,4309,4309
1466238269,4316,4316
1466239224,4322,4322
1466240192,4321,4321
1466241144,4321,4321
1466242119,4288,4288
1466243054,4299,4299
1466244059,4290,4290
1466244985,4297,4297
1466245967,4290,4290
1466246905,4272,4272
1466247875,4264,4264
1466248815,4260,4260
1466249796,4271,4271
1466250749,4248,4248
1466251724,4263,4263
1466252652,4259,4259
1466253640,4263,4263
1466254574,4266,4266
1466255569,4277,4277
1466256495,4250,4250
1466257467,4235,4235
1466258532,4235,4235
1466259140,4285,4285
1466259613,4285,4285
1466260112,4317,4317
1466260597,4317,4317
1466261055,4333,4333
1466261547,4333,4333
1466262040,4272,4272
1466263109,4272,4272
1466264211,4297,4297
1466265146,4329,4329
1466266120,4350,4350
1466267053,4351,4351
1466268052,4288,4288
1466268982,4240,4240
1466269977,4229,4229
1466270909,4261,4261
1466271890,4260,4260
1466272835,4280,4280
1466273818,4286,4286
1466274752,4332,4332
1466275730,4328,4328
1466276669,4337,4337
1466277654,4349,4349
1466278579,4362,4362
1466279578,4381,4381
1466280502,4390,4390
1466281001,4390,4390
1466281483,4387,4387
1466281948,4387,4387
1466282421,4443,4443
1466282926,4443,4443
1466283407,4455,4455
1466283864,4455,4455
1466284343,4336,4336
1466284825,4336,4336
1466285332,4349,4349
1466285778,4349,4349
1466286253,4354,4354
1466286767,4354,4354
1466287239,4309,4309
1466287706,4309,4309
1466288216,4329,4329
1466288661,4329,4329
1466289144,4330,4330
1466289619,4330,4330
1466290136,4347,4347
1466290598,4347,4347
1466291062,4374,4374
1466291542,4374,4374
1466292046,4355,4355
1466292517,4355,4355
1466292981,4349,4349
1466293453,4349,4349
1466293981,4367,4367
1466294452,4367,4367
1466294901,4316,4316
1466295386,4316,4316
1466295872,4301,4301
1466296368,4301,4301
1466296837,4305,4305
1466297303,4305,4305
1466297807,4301,4301
1466298274,4301,4301
1466298743,4291,4291
1466299218,4291,4291
1466299738,4305,4305
1466300198,4305,4305
1466300654,4323,4323
1466301146,4323,4323
1466301687,4321,4321
1466302116,4321,4321
1466302820,4303,4303
1466303048,4303,4303
1466303753,4305,4305
1466304061,4305,4305
1466304739,4294,4294
1466304975,4294,4294
1466305731,4303,4303
1466305965,4302,4302
1466306655,4279,4279
1466306898,4279,4279
1466307772,4295,4295
1466308363,4295,4295
1466308835,4271,4271
1466309297,4271,4271
1466309821,4257,4257
1466310260,4257,4257
1466310748,4243,4243
1466311228,4243,4243
1466311726,4230,4230
1466312186,4230,4230
1466312660,4222,4222
1466313142,4222,4222
1466313641,4228,4228
1466314121,4228,4228
1466314573,4219,4219
1466315060,4219,4219
1466315611,4192,4192
1466316046,4192,4192
1466316754,4185,4185
1466316986,4185,4185
1466317712,4151,4151
1466317960,4151,4151
1466318653,4164,4164
1466318906,4164,4164
1466319638,4158,4158
1466319870,4158,4158
1466320590,4146,4146
1466320814,4146,4146
1466321551,4132,4132
1466321972,4132,4132
1466322500,4125,4125
1466322983,4125,4125
1466323458,4157,4157
1466323958,4157,4157
1466324414,4171,4171
1466324910,4171,4171
1466325391,4176,4176
1466325864,4176,4176
1466326340,4182,4182
1466326831,4182,4182
1466327304,4178,4178
1466327808,4178,4178
1466328254,4166,4166
1466328749,4166,4166
1466329224,4143,4143
1466329716,4143,4143
1466330186,4173,4173
1466330655,4173,4173
1466331142,4179,4179
1466331634,4179,4179
1466332573,4179,4179
1466332869,4172,4172
1466333561,4172,4172
1466333775,4162,4162
1466334497,4162,4162
1466334776,4138,4138
1466335472,4138,4138
1466335705,4134,4134
1466336427,4134,4134
1466336679,4142,4142
1466337386,4142,4142
1466337640,4139,4139
1466338346,4139,4139
1466338620,4132,4132
1466339318,4132,4132
1466339579,4127,4127
1466340547,4108,4108
1466341469,4115,4115
1466342448,4115,4115
1466343388,4100,4100
1466344376,4091,4091
1466345305,4083,4083
1466346284,4075,4075
1466347246,4089,4089
1466348215,4079,4079
1466349149,4081,4081
1466350234,4073,4073
1466351321,4073,4073
1466352273,4080,4080
1466353212,4072,4072
1466354181,4064,4064
1466355220,4078,4078
1466356338,4078,4078
1466357306,4066,4066
1466358265,4073,4073
1466359240,4072,4072
1466360199,4074,4074
1466361152,4056,4056
1466362115,4069,4069
1466363063,4069,4069
1466364020,4081,4081
1466364987,4066,4066
1466365950,4054,4054
1466366911,4062,4062
1466367858,4056,4056
1466368829,4039,4039
1466369784,4037,4037
1466370747,4043,4043
1466371711,4042,4042
1466372739,4042,4042
1466373150,4060,4060
1466373669,4060,4060
1466374102,4037,4037
1466374592,4037,4037
1466375059,4030,4030
1466375550,4030,4030
1466376276,4034,4034
1466376495,4034,4034
1466377290,4034,4034
1466377459,4034,4034
1466378197,4030,4030
1466378410,4030,4030
1466379183,4018,4018
1466379381,4018,4018
1466380103,4016,4016
1466380346,4016,4016
1466381101,4015,4015
1466381299,4015,4015
1466382021,4013,4013
1466382249,4013,4013
1466383021,3995,3995
1466383219,3995,3995
1466383946,3985,3985
1466384177,3985,3985
1466384937,3994,3994
1466385409,3994,3994
1466385857,4024,4024
1466386348,4024,4024
1466386856,4030,4030
1466387307,4030,4030
1466387785,4033,4033
1466388263,4033,4033
1466388776,4042,4042
1466389223,4042,4042
1466389716,4084,4084
1466390185,4084,4084
1466390690,4088,4088
1466391148,4088,4088
1466391634,4105,4105
1466392102,4105,4105
1466392621,4109,4109
1466393058,4109,4109
1466393613,4112,4112
1466394018,4112,4112
1466394841,4129,4129
1466394993,4129,4129
1466395953,4147,4147
1466396906,4168,4168
1466397863,4184,4184
1466398882,4200,4200
1466399788,4210,4210
1466400773,4230,4230
1466401705,4241,4241
1466402702,4244,4244
1466403629,4252,4252
1466404585,4268,4268
1466405556,4265,4265
1466406510,4271,4271
1466407459,4291,4291
1466408420,4353,4353
1466409393,4351,4351
1466410353,4339,4339
1466411305,4336,4336
1466412259,4314,4314
1466413286,4274,4274
1466414190,4259,4259
1466415164,4244,4244
1466416114,4241,4241
1466417059,4382,4382
1466418018,4416,4416
1466418987,4459,4459
1466419948,4464,4464
1466420912,4465,4465
1466421855,4486,4486
1466422829,4496,4496
1466423786,4519,4519
1466425057,4539,4539
1466426218,4572,4572
