DateTime,Entries,UniqueIPs
1465944994,103990,108114
1465945942,103996,108123
1465946900,103946,108072
1465947872,103897,108020
1465948866,103892,108014
1465949826,103963,108088
1465950758,104012,108137
1465951701,104014,108140
1465952681,104017,108144
1465953619,103995,108122
1465954589,104039,108168
1465955544,104101,108230
1465956511,104119,108250
1465957460,104146,108276
1465958434,104166,108298
1465959382,104166,108301
1465960354,104173,108310
1465961298,104172,108309
1465962261,104168,108305
1465963251,104194,108332
1465964186,104173,108313
1465965149,104209,108352
1465966120,104206,108351
1465967089,104246,108391
1465968023,104209,108354
1465968981,104228,108369
1465969946,104238,108383
1465970903,104262,108409
1465971869,104271,108421
1465972815,104282,108433
1465973784,104293,108444
1465974750,104308,108459
1465975707,104308,108459
1465976653,104297,108449
1465977650,104358,108515
1465978585,104345,108502
1465979561,104390,108550
1465980511,104388,108549
1465981459,104432,108598
1465982424,104449,108619
1465983386,104473,108646
1465984483,104499,108672
1465985608,104491,108665
1465986742,104510,108682
1465987706,104480,108653
1465988662,104486,108661
1465989615,104499,108674
1465990581,104513,108688
1465991540,104511,108687
1465992501,104515,108693
1465993457,104515,108695
1465994417,104542,108725
1465995370,104529,108712
1465996357,104573,108759
1465997293,104568,108752
1465998250,104552,108736
1465999255,104576,108759
1466000188,104551,108732
1466001236,104575,108757
1466002378,104583,108764
1466003294,104592,108773
1466004286,104582,108763
1466005233,104610,108790
1466006255,104630,108812
1466007436,104634,108812
1466008371,104679,108857
1466009318,104688,108865
1466010373,104625,108804
1466011455,104518,108696
1466012434,104466,108643
1466013394,104423,108600
1466014341,104409,108586
1466015312,104366,108542
1466016263,104319,108493
1466017245,104296,108472
1466018188,104269,108445
1466019158,104245,108419
1466020120,104242,108418
1466021055,104233,108409
1466022022,104162,108335
1466022980,104153,108328
1466023946,104128,108304
1466024909,104156,108334
1466025855,104090,108270
1466026827,104010,108185
1466027791,103982,108158
1466028745,103970,108146
1466029704,103971,108145
1466030661,103918,108093
1466031643,103886,108063
1466032578,103855,108032
1466033553,103854,108033
1466034505,103877,108062
1466035459,103856,108038
1466036441,103789,107971
1466037630,103822,108008
1466038576,103756,107943
1466039558,103749,107937
1466040513,103718,107908
1466041457,103659,107853
1466042445,103609,107803
1466043386,103558,107752
1466044350,103542,107737
1466045272,103457,107650
1466046272,103457,107656
1466047253,103391,107588
1466048195,103350,107546
1466049169,103304,107500
1466050104,103300,107494
1466051092,103278,107471
1466052022,103257,107451
1466052998,103202,107392
1466053947,103172,107363
1466054937,103136,107325
1466055861,103062,107255
1466056897,103082,107278
1466058020,103003,107197
1466058979,102932,107126
1466059944,102929,107119
1466060898,102868,107056
1466061869,102845,107030
1466062822,102807,106992
1466063776,102733,106918
1466064770,102682,106859
1466065712,102632,106805
1466066674,102622,106798
1466067649,102537,106714
1466068581,102552,106736
1466069561,102522,106706
1466070508,102524,106715
1466071455,102596,106795
1466072423,102613,106820
1466073457,102560,106769
1466074578,102540,106748
1466075548,102508,106717
1466076503,102508,106714
1466077455,102476,106680
1466078433,102474,106677
1466079382,102398,106599
1466080369,102378,106579
1466081305,102354,106556
1466082313,102359,106562
1466083453,102322,106523
1466084427,102356,106558
1466085384,102322,106523
1466086337,102289,106489
1466087305,102330,106536
1466088345,102292,106499
1466089254,102255,106460
1466090199,102228,106430
1466091449,102152,106350
1466092586,102199,106401
1466093532,102159,106360
1466094504,102073,106271
1466095459,102076,106275
1466096450,102116,106318
1466097383,102128,106331
1466098359,102045,106250
1466099308,101965,106169
1466100256,101916,106123
1466101221,101887,106092
1466102183,101851,106053
1466103143,101837,106037
1466104110,101850,106049
1466105057,101752,105945
1466106024,101754,105948
1466106985,101708,105903
1466107949,101718,105913
1466108902,101694,105887
1466109863,101650,105843
1466110846,101640,105836
1466111787,101609,105805
1466112753,101610,105805
1466113708,101601,105797
1466114657,101578,105775
1466115625,101557,105755
1466116578,101537,105740
1466117542,101511,105713
1466118511,101538,105742
1466119455,101500,105701
1466120421,101467,105669
1466121385,101447,105651
1466122397,101471,105677
1466123298,101468,105671
1466124268,101442,105647
1466126461,101284,105483
1466128179,101190,105385
1466129404,101152,105349
1466130498,101099,105295
1466131465,101007,105201
1466132437,100964,105157
1466133381,100896,105083
1466134356,100916,105106
1466135300,100846,105032
1466136256,100803,104988
1466137222,100728,104908
1466138178,100714,104889
1466139142,100662,104835
1466140110,100651,104828
1466141053,100582,104755
1466142021,100573,104745
1466142998,100528,104698
1466143946,100466,104636
1466144904,100480,104648
1466145862,100417,104583
1466146841,100436,104609
1466147797,100351,104523
1466148756,100335,104506
1466149700,100336,104507
1466150659,100334,104505
1466151620,100287,104461
1466152991,100262,104434
1466154030,100274,104446
1466154995,100259,104428
1466155944,100296,104467
1466156902,100271,104440
1466157857,100243,104412
1466158830,100222,104391
1466159775,100187,104355
1466160746,100206,104374
1466161697,100197,104366
1466162655,100134,104301
1466163625,100139,104307
1466164575,100087,104251
1466165544,100098,104263
1466166559,100041,104205
1466167709,99947,104112
1466168656,99976,104142
1466169613,99968,104134
1466170575,99988,104157
1466171548,99929,104100
1466172498,99931,104102
1466173471,99818,103985
1466174428,99750,103917
1466175472,99859,104029
1466176633,99752,103914
