DateTime,AddedIPs,RemovedIPs
1465972815,39,0
1465973784,29,82
1465974750,35,26
1465975707,45,66
1465976653,30,0
1465977650,66,54
1465978585,14,52
1465979561,59,41
1465980511,28,46
1465981459,71,40
1465982424,45,0
1465983386,52,63
1465984483,47,52
1465985608,27,37
1465986742,56,46
1465987706,32,22
1465988662,29,27
1465989615,13,63
1465990581,24,16
1465991540,22,42
1465992501,31,6
1465993457,21,60
1465994417,39,50
1465995370,16,42
1465996357,47,20
1465997293,35,17
1465998250,19,46
1465999255,47,39
1466000188,7,31
1466001236,47,28
1466002378,58,14
1466003294,9,44
1466004286,32,71
1466005233,55,26
1466006255,42,48
1466007436,38,22
1466008371,63,19
1466009318,41,24
1466010373,67,31
1466011455,24,73
1466012434,54,0
1466013394,13,42
1466014341,5,0
1466015312,61,50
1466016263,35,62
1466017245,51,25
1466018188,23,0
1466019158,50,94
1466020120,41,24
1466021055,35,0
1466022022,35,28
1466022980,24,34
1466023946,50,37
1466024909,46,36
1466025855,36,0
1466026827,23,20
1466027791,23,90
1466028745,28,50
1466029704,35,0
1466030661,45,62
1466031643,47,0
1466032578,18,20
1466033553,54,44
1466034505,69,59
1466035459,26,41
1466036441,21,45
1466037630,62,48
1466038576,29,29
1466039558,31,96
1466040513,60,12
1466041457,22,0
1466042445,33,46
1466043386,18,12
1466044350,69,58
1466045272,31,33
1466046272,43,61
1466047253,31,38
1466048195,28,52
1466049169,25,0
1466050104,39,35
1466051092,24,85
1466052022,38,0
1466052998,22,68
1466053947,28,0
1466054937,34,53
1466055861,20,0
1466056897,47,71
1466058020,8,46
1466058979,8,24
1466059944,48,28
1466060898,6,20
1466061869,11,33
1466062822,35,47
1466063776,23,20
1466064770,6,59
1466065712,26,0
1466066674,35,6
1466067649,22,44
1466068581,23,48
1466069561,6,39
1466070508,137,12
1466071455,81,0
1466072423,92,0
1466073457,47,85
1466074578,44,26
1466075548,38,101
1466076503,47,0
1466077455,32,54
1466078433,41,0
1466079382,10,12
1466080369,37,83
1466081305,53,34
1466082313,28,26
1466083453,40,26
1466084427,78,25
1466085384,22,26
1466086337,36,24
1466087305,80,23
1466088345,21,15
1466089254,13,16
1466090199,8,43
1466091449,6,21
1466092586,99,30
1466093532,24,10
1466094504,8,47
1466095459,35,22
1466096450,61,25
1466097383,18,25
1466098359,37,10
1466099308,26,28
1466100256,36,25
1466101221,27,58
1466102183,22,9
1466103143,28,43
1466104110,47,35
1466105057,21,23
1466106024,34,25
1466106985,23,24
1466107949,20,19
1466108902,46,36
1466109863,23,65
1466110846,43,0
1466111787,21,32
1466112753,55,45
1466113708,39,26
1466114657,26,2
1466115625,16,24
1466116578,50,38
1466117542,19,14
1466118511,37,0
1466119455,2,48
1466120421,24,49
1466121385,34,30
1466122397,64,12
1466123298,38,26
1466124268,45,47
1466126461,49,62
1466128179,77,24
1466129404,20,44
1466130498,41,48
1466131465,13,14
1466132437,48,25
1466133381,14,37
1466134356,72,16
1466135300,26,28
1466136256,42,20
1466137222,12,38
1466138178,12,27
1466139142,47,31
1466140110,26,0
1466141053,20,28
1466142021,68,20
1466142998,25,34
1466143946,33,36
1466144904,64,22
1466145862,14,38
1466146841,60,28
1466147797,12,22
1466148756,39,27
1466149700,32,14
1466150659,52,19
1466151620,22,44
1466152991,35,36
1466154030,46,30
1466154995,17,56
1466155944,98,0
1466156902,31,38
1466157857,27,32
1466158830,21,32
1466159775,40,0
1466160746,46,48
1466161697,39,26
1466162655,23,37
1466163625,46,75
1466164575,25,22
1466165544,25,30
1466166559,45,58
1466167709,28,44
1466168656,30,8
1466169613,29,45
1466170575,23,29
1466171548,37,23
1466172498,2,36
1466173471,4,36
1466174428,0,29
1466175472,112,28
1466176633,30,26
1466177546,0,37
1466178541,6,19
1466179459,0,41
1466180454,6,41
1466181372,50,34
1466182392,94,42
1466183300,25,24
1466184290,16,30
1466185226,16,46
1466186241,35,33
1466187390,4,4
1466188345,15,26
1466189296,26,21
1466190260,12,26
1466191212,8,50
1466192175,10,37
1466193144,5,10
1466194206,11,22
1466195301,10,49
1466196256,9,24
1466197246,30,51
1466198178,47,0
1466199160,29,58
1466200101,83,30
1466201109,49,42
1466202024,10,0
1466202979,25,12
1466203941,18,27
1466204920,2,47
1466205861,28,0
1466206825,31,47
1466207807,16,0
1466208758,87,74
1466209732,37,2
1466210660,45,0
1466211712,20,43
1466212811,60,40
1466213787,8,34
1466214735,2,18
1466215847,55,32
1466216904,22,34
1466217884,27,20
1466218864,37,22
1466219803,15,20
1466220756,50,41
1466221736,48,15
1466222665,40,24
1466223637,20,50
1466224602,42,16
1466225566,45,25
1466226515,12,10
1466227486,25,30
1466228466,49,72
1466229417,21,33
1466230363,26,29
1466231333,54,37
1466232271,23,35
1466233296,36,56
1466234198,10,46
1466235177,42,55
1466236368,38,18
1466237298,34,36
1466238265,26,34
1466239221,37,26
1466240188,12,42
1466241140,38,14
1466242116,48,52
1466243050,19,59
1466244055,31,39
1466244982,28,37
1466245964,39,25
1466246901,34,38
1466247871,34,38
1466248811,27,23
1466249792,32,23
1466250745,32,17
1466251720,42,23
1466252648,16,42
1466253637,37,15
1466254570,26,44
1466255566,25,8
1466256492,34,52
1466257463,13,50
1466259140,60,60
1466260112,34,19
1466261055,16,37
1466262040,40,35
1466263105,33,44
1466264207,31,27
1466265142,36,36
1466266116,23,34
1466267049,23,61
1466268048,30,16
1466268979,5,46
1466269974,16,13
1466270906,54,72
1466271886,19,40
1466272832,32,42
1466273814,6,36
1466274749,65,33
1466275726,30,30
1466276665,13,17
1466277651,18,18
1466278575,26,41
1466279574,26,35
1466280502,29,15
1466281483,11,38
1466282421,60,24
1466283407,12,20
1466284343,12,31
1466285332,58,18
1466286253,23,28
1466287239,28,48
1466288216,20,30
1466289144,41,14
1466290136,28,0
1466291062,26,0
1466292046,13,117
1466292981,43,31
1466293981,24,40
1466294901,28,34
1466295872,22,11
1466296837,50,34
1466297807,23,16
1466298743,35,58
1466299738,38,24
1466300654,18,25
1466301687,32,58
1466302820,24,63
1466303753,30,53
1466304739,24,30
1466305731,27,18
1466306655,21,39
1466307772,49,29
1466308835,26,48
1466309821,6,34
1466310748,31,47
1466311726,18,15
1466312660,10,11
1466313641,18,51
1466314573,26,0
1466315611,24,54
1466316754,23,15
1466317712,32,36
1466318653,18,51
1466319638,34,29
1466320590,2,29
1466321551,46,31
