DateTime,Entries,UniqueIPs
1465951701,2881,2881
1465952681,2855,2855
1465953619,2828,2828
1465954589,2839,2839
1465955544,2887,2887
1465956511,2878,2878
1465957460,2895,2895
1465958434,2898,2898
1465959382,2890,2890
1465960354,2898,2898
1465961298,2861,2861
1465962261,2838,2838
1465963251,2809,2809
1465964186,2804,2804
1465965149,2807,2807
1465966120,2789,2789
1465967089,2795,2795
1465968023,2789,2789
1465968981,2789,2789
1465969946,2787,2787
1465970903,2803,2803
1465971869,2791,2791
1465972815,2790,2790
1465973784,2788,2788
1465974750,2791,2791
1465975707,2765,2765
1465976653,2766,2766
1465977650,2791,2791
1465978585,2792,2792
1465979561,2791,2791
1465980511,2788,2788
1465981459,2810,2810
1465982424,2804,2804
1465983386,2817,2817
1465984483,2825,2825
1465985608,2831,2831
1465986742,2823,2823
1465987706,2814,2814
1465988662,2789,2789
1465989615,2770,2770
1465990581,2763,2763
1465991540,2756,2756
1465992501,2748,2748
1465993457,2749,2749
1465994417,2749,2749
1465995370,2742,2742
1465996357,2745,2745
1465997293,2728,2728
1465998250,2729,2729
1465999255,2705,2705
1466000188,2700,2700
1466001236,2676,2676
1466002378,2692,2692
1466003294,2666,2666
1466004286,2658,2658
1466005233,2658,2658
1466006255,2663,2663
1466007436,2671,2671
1466008371,2695,2695
1466009318,2711,2711
1466010373,2749,2749
1466011455,2751,2751
1466012434,2769,2769
1466013394,2752,2752
1466014341,2721,2721
1466015312,2747,2747
1466016263,2762,2762
1466017245,2777,2777
1466018188,2796,2796
1466019158,2786,2786
1466020120,2790,2790
1466021055,2796,2796
1466022022,2793,2793
1466022980,2801,2801
1466023946,2825,2825
1466024909,2846,2846
1466025855,2847,2847
1466026827,2828,2828
1466027791,2840,2840
1466028745,2833,2833
1466029704,2829,2829
1466030661,2866,2866
1466031643,2866,2866
1466032578,2884,2884
1466033553,2938,2938
1466034505,3001,3001
1466035459,2979,2979
1466036441,2950,2950
1466037630,2922,2922
1466038576,2945,2945
1466039558,2933,2933
1466040513,2928,2928
1466041457,2897,2897
1466042445,2901,2901
1466043386,2883,2883
1466044350,2891,2891
1466045272,2912,2912
1466046272,2899,2899
1466047253,2908,2908
1466048195,2906,2906
1466049169,2900,2900
1466050104,2907,2907
1466051092,2901,2901
1466052022,2904,2904
1466052998,2893,2893
1466053947,2879,2879
1466054937,2895,2895
1466055861,2881,2881
1466056897,2874,2874
1466058020,2845,2845
1466058979,2816,2816
1466059944,2829,2829
1466060898,2782,2782
1466061869,2768,2768
1466062822,2738,2738
1466063776,2740,2740
1466064770,2719,2719
1466065712,2685,2685
1466066674,2701,2701
1466067649,2647,2647
1466068581,2645,2645
1466069561,2586,2586
1466070508,2678,2678
1466071455,2724,2724
1466072423,2790,2790
1466073457,2800,2800
1466074578,2818,2818
1466075548,2820,2820
1466076503,2820,2820
1466077455,2842,2842
1466078433,2841,2841
1466079382,2835,2835
1466080369,2830,2830
1466081305,2844,2844
1466082313,2830,2830
1466083453,2831,2831
1466084427,2877,2877
1466085384,2869,2869
1466086337,2885,2885
1466087305,2912,2912
1466088345,2921,2921
1466089254,2893,2893
1466090199,2888,2888
1466091449,2823,2823
1466092586,2881,2881
1466093532,2850,2850
1466094504,2793,2793
1466095459,2809,2809
1466096450,2809,2809
1466097383,2805,2805
1466098359,2771,2771
1466099308,2754,2754
1466100256,2771,2771
1466101221,2745,2745
1466102183,2726,2726
1466103143,2720,2720
1466104110,2721,2721
1466105057,2703,2703
1466106024,2691,2691
1466106985,2695,2695
1466107949,2669,2669
1466108902,2662,2662
1466109863,2652,2652
1466110846,2664,2664
1466111787,2667,2667
1466112753,2688,2688
1466113708,2697,2697
1466114657,2702,2702
1466115625,2688,2688
1466116578,2694,2694
1466117542,2675,2675
1466118511,2670,2670
1466119455,2672,2672
1466120421,2629,2629
1466121385,2645,2645
1466122397,2692,2692
1466123298,2678,2678
1466124268,2693,2693
1466126461,2654,2654
1466128179,2674,2674
1466129404,2653,2653
1466130498,2636,2636
1466131465,2625,2625
1466132437,2615,2615
1466133381,2613,2613
1466134356,2653,2653
1466135300,2639,2639
1466136256,2658,2658
1466137222,2654,2654
1466138178,2644,2644
1466139142,2647,2647
1466140110,2633,2633
1466141053,2632,2632
1466142021,2680,2680
1466142998,2674,2674
1466143946,2674,2674
1466144904,2734,2734
1466145862,2672,2672
1466146841,2718,2718
1466147797,2730,2730
1466148756,2717,2717
1466149700,2725,2725
1466150659,2771,2771
1466151620,2780,2780
1466152991,2775,2775
1466154030,2796,2796
1466154995,2811,2811
1466155944,2875,2875
1466156902,2744,2744
1466157857,2639,2639
1466158830,2631,2631
1466159775,2637,2637
1466160746,2627,2627
1466161697,2625,2625
1466162655,2621,2621
1466163625,2616,2616
1466164575,2627,2627
1466165544,2613,2613
1466166559,2611,2611
1466167709,2591,2591
1466168656,2597,2597
1466169613,2582,2582
1466170575,2573,2573
1466171548,2562,2562
1466172498,2541,2541
1466173471,2497,2497
1466174428,2442,2442
1466175472,2538,2538
1466176633,2562,2562
1466178541,2471,2471
1466179459,2423,2423
1466180454,2421,2421
1466181372,2462,2462
1466182392,2490,2490
1466183300,2463,2463
1466184290,2451,2451
1466185226,2441,2441
1466186241,2419,2419
1466187390,2415,2415
1466188345,2391,2391
1466189296,2397,2397
1466190260,2379,2379
1466191212,2368,2368
1466192175,2365,2365
1466193144,2332,2332
1466194206,2321,2321
1466195301,2285,2285
1466196256,2276,2276
1466197246,2278,2278
1466198178,2317,2317
1466199160,2306,2306
1466200101,2352,2352
1466201109,2379,2379
1466202024,2352,2352
1466202979,2360,2360
1466203941,2362,2362
1466204920,2327,2327
1466205861,2355,2355
1466206825,2357,2357
1466207807,2352,2352
1466208758,2363,2363
1466209732,2350,2350
1466210660,2370,2370
1466211712,2350,2350
1466212811,2399,2399
1466213787,2355,2355
1466214735,2338,2338
1466215847,2373,2373
1466216904,2371,2371
1466217884,2371,2371
1466218864,2365,2365
1466219803,2368,2368
1466220756,2341,2341
1466221736,2354,2354
1466222665,2366,2366
1466223637,2363,2363
1466224602,2385,2385
1466225566,2391,2391
1466226515,2360,2360
1466227486,2351,2351
1466228466,2343,2343
1466229417,2345,2345
1466230363,2332,2332
1466231333,2337,2337
1466232271,2354,2354
1466233296,2332,2332
1466234198,2330,2330
1466235177,2322,2322
1466236368,2313,2313
1466237298,2309,2309
1466238265,2316,2316
1466239221,2322,2322
1466240188,2321,2321
1466241140,2321,2321
1466242116,2288,2288
1466243050,2299,2299
1466244055,2290,2290
1466244982,2297,2297
1466245964,2290,2290
1466246901,2272,2272
1466247871,2264,2264
1466248811,2260,2260
1466249792,2271,2271
1466250745,2248,2248
1466251720,2263,2263
1466252648,2259,2259
1466253637,2263,2263
1466254570,2266,2266
1466255566,2277,2277
1466256492,2250,2250
1466257463,2235,2235
1466259140,2285,2285
1466260112,2317,2317
1466261055,2333,2333
1466262040,2272,2272
1466263105,2272,2272
1466264207,2297,2297
1466265142,2329,2329
1466266116,2350,2350
1466267049,2351,2351
1466268048,2288,2288
1466268979,2240,2240
1466269974,2229,2229
1466270906,2261,2261
1466271886,2260,2260
1466272832,2280,2280
1466273814,2286,2286
1466274749,2332,2332
1466275726,2328,2328
1466276665,2337,2337
1466277651,2349,2349
1466278575,2362,2362
1466279574,2381,2381
1466280502,2390,2390
1466281483,2387,2387
1466282421,2443,2443
1466283407,2455,2455
1466284343,2336,2336
1466285332,2349,2349
1466286253,2354,2354
1466287239,2309,2309
1466288216,2329,2329
1466289144,2330,2330
1466290136,2347,2347
1466291062,2374,2374
1466292046,2355,2355
1466292981,2349,2349
1466293981,2367,2367
1466294901,2316,2316
1466295872,2301,2301
1466296837,2305,2305
1466297807,2301,2301
1466298743,2291,2291
1466299738,2305,2305
1466300654,2323,2323
1466301687,2321,2321
1466302820,2303,2303
1466303753,2305,2305
1466304739,2294,2294
1466305731,2303,2303
