DateTime,AddedIPs,RemovedIPs
1465990584,7,126
1465991544,5,107
1465992504,6,207
1465993461,4,166
1465994421,6,75
1465995374,2,158
1465996361,3,0
1465997297,3,112
1465998254,2,139
1465999258,5,110
1466000191,5,112
1466001240,6,110
1466002382,5,216
1466003298,5,0
1466004290,1,213
1466005236,4,109
1466006259,5,131
1466007440,7,180
1466008375,10,147
1466009321,10,116
1466010376,7,134
1466011459,5,131
1466012437,9,134
1466013398,2,126
1466014344,6,90
1466015316,13,169
1466016267,3,146
1466017248,10,202
1466018191,5,118
1466019162,5,175
1466020124,5,24
1466021059,7,20
1466022026,5,248
1466022983,5,94
1466023950,11,268
1466024913,8,91
1466025859,9,196
1466026831,7,181
1466027795,5,93
1466028749,6,174
1466029707,8,179
1466030664,10,135
1466031646,7,168
1466032582,0,134
1466033557,8,169
1466034508,3,220
1466035463,3,95
1466036445,8,249
1466037634,6,104
1466038580,1,178
1466039562,0,52
1466040525,8,247
1466041460,2,199
1466042449,7,166
1466043389,0,150
1466044354,8,208
1466045276,5,205
1466046276,8,145
1466047256,2,219
1466048198,7,225
1466049173,4,151
1466050107,8,159
1466051096,6,172
1466052026,9,108
1466053002,4,146
1466053952,1,168
1466054940,8,223
1466055865,5,220
1466056901,10,96
1466058024,4,244
1466058983,11,127
1466059948,9,239
1466060902,4,187
1466061872,3,165
1466062826,11,118
1466063780,0,245
1466064777,8,34
1466065716,6,206
1466066678,6,167
1466067653,14,244
1466068585,11,0
1466069564,6,307
1466070512,27,404
1466071458,23,0
1466072427,6,258
1466073460,5,398
1466074583,8,203
1466075552,2,195
1466076507,5,273
1466077458,5,168
1466078436,2,166
1466079386,3,367
1466080373,3,144
1466081309,2,287
1466082317,10,190
1466083456,5,299
1466084430,8,287
1466085387,4,221
1466086341,2,251
1466087308,15,259
1466088349,2,204
1466089258,1,232
1466090202,5,246
1466091452,10,325
1466092589,22,208
1466093535,4,268
1466094507,7,315
1466095462,3,74
1466096454,9,474
1466097387,1,174
1466098362,7,436
1466099312,1,343
1466100259,5,278
1466101224,2,232
1466102186,10,350
1466103146,5,174
1466104114,8,324
1466105060,2,460
1466106028,8,170
1466106989,7,343
1466107953,4,213
1466108906,5,288
1466109866,3,320
1466110850,4,318
1466111791,6,284
1466112756,6,436
1466113711,8,150
1466114661,9,317
1466115629,7,349
1466116582,3,466
1466117546,3,526
1466118514,8,307
1466119459,3,380
1466120425,6,486
1466121389,7,412
1466122402,6,291
1466123551,16,577
1466124497,8,385
1466126464,4,996
1466128182,12,740
1466129408,2,150
1466130502,5,29
1466131468,2,43
1466132440,7,493
1466133385,4,70
1466134360,7,322
1466135304,4,676
1466136260,19,805
1466137226,6,1208
1466138182,6,170
1466139145,6,704
1466140114,8,522
1466141057,3,536
1466142024,2,845
1466143001,6,882
1466143949,4,503
1466144908,9,644
1466145866,6,503
1466146845,5,644
1466147801,5,602
1466148760,10,482
1466149704,4,137
1466150664,9,92
1466151624,5,179
1466152994,7,832
1466154033,7,1630
1466154999,2,713
1466155948,10,844
1466156906,7,623
1466157861,7,640
1466158834,4,1542
1466159779,5,3
1466160750,7,3
1466161701,0,3
1466162659,4,8
1466163629,10,0
1466164579,4,9
1466165548,2,3
1466166563,5,10
1466167713,7,6
1466168660,2,0
1466169617,8,10
1466170578,2,0
1466171551,6,2
1466172502,9,0
1466173475,12,15
1466174433,30,16
1466175475,21,0
1466176636,6,25
1466177549,7,0
1466178545,14,9
1466179464,14,0
1466180458,60,7
1466181376,24,0
1466182396,33,7
1466183304,6,0
1466184294,3,11
1466185230,1,3
1466186244,8,1
1466187394,5,5
1466188349,8,3
1466189300,2,7
1466190263,2,3
1466191216,4,3
1466192179,5,5
1466193147,39,11
1466194210,12,5
1466195305,9,2
1466196260,26,12
1466197250,13,7
1466198182,26,7
1466199165,7,6
1466200104,2,11
1466201113,14,9
1466202028,0,10
1466202982,8,7
1466203945,0,5
1466204923,3,4
1466205864,7,4
1466206828,6,4
1466207811,0,4
1466208761,19,2
1466209737,5,4
1466210664,3,3
1466211716,8,3
1466212814,9,4
1466213790,3,0
1466214738,0,4
1466215851,14,2
1466216907,4,4
1466217888,2,6
1466218867,9,7
1466219806,4,4
1466220759,8,3
1466221740,11,7
1466222669,4,2
1466223640,9,13
1466224605,3,5
1466225570,3,4
1466226518,1,7
1466227490,2,9
1466228469,13,6
1466229421,5,3
1466230366,1,2
1466231336,10,8
1466232274,1,6
1466233299,7,2
1466234201,0,3
1466235180,4,7
1466236372,1,5
1466237301,1,2
1466238269,0,9
1466239224,10,4
1466240192,4,5
1466241144,5,3
1466242119,8,3
1466243054,8,4
1466244059,9,2
1466244985,9,1
1466245967,8,7
1466246905,8,7
1466247875,5,3
1466248815,5,10
1466249796,3,7
1466250749,3,6
1466251724,6,4
1466252652,4,8
1466253640,13,2
1466254574,3,4
1466255569,6,5
1466256495,11,7
1466258532,10,10
1466259613,5,12
1466260597,5,5
1466261547,7,0
1466263109,15,11
1466264211,5,6
1466265146,1,3
1466266120,0,5
1466267053,3,4
1466268052,5,1
1466268982,5,5
1466269977,4,4
1466270909,11,2
1466271890,1,3
1466272835,8,5
1466273818,6,5
1466274752,6,4
1466275730,9,1
1466276669,2,6
1466277654,5,3
1466278579,7,1
1466279578,6,6
1466281001,4,12
1466281948,3,1
1466282926,4,5
1466283864,4,0
1466284825,8,6
1466285778,3,3
1466286767,3,2
1466287706,3,1
1466288661,6,7
1466289619,3,6
1466290598,1,2
1466291542,3,5
1466292517,11,7
1466293453,2,2
1466294452,6,1
1466295386,1,9
1466296368,10,0
1466297303,2,8
1466298274,7,0
1466299218,11,7
1466300198,1,7
1466301146,5,6
1466302116,10,2
1466303048,3,2
1466304061,11,2
1466304975,8,1
1466305965,3,7
1466306898,15,4
1466308363,3,8
1466309297,8,2
1466310260,9,8
1466311228,9,2
1466312186,5,18
1466313142,7,7
1466314121,17,1
1466315060,7,8
1466316046,6,3
1466316986,4,3
1466317960,8,8
1466318906,9,4
1466319870,10,1
1466320814,8,4
1466321972,8,2
1466322983,2,7
1466323958,6,0
1466324910,6,5
1466325864,1,2
1466326831,14,4
1466327808,8,2
1466328749,4,1
1466329716,3,2
1466330655,6,5
1466331634,6,9
1466332573,5,7
1466333561,7,4
1466334497,6,6
1466335472,1,5
1466336427,6,3
1466337386,2,5
1466338346,6,4
1466339318,9,5
1466340547,4,2
1466341469,2,7
1466342448,4,7
1466343388,1,1
1466344376,5,5
1466345305,9,6
1466346284,7,2
1466347246,5,4
1466348215,2,4
1466349149,3,5
1466350234,6,3
1466351321,3,1
1466352273,5,7
1466353212,6,3
1466354181,2,7
1466355220,5,2
1466356338,3,6
1466357306,3,3
1466358265,1,5
1466359240,3,3
1466360199,3,1
1466361152,3,4
1466362115,5,6
1466363063,8,1
1466364020,7,8
1466364987,4,4
1466365950,7,5
1466366911,7,4
1466367858,12,8
1466368829,5,6
1466369784,6,3
1466370747,6,4
1466371711,4,3
1466372739,3,4
1466373669,5,6
1466374592,4,4
1466375550,8,4
1466376495,6,1
1466377459,4,4
1466378410,5,5
1466379381,2,3
1466380346,7,5
1466381299,4,0
1466382249,5,10
1466383219,5,5
1466384177,5,6
1466385409,4,5
1466386348,7,5
1466387307,4,4
1466388263,6,1
1466389223,7,7
1466390185,4,2
1466391148,2,7
1466392102,7,2
1466393058,8,3
1466394018,2,5
1466394993,8,8
1466395953,8,13
1466396906,9,5
1466397863,3,3
1466398882,4,4
1466399788,2,1
1466400773,7,2
1466401705,6,4
1466402702,1,4
1466403629,2,4
1466404585,5,2
1466405556,9,2
1466406510,5,5
1466407459,5,10
1466408420,6,3
1466409393,4,5
1466410353,8,5
1466411305,9,0
1466412259,7,4
1466413286,8,6
1466414190,7,7
1466415164,20,2
1466416114,20,5
1466417059,31,1
1466418018,18,6
1466418987,2,7
1466419948,8,9
1466420912,8,6
1466421855,11,2
1466422829,8,4
1466423786,2,9
1466425057,7,2
1466426218,3,4
1466427141,4,3
1466428123,8,3
1466429059,4,3
1466430328,11,2
1466431319,11,5
1466432420,6,5
1466433388,5,6
1466434348,9,6
1466435306,7,1
1466436263,7,4
1466437217,11,3
1466438178,1,4
1466439148,7,8
1466440114,11,3
1466441056,2,6
1466442040,11,0
1466443038,9,11
1466443955,4,0
1466444945,7,8
1466445866,6,0
1466446844,3,9
1466447790,6,0
1466448782,6,6
1466449706,5,0
1466450685,7,0
1466451637,7,5
1466452602,2,3
1466453550,4,2
1466454543,9,14
1466455460,1,0
1466456519,5,20
1466457620,3,0
1466458570,4,7
1466459541,6,0
1466460541,8,5
1466461453,6,0
1466462462,6,6
1466463383,2,0
1466464378,5,0
1466465307,6,4
1466466286,3,4
1466467243,5,4
1466468225,4,5
1466469151,4,3
1466470140,10,8
1466471061,6,2
1466472058,10,5
1466472983,6,0
1466473975,8,1
1466474904,5,1
1466475881,3,1
1466476836,6,7
1466477824,5,4
1466478745,1,4
1466480432,10,5
1466481383,5,9
1466482342,7,0
