DateTime,Entries,UniqueIPs
1465985612,70046,81151
1465986745,69881,80966
1465987709,69619,80675
1465988666,69549,80592
1465989618,69550,80594
1465990584,69449,80475
1465991544,69371,80373
1465992504,69206,80172
1465993461,69063,80010
1465994421,69007,79941
1465995374,68868,79785
1465996361,68871,79788
1465997297,68771,79679
1465998254,68648,79542
1465999258,68558,79437
1466000191,68467,79330
1466001240,68376,79226
1466002382,68195,79015
1466003298,68200,79020
1466004290,68022,78808
1466005236,67931,78703
1466006259,67827,78577
1466007440,67667,78404
1466008375,67556,78267
1466009321,67466,78161
1466010376,67369,78034
1466011459,67271,77908
1466012437,67166,77783
1466013398,67062,77659
1466014344,66990,77575
1466015316,66855,77419
1466016267,66739,77276
1466017248,66589,77084
1466018191,66498,76971
1466019162,66363,76801
1466020124,66347,76782
1466021059,66337,76769
1466022026,66129,76526
1466022983,66051,76437
1466023950,65830,76180
1466024913,65764,76097
1466025859,65606,75910
1466026831,65455,75736
1466027795,65377,75648
1466028749,65237,75480
1466029707,65091,75309
1466030664,64973,75184
1466031646,64837,75023
1466032582,64714,74889
1466033557,64565,74728
1466034508,64367,74511
1466035463,64275,74419
1466036445,64057,74178
1466037634,63976,74080
1466038580,63818,73903
1466039562,63773,73851
1466040525,63566,73612
1466041460,63388,73415
1466042449,63251,73256
1466043389,63120,73106
1466044354,62940,72906
1466045276,62761,72706
1466046276,62639,72569
1466047256,62449,72352
1466048198,62255,72134
1466049173,62128,71987
1466050107,61994,71836
1466051096,61849,71670
1466052026,61752,71571
1466053002,61626,71429
1466053952,61479,71262
1466054940,61278,71047
1466055865,61096,70832
1466056901,61015,70746
1466058024,60801,70506
1466058983,60700,70390
1466059948,60491,70160
1466060902,60319,69977
1466061872,60177,69815
1466062826,60081,69708
1466063780,59867,69463
1466064777,59848,69437
1466065716,59676,69237
1466066678,59552,69076
1466067653,59341,68846
1466068585,59347,68857
1466069564,59084,68556
1466070512,58754,68179
1466071458,58773,68202
1466072427,58549,67950
1466073460,58202,67557
1466074583,58025,67362
1466075552,57855,67169
1466076507,57621,66901
1466077458,57490,66738
1466078436,57354,66574
1466079386,57058,66210
1466080373,56929,66069
1466081309,56685,65784
1466082317,56528,65604
1466083456,56275,65310
1466084430,56042,65031
1466085387,55846,64814
1466086341,55622,64565
1466087308,55410,64321
1466088349,55239,64119
1466089258,55047,63888
1466090202,54837,63647
1466091452,54558,63332
1466092589,54391,63146
1466093535,54167,62882
1466094507,53900,62574
1466095462,53831,62503
1466096454,53424,62038
1466097387,53272,61865
1466098362,52893,61436
1466099312,52609,61094
1466100259,52369,60821
1466101224,52173,60591
1466102186,51893,60251
