DateTime,AddedIPs,RemovedIPs
1464832323,75,67
1464836163,87,84
1464840004,91,88
1464841923,13,5397
1464843843,5383,0
1464845763,84,47
1464849603,69,63
1464853442,72,66
1464857282,56,47
1464861124,54,58
1464864962,49,52
1464868803,56,49
1464870722,8,6219
1464872644,6200,0
1464874563,52,57
1464880573,73,51
1464882482,66,64
1464886334,69,48
1464890163,74,66
1464894003,71,59
1464895922,39,2563
1464897842,2512,0
1464899762,67,60
1464903603,56,77
1464907443,49,89
1464911283,69,72
1464915132,36,62
1464918963,69,64
1464922803,76,93
1464924722,26,4935
1464926644,4916,0
1464928563,76,76
1464932403,69,78
1464936243,68,51
1464942003,65,56
1464943932,53,37
1464947763,51,56
1464951603,55,50
1464953522,12,5087
1464955443,5061,0
1464957602,55,57
1464961442,62,49
1464965763,80,62
1464969603,59,47
1464973444,65,59
1464975363,82,61
1464979443,73,71
1464985203,64,61
1464989043,70,70
1464990963,60,59
1464994804,56,81
1464996723,65,355
1464998643,281,0
1465000563,51,62
1465004403,66,59
1465008243,81,99
1465012082,81,85
1465015933,73,80
1465021682,76,57
1465025522,79,1538
1465027442,866,0
1465029363,677,46
1465033203,60,48
1465037043,54,60
1465040883,68,53
1465044733,54,56
1465048563,63,74
1465052642,53,70
1465054562,56,52
1465058402,77,64
1465062242,65,57
1465066082,73,78
1465069923,69,59
1465073763,61,65
1465077602,46,66
1465079522,15,5131
1465081442,5104,0
1465083362,66,92
1465087203,55,72
1465093210,69,67
1465095123,78,90
1465098963,84,83
1465102803,63,65
1465104725,80,179
1465106642,0,76
1465108569,247,50
1465112405,61,43
1465118404,60,33
1465120324,50,52
1465124163,64,54
1465128003,60,57
1465129923,12,5594
1465131844,5573,0
1465135924,66,56
1465137842,66,66
1465141683,53,91
1465143602,0,6885
1465145534,6898,0
1465149363,79,63
1465153203,72,69
1465155123,27,4874
1465157042,4854,0
1465158963,55,66
1465164724,53,77
1465166642,46,79
1465170482,75,72
1465174333,45,82
1465178163,79,58
1465182004,111,90
1465183922,19,5448
1465185842,5416,0
1465187763,68,103
1465191603,86,56
1465197371,54,44
1465199283,78,56
1465203133,59,44
1465207206,52,56
1465211043,57,48
1465212963,51,50
1465216803,51,61
1465220642,86,50
1465224483,64,55
1465228324,66,52
1465232405,67,105
1465234323,104,1271
1465236242,1239,0
1465238163,58,72
1465242002,59,64
1465245843,68,66
1465249682,62,74
1465253524,43,86
1465257364,75,80
1465261205,52,81
1465263122,56,1514
1465265284,1460,0
1465269124,85,104
1465271042,83,84
1465274882,70,75
1465278724,91,65
1465282563,54,58
1465284482,67,46
1465288323,0,2958
1465290242,3004,23
1465292163,40,63
1465296003,62,56
1465299842,74,53
1465303682,64,74
1465307525,60,63
1465311363,65,43
1465315203,63,62
1465317122,46,2370
1465319042,2336,0
