DateTime,AddedIPs,RemovedIPs
1457471412,2,0
1457473810,2,0
1457474110,3,0
1457474709,1,0
1457475309,1,0
1457475611,2,0
1457482209,2,0
1457492412,0,5
1457555109,0,1
1457640309,0,1
1457658011,6,0
1457658309,10,0
1457668508,2,0
1457683809,0,1
1457712908,1,0
1457727311,0,1
1457799911,0,1
1457928314,0,5
1457937309,0,5
1457951409,11,0
1457980810,0,1
1458039908,0,1
1458073212,0,1
1458143710,0,1
1458146708,0,1
1458170110,1,0
1458174309,0,5
1458208510,0,5
1458247809,0,1
1458279611,0,1
1458312610,1,0
1458317710,0,5
1458324610,0,1
1458355214,71,0
1458377410,0,1
1458451211,0,1
1458463809,0,5
1458474609,0,1
1458507613,1,0
1458507911,1,0
1458508209,1,0
1458508510,1,0
1458509109,2,0
1458512712,1,0
1458543310,0,1
1458606309,1,0
1458606911,1,0
1458608412,1,0
1458618010,0,5
1458657012,0,5
1458687008,1,0
1458687611,1,0
1458688210,1,0
1458688511,1,0
1458708910,1,0
1458742510,0,1
1458751210,3,0
1458775511,1,0
1458776410,1,0
1458776710,2,0
1458777910,1,0
1458778809,6,0
1458779108,5,0
1458779411,6,0
1458804311,1,0
1458804609,2,0
1458804910,2,0
1458816311,0,1
1458816609,0,1
1458822909,0,1
1458827112,1,0
1458827709,1,0
1458842708,2,0
1458843312,3,0
1458845110,0,1
1458851410,48,0
1458851709,9,0
1458852910,1,0
1458871511,0,1
1458935410,3,0
1458936311,3,0
1458944710,9,0
1458950708,1,0
1458951009,2,0
1458983709,0,1
1458996609,4,0
1458996909,1,0
1459035611,59,0
1459035911,21,0
1459036510,15,0
1459058413,0,5
1459118709,2,0
1459123211,55,0
1459124113,1,0
1459136112,19,0
1459144508,0,5
1459167009,0,1
1459175110,0,5
1459198510,37,0
1459198813,191,0
1459199108,312,0
1459199709,206,0
1459200010,291,0
1459243811,1,0
1459244111,1,0
1459244409,0,1
1459245009,0,1
1459253410,0,1
1459264812,0,1
1459266310,0,1
1459276811,7,0
1459279212,3,0
1459279510,2,0
1459334110,0,1
1459335010,3,0
1459335312,1,0
1459335912,1,0
1459345812,0,5
1459413612,0,5
1459426812,0,5
1459445710,0,1
1459467611,5,0
1459500609,1,0
1459503310,1,0
1459505410,1,0
1459511409,0,1
1459536908,0,5
1459544710,1,0
1459584609,0,1
1459588511,0,1
1459602013,0,1
1459614012,0,1
1459687510,0,5
1459730710,25,0
1459731009,1,0
1459731309,2,0
1459759509,0,5
1459767611,0,5
1459768810,0,5
1459776911,1,0
1459777211,0,5
1459791912,0,1
1459801210,0,1
1459815612,0,1
1459827910,1,0
1459828811,2,0
1459836010,1,0
1459853409,0,1
1459875309,2,0
1459886709,1,0
1459892710,5,0
1459899310,0,1
1459913708,0,1
1460079012,6,0
1460216413,0,1
1460230212,0,1
1460260812,0,1
1460291411,0,1
1460292310,8,0
1460306110,0,5
1460313910,1,0
1460340611,1,0
1460341211,1,0
1460348709,0,5
1460413509,14,0
1460423109,4,0
1460423409,1,0
1460433011,1,0
1460434811,10,0
1460441409,0,5
1460457911,0,5
1460461810,0,1
1460483410,4,0
1460485210,0,5
1460659511,0,1
1460676610,0,5
1460705111,4,83174
1460707508,4,0
1460721609,0,1
1460810107,0,1
1460833507,0,1
1460840708,5,0
1460852108,0,1
1460864709,2,0
1460913607,1,0
1460916909,0,1
1460997908,1,0
1461065110,0,2
1461081008,0,1
1461173407,0,1
1461237606,0,1
1461373206,12,0
1461373508,4,0
1461516007,0,1
1461589807,0,1
1461662707,1,0
1461685207,0,1
1461692106,0,1
1461705307,0,1
1461714607,1,0
1461746707,0,1
1461752106,0,1
1461800707,11,0
1461801606,1,0
1461801906,2,0
1461802207,2,0
1461802507,6,0
1461816006,42,0
1461817507,0,1
1461884706,9,0
1461885006,5,0
1461885307,2,0
1461891907,5,0
1461893107,2,0
1461954006,1,0
1461956708,8,0
1461957007,1,0
1461957306,7,0
1461983706,3,0
1461984006,3,0
1461984606,2,0
1461984906,4,0
1462006506,1,0
1462049407,0,1
1462065307,1,0
1462065606,1,0
1462065907,1,0
1462145406,4,0
1462145707,1,0
1462146007,3,0
1462147207,1,0
1462148406,5,0
1462152007,3,0
1462231807,5,0
1462232107,2,0
1462305607,1,0
1462305909,6,0
1462306206,4,0
1462306506,4,0
1462308306,12,0
1462309807,3,0
1462310107,2,0
1462323907,5,0
1462335006,1,0
1462338306,10,0
1462356307,2,0
1462356607,1,0
1462404606,3,0
1462411207,14,0
1462419008,79,0
1462420806,7,0
1462421109,3,0
1462437607,3,0
1462465507,15,0
1462476006,1,0
1462480507,6,0
1462480806,2,0
1462481106,1,0
1462494906,8,0
1462495207,5,0
1462525208,2,0
1462561206,4,0
1462561507,2,0
1462563907,1,0
1462586107,0,1
1462643706,1,0
1462775107,147,0
1462775407,32,0
1462780506,1,0
1462789206,0,1
1462842008,7,0
1462861507,2,0
1462861806,1,0
1462905008,0,1
1462921207,3,0
1462927506,9,0
1462939507,0,1
1462945806,0,1
1462998906,4,0
1462999207,1,0
1463014206,5,0
1463043006,0,1
1463092507,1,0
1463099108,1,0
1463142007,0,1
1463183106,4,0
1463212506,26,0
1463212807,14,0
1463213109,15,0
1463213406,2,0
1463252106,0,1
1463275506,2,0
1463276106,4,0
1463313907,14,0
1463314206,7,0
1463360709,2,0
1463361007,7,0
1463385307,0,1
1463385607,0,1
1463414106,0,1
1463429707,1,0
1463433606,1,0
1463433907,4,0
1463514307,23,0
1463515508,1,0
1463538308,0,1
1463556607,23,0
1463557507,19,1
1463584806,0,1
1463589908,1,0
1463600107,2,0
1463642106,0,1
1463703907,3,0
1463704208,16,0
1463704507,4,0
1463763006,1,0
1463763607,1,0
1463763907,3,0
1463778906,1,0
1463779207,4,0
1463789111,3,0
1463790007,64,0
1463790307,2,0
1463790608,1,0
1463790907,11,0
1463865607,1,0
1463865907,1,0
1463876407,0,1
1463955907,4,0
1463965807,1,0
1464028806,1,0
1464029108,1,0
1464029407,18,0
1464029707,4,0
1464051906,0,1
1464062707,4,0
1464063006,2,0
1464120007,1,0
1464120307,1,0
1464222006,2,0
1464222307,18,0
1464222606,5,0
1464232506,29,0
1464265207,0,1
1464267608,0,1
1464294906,1,0
1464295207,2,0
1464296407,13,0
1464297007,1,0
1464354607,1,0
1464444907,2,0
1464445507,13,0
1464445806,5,0
1464485107,2,0
1464574807,2,0
1464578708,2,0
1464584107,23,0
1464584408,3,0
1464632106,0,1
1464632407,0,1
1464724507,0,1
1464729307,2,0
1464830407,1,0
1464830708,5,0
1464831306,1,0
1464832207,1,0
1464865507,0,1
1464897911,0,1
1464906607,1,0
1464908407,2,0
1464908707,2,0
1465005006,1,0
1465005307,1,0
1465036207,58,0
1465084807,1,0
1465119607,0,2
1465121406,7,0
1465122308,0,1
1465137907,0,1
1465142708,4,0
1465146908,2,0
1465147207,2,0
1465149306,2,0
1465149607,1,0
1465154707,2,0
1465155607,9,0
1465174506,8,0
1465197307,0,1
1465240207,20,0
1465248307,7,0
1465248907,49,0
1465258206,1,0
1465258806,3,0
1465301107,0,2
1465330807,2,0
1465404907,1,0
1465494307,1,0
1465494906,1,0
1465495206,1,0
1465507807,2,0
1465508407,1,0
1465508707,1,0
1465566006,0,1
1465598107,2,0
1465598407,5,0
1465599007,2,0
1465638906,39,0
1465639207,3,0
1465682106,3,0
1465682407,4,0
1465682709,2,0
1465689907,144,0
1465691407,1,0
1465692307,1,0
1465760107,9,0
1465808107,7,0
1465808407,148,0
1465854607,2,0
1465855206,4,0
1465857307,13,0
1465869607,1,0
1465872607,4,0
1465894807,111,0
1465906807,0,1
1465936207,0,1
1465936807,0,1
1465950907,1,0
1465951206,5,0
1465970407,0,1
1465980906,57,0
1465981508,66,0
1466035511,0,1
1466046007,4,0
1466046307,9,0
1466064608,42,0
1466065206,385,0
1466091907,3,0
1466092206,3,0
1466092507,1,0
1466092807,1,0
1466093111,1,0
1466107509,2,0
1466107806,2,0
1466108106,2,0
1466108706,2,0
1466118607,3,0
1466154607,230,0
1466154906,481,0
1466155510,831,0
1466161208,0,1
1466181007,2,0
1466208007,0,1
1466210707,6,0
1466243107,174,0
1466243407,438,0
1466243707,439,0
1466244007,427,0
1466244309,173,0
1466259907,0,1
1466283607,25,0
1466284507,45,0
1466307306,0,1
1466318707,0,1
1466326206,0,1
1466333107,0,1
1466334906,49,0
1466335207,485,0
1466335507,485,0
1466335807,479,0
1466336107,427,0
1466346007,10,0
1466346306,1,0
1466346606,8,0
1466347806,0,1
1466360707,2,0
1466361307,2,0
1466361607,1,0
1466365507,0,1
1466372707,11,0
1466379607,3,0
1466382606,0,1
1466416807,1,0
1466417109,1,0
1466417707,1,0
1466418608,244,0
1466418906,505,0
1466419207,484,0
1466419507,81,0
1466420407,0,1
1466428806,0,1
1466445007,0,1
1466445306,2,0
1466445607,2,0
1466446807,3,0
1466447406,1,0
1466448007,1,0
1466448307,2,0
1466448607,1,0
1466451606,1,0
1466452206,2,0
