DateTime,AddedIPs,RemovedIPs
1465820306,1536,0
1465820785,0,2304
1465821679,2560,0
1465823551,0,1792
1465825320,1536,512
1465826188,0,3072
1465827458,1024,0
1465828915,2048,2560
1465831122,1536,2560
1465831570,0,1280
1465832474,512,0
1465834277,1280,1536
1465834645,256,0
1465835172,0,256
1465836082,2048,2304
1465838260,512,2048
1465839675,1536,512
1465840570,0,1024
1465841480,256,0
1465842451,0,1536
1465843100,2304,0
1465845550,1024,2560
1465845971,0,1280
1465846878,2048,0
1465849071,1024,2048
1465850481,1280,1792
1465851477,0,256
1465852269,256,1536
1465854093,1792,256
1465854972,0,1792
1465855875,1024,0
1465856788,0,1280
1465857539,1792,0
1465859922,256,2048
1465861330,1536,768
1465862172,256,2816
1465863081,1024,0
1465863971,0,1024
1465864874,1536,0
1465866703,768,2048
1465868307,1536,768
1465869380,512,2560
1465870273,768,0
1465872078,1792,1792
1465873073,0,512
1465874773,0,1024
1465875671,1024,0
1465876603,0,2560
1465877945,768,512
1465878420,0,1280
1465879359,1280,0
1465881072,0,1280
1465882271,1536,256
1465884536,1280,1536
1465885578,0,256
1465886474,1536,2304
1465887376,0,1792
1465888277,512,0
1465889176,0,1536
1465890075,1280,0
1465891881,1536,1024
1465893677,2048,1024
1465894584,0,1280
1465895355,1280,0
1465897277,1280,768
1465899080,1536,1536
1465900879,2560,1536
1465903229,256,1792
1465904473,2560,1024
1465906278,1280,2304
1465907906,2048,1536
1465908957,0,2304
1465910244,256,0
1465911685,1792,1024
1465912594,0,1792
1465913825,256,0
1465915274,1536,512
1465916172,0,2560
1465917579,768,0
1465918876,2048,768
1465920715,256,1536
1465921692,0,1536
1465922511,2816,0
1465923405,0,1536
1465924287,768,0
1465926109,2560,768
1465927015,0,2048
1465928407,1280,0
1465929712,2304,0
1465931481,256,2304
1465933280,2048,768
1465934180,0,1280
1465935415,1280,0
1465936878,1792,768
1465939012,512,1536
1465940478,1792,768
1465942278,256,1536
1465944077,1024,768
1465944971,0,1536
1465946328,1024,0
1465947677,1024,256
1465948581,0,256
1465949475,1792,1280
1465950404,256,1024
1465951400,2048,0
1465953081,0,1536
1465954879,1280,768
1465955774,0,1280
1465956690,768,0
1465958483,1536,1024
1465959374,0,1536
1465960281,512,0
1465962075,1536,256
1465963917,1792,768
1465965852,2560,512
1465966572,0,1280
1465967474,512,0
1465967923,0,256
1465969280,1536,0
1465971426,1536,1280
1465973782,1536,1280
1465974681,768,1792
1465976479,1024,512
1465977465,0,1280
1465978278,768,0
1465979240,0,1536
1465980171,2048,0
1465982362,768,2048
1465983679,1792,768
1465985976,512,2560
1465987281,1792,1536
1465989493,0,2816
1465990212,2304,0
1465990872,256,512
1465993033,512,2560
1465994474,1536,1024
1465995528,0,1536
1465997235,0,768
1465998080,1536,0
1465999908,1280,2048
1466000781,0,512
1466001689,1280,0
1466003830,1536,2304
1466005297,2304,512
1466007445,768,2048
1466008879,1536,512
1466010675,256,1792
1466011571,0,1024
1466012478,2048,0
1466014284,768,2816
1466016082,2048,1280
1466017069,0,2560
1466017877,768,0
1466019674,1280,0
1466021814,1280,2048
1466023276,1536,512
1466024172,0,1024
1466024905,1536,0
1466025971,0,512
1466026880,1792,0
1466027804,0,1536
1466028679,512,0
1466030480,1792,768
1466032796,0,1792
1466034082,2304,512
1466034971,0,1536
1466035880,1792,0
1466036372,0,256
1466037684,1792,2048
1466039470,256,2048
1466041295,2560,512
1466042175,256,0
1466043082,1280,1536
1466043999,0,512
1466044875,2560,0
1466047023,0,768
1466048544,1792,1536
1466050355,1024,2048
1466052256,3328,1536
1466053882,0,2304
1466055855,1536,256
1466057483,1024,2048
1466059278,1536,768
1466060173,0,1792
1466062876,1280,1024
1466064678,1024,1024
1466066480,1792,1024
1466068280,256,2048
1466070074,1280,512
1466070979,0,2048
1466071878,1280,0
1466073678,1792,1024
1466075984,512,2816
1466077276,2560,0
1466078172,0,2304
1466079459,1536,0
1466079980,256,0
1466080891,2304,768
1466082680,256,1536
1466084482,2048,0
1466086276,1280,2048
1466086632,512,0
1466088078,1792,1536
1466088988,256,1280
1466089874,768,0
1466090778,0,1024
1466091686,1536,0
1466093839,512,2560
1466095361,1280,768
1466096170,0,1792
1466097414,256,0
1466098885,1792,512
1466100676,512,2048
1466102478,1792,256
1466104275,512,2048
1466105198,0,768
1466106083,2048,0
1466106977,0,1280
1466107891,1280,0
1466108771,0,1024
1466109679,1536,0
1466111791,1024,1792
1466113291,1280,1536
1466115074,512,2048
1466115972,0,1280
1466116940,512,0
1466117781,0,1536
1466118702,768,0
1466120481,1792,0
1466122109,1792,2048
1466124079,2304,1024
1466126774,256,1792
1466127684,2304,512
1466129840,768,2560
1466131285,2304,1280
1466132174,0,2304
1466132895,256,0
1466134879,2560,0
1466135770,0,1536
1466136680,1792,0
1466137086,256,0
1466138571,1792,1280
1466140274,1024,3072
1466142255,1536,768
1466143872,1280,512
1466145707,2048,768
1466147480,1536,1024
1466149284,1792,0
1466151083,1024,768
1466152881,1024,1536
1466153775,0,1536
1466156481,1280,512
1466158280,1024,1024
1466158730,0,1280
1466159170,256,0
1466160082,2560,0
1466160974,0,1792
1466162243,256,0
1466163682,2048,1024
1466164577,0,1536
1466165474,1024,0
1466166140,0,256
1466166404,0,1280
1466167320,2048,0
1466168174,0,2560
1466169087,512,0
1466170887,2048,256
1466172676,1536,2304
1466173010,0,256
1466173572,256,0
1466174480,2048,1280
1466175373,0,256
1466176272,768,1792
1466178077,2048,512
1466178975,0,1792
1466179878,1536,0
1466180810,0,512
1466181682,2048,0
1466182575,0,1280
1466183493,256,0
1466185281,1280,256
1466187080,1024,1536
1466188023,0,768
1466188881,1536,0
1466191013,512,1792
1466192327,1536,256
1466194284,1280,2304
1466195180,0,1280
1466196083,2304,0
1466197875,256,1024
1466199680,1280,768
1466201484,1536,1792
1466202375,0,1024
1466203332,2048,0
1466205084,256,768
1466205972,0,1024
1466206882,2304,0
1466207774,0,2304
1466208675,1024,0
1466210482,1792,1280
1466211366,0,2048
1466213196,0,512
1466214076,2304,0
1466215874,512,1792
1466216775,0,1024
1466217679,1536,0
1466219475,768,2048
1466221283,2560,256
1466223511,2048,2560
1466223978,0,2048
1466225001,2304,0
1466226678,768,1536
1466227045,0,1024
1466228570,1536,0
1466230277,512,2048
1466231231,0,768
1466232088,1792,0
1466233875,1280,1792
1466235782,2048,0
1466237850,1536,2304
1466239284,1792,1536
1466241665,1280,512
1466242705,1792,256
1466245113,256,1792
1466246483,2048,512
1466248321,256,2048
1466249187,0,512
1466250079,1024,0
1466251878,1024,2304
1466253711,2304,1024
1466255489,256,2560
1466256398,0,512
1466257279,1536,0
1466258931,1280,2304
1466259986,0,1536
1466260880,3072,0
1466262680,256,2816
1466263570,0,512
1466264479,2048,0
1466266279,1024,2560
1466268084,1536,1536
1466269878,1024,2304
1466271678,2048,0
1466273375,1536,1280
1466275278,1536,768
1466277084,512,1024
1466277969,0,512
1466278874,1792,1536
1466281388,1280,0
1466281600,0,768
1466282584,1792,0
1466284272,1024,1792
1466286082,2048,512
1466288049,512,1024
1466289683,2560,1536
1466291488,768,2304
1466293273,1024,256
1466295111,1024,2560
1466296011,0,768
1466296881,1536,0
1466298683,0,2304
1466300478,1024,0
1466302273,1280,1792
1466303211,0,768
1466304090,1280,0
1466306290,256,1792
1466306770,0,512
1466307681,1536,0
1466309992,1792,2304
1466311373,1536,1792
1466313073,256,2304
1466314973,1024,1024
1466316675,1280,1792
1466318487,1536,1024
1466320276,0,1536
1466322082,1792,1024
1466322973,0,1792
1466324334,512,0
1466324775,0,2304
1466325685,1024,0
1466326575,0,2048
1466328097,512,0
1466329281,1024,768
1466331077,1024,1536
1466332884,1792,512
1466334717,512,1792
1466336479,1536,512
1466338275,1536,2560
1466339193,0,1280
1466340167,1536,0
1466342245,512,2048
1466343675,1280,512
1466344437,256,0
1466345478,1792,1792
1466346380,256,0
1466347282,2304,1280
1466348192,0,3328
1466349075,1024,0
1466350905,2048,256
1466352682,1024,1792
1466353593,0,1792
1466354488,2816,0
1466355496,256,1792
1466356272,1280,0
1466358077,2048,256
1466360277,1792,2048
1466360774,768,0
1466361675,1280,1536
1466362575,0,1536
1466363474,1536,0
1466365282,1024,1024
1466367078,512,1536
1466368877,1792,1536
1466370673,0,1536
1466371574,0,512
1466372472,512,0
1466373372,0,1536
1466374277,2048,0
1466376075,256,768
1466376974,0,1792
1466377922,256,0
1466378829,0,512
1466379687,1536,0
1466381941,1024,1280
1466383277,768,768
1466385076,256,1536
1466386879,2048,0
1466387771,0,1280
1466389061,1792,0
1466390482,1024,1536
1466391375,0,1024
1466392279,512,0
1466394078,1024,768
1466396275,1536,1536
1466397770,512,1792
1466399480,512,1536
1466401385,1536,768
1466403454,1024,1024
1466404886,2816,1280
1466406682,256,1536
1466408580,1024,0
1466409374,0,1280
1466410293,1792,0
1466410898,256,0
1466412083,1536,768
1466414375,512,1024
1466415687,1536,512
1466416575,0,768
1466417504,2304,0
1466419277,1280,1536
1466421470,0,2304
1466422878,2560,0
1466424673,512,2048
1466426488,1536,1024
1466428277,512,1536
1466429231,0,512
1466430078,1536,0
1466431008,0,2048
1466431889,768,0
1466432775,0,256
1466433680,512,1536
1466435474,256,2560
1466437279,1536,768
1466438182,0,2304
1466439079,1024,0
1466440878,256,1280
1466441776,0,2816
1466442504,1024,0
1466443395,0,512
1466444353,1280,0
1466446695,1024,3328
1466447000,0,1792
1466447930,512,0
1466450323,256,2048
1466450595,0,512
1466451500,256,0
1466453369,1280,1536
1466454212,512,0
1466455099,768,1024
1466456568,512,1792
1466458706,512,256
1466461099,1536,768
1466461393,0,1792
1466462293,256,0
1466464651,512,0
1466465893,1536,0
1466468304,1536,1536
1466468596,0,512
1466469507,1024,0
1466471885,256,512
1466472198,0,256
1466473164,1792,0
1466475505,2048,2304
1466475842,0,1792
1466476695,1280,0
1466479044,768,1024
1466480332,2304,512
1466481190,0,1280
1466482669,2048,0
1466483000,256,0
