DateTime,Entries,UniqueIPs
1465798280,417,108544
1465798691,418,108800
1465799183,408,106240
1465800082,413,107520
1465801878,412,107008
1465803690,414,107520
1465805489,412,107008
1465807279,405,105472
1465809483,396,102912
1465810877,400,103936
1465811774,392,101888
1465812516,399,103680
1465814483,395,102656
1465815373,385,100096
1465816724,388,100864
1465818076,393,102144
1465818968,391,101376
1465820306,396,102912
1465820785,387,100608
1465821679,397,103168
1465823551,391,101376
1465825320,395,102400
1465826188,383,99328
1465827458,387,100352
1465828915,385,99840
1465831122,381,98816
1465831570,376,97536
1465832474,378,98048
1465834277,378,97792
1465834645,379,98048
1465835172,378,97792
1465836082,378,97536
1465838260,372,96000
1465839675,376,97024
1465840570,372,96000
1465841480,373,96256
1465842451,367,94720
1465843100,376,97024
1465845550,370,95488
1465845971,365,94208
1465846878,373,96256
1465849071,369,95232
1465850481,367,94720
1465851477,366,94464
1465852269,361,93184
1465854093,367,94720
1465854972,360,92928
1465855875,364,93952
1465856788,359,92672
1465857539,366,94464
1465859922,359,92672
1465861330,363,93440
1465862172,353,90880
1465863081,357,91904
1465863971,353,90880
1465864874,359,92416
1465866703,354,91136
1465868307,356,91904
1465869380,348,89856
1465870273,351,90624
1465872078,351,90624
1465873073,349,90112
1465874773,345,89088
1465875671,349,90112
1465876603,339,87552
1465877945,339,87808
1465878420,334,86528
1465879359,339,87808
1465881072,334,86528
1465882271,339,87808
1465884536,338,87552
1465885578,337,87296
1465886474,334,86528
1465887376,327,84736
1465888277,329,85248
1465889176,323,83712
1465890075,328,84992
1465891881,330,85504
1465893677,334,86528
1465894584,329,85248
1465895355,334,86528
1465897277,336,87040
1465899080,336,87040
1465900879,340,88064
1465903229,334,86528
1465904473,340,88064
1465906278,337,87040
1465907906,339,87552
1465908957,330,85248
1465910244,331,85504
1465911685,334,86272
1465912594,328,84480
1465913825,329,84736
1465915274,333,85760
1465916172,323,83200
1465917579,326,83968
1465918876,331,85248
1465920715,326,83968
1465921692,320,82432
1465922511,331,85248
1465923405,325,83712
1465924287,328,84480
1465926109,335,86272
1465927015,327,84224
1465928407,332,85504
1465929712,341,87808
1465931481,333,85760
1465933280,338,87040
1465934180,333,85760
1465935415,338,87040
1465936878,342,88064
1465939012,338,87040
1465940478,342,88064
1465942278,337,86784
1465944077,338,87040
1465944971,332,85504
1465946328,336,86528
1465947677,339,87296
1465948581,338,87040
1465949475,340,87552
1465950404,337,86784
1465951400,345,88832
1465953081,339,87296
1465954879,341,87808
1465955774,336,86528
1465956690,339,87296
1465958483,341,87808
1465959374,335,86272
1465960281,337,86784
1465962075,342,88064
1465963917,346,89088
1465965852,353,91136
1465966572,348,89856
1465967474,350,90368
1465967923,349,90112
1465969280,355,91648
1465971426,356,91904
1465973782,357,92160
1465974681,353,91136
1465976479,355,91648
1465977465,350,90368
1465978278,353,91136
1465979240,347,89600
1465980171,355,91648
1465982362,350,90368
1465983679,354,91392
1465985976,346,89344
1465987281,347,89600
1465989493,336,86784
1465990212,344,89088
1465990872,343,88832
1465993033,334,86784
1465994474,336,87296
1465995528,330,85760
1465997235,327,84992
1465998080,333,86528
1465999908,330,85760
1466000781,328,85248
1466001689,333,86528
1466003830,330,85760
1466005297,337,87552
1466007445,332,86272
1466008879,336,87296
1466010675,330,85760
1466011571,326,84736
1466012478,334,86784
1466014284,326,84736
1466016082,329,85504
1466017069,319,82944
1466017877,322,83712
1466019674,327,84992
1466021814,324,84224
1466023276,328,85248
1466024172,324,84224
1466024905,330,85760
1466025971,328,85248
1466026880,335,87040
1466027804,329,85504
1466028679,331,86016
1466030480,335,87040
1466032796,330,85248
1466034082,337,87040
1466034971,331,85504
1466035880,338,87296
1466036372,337,87040
1466037684,336,86784
1466039470,329,84992
1466041295,336,87040
1466042175,337,87296
1466043082,336,87040
1466043999,334,86528
1466044875,344,89088
1466047023,341,88320
1466048544,342,88576
1466050355,338,87552
1466052256,345,89344
1466053882,337,87040
1466055855,342,88320
1466057483,337,87296
