DateTime,Entries,UniqueIPs
1466327304,14680,15185
1466327808,14666,15172
1466328254,14607,15113
1466328749,14614,15122
1466329000,14611,15120
1466329224,14631,15140
1466329716,14626,15133
1466330186,14639,15147
1466330655,14760,15279
1466330934,14754,15271
1466331142,14761,15279
1466331634,14764,15278
1466332573,14750,15260
1466332869,14700,15210
1466333561,14703,15223
1466333775,14669,15189
1466334002,14735,15255
1466334497,14738,15257
1466334776,14741,15262
1466335472,14735,15256
1466335705,14756,15276
1466336427,14768,15290
1466336679,14740,15262
1466337386,14745,15267
1466337640,14755,15277
1466338346,14804,15327
1466338620,14796,15319
1466339318,14790,15320
1466339579,14794,15321
1466340547,14794,15324
1466341469,14861,15390
1466342448,14790,15321
1466343388,14774,15306
1466343613,14763,15295
1466344376,14763,15298
1466344801,14839,15371
1466345305,14864,15396
1466346284,14877,15410
1466347246,14902,15426
1466348215,14803,15316
1466348401,14834,15345
1466349149,14834,15349
1466350234,14882,15400
1466351321,14924,15438
1466352087,14926,15439
1466352273,14895,15415
1466353212,14901,15423
1466353964,14901,15423
1466354181,14818,15345
1466355220,14802,15329
1466355901,14871,15399
1466356338,14879,15421
1466357306,14900,15446
1466357982,14901,15446
1466358265,14904,15449
1466359240,14889,15429
1466359969,14903,15443
1466360199,14934,15477
1466361152,14938,15480
1466361879,14933,15476
1466362115,14933,15474
1466363063,15023,15559
1466363809,15017,15554
1466364020,15037,15577
1466364987,15015,15549
1466365727,15016,15551
1466365950,15051,15590
1466366401,15125,15666
1466366911,15105,15642
1466367638,15100,15636
1466367858,15128,15659
1466368829,15155,15685
1466369566,15157,15687
1466369784,15159,15687
1466370002,15246,15769
1466370747,15153,15669
1466371479,15150,15665
1466371711,15158,15677
1466372739,15149,15669
1466373150,15103,15623
1466373413,15094,15614
1466373669,15103,15637
1466374102,15112,15646
1466374337,15139,15677
1466374592,15139,15679
1466375059,15115,15655
1466375326,15126,15667
1466375550,15121,15664
1466376276,15137,15681
1466376495,15137,15684
1466377290,15161,15708
1466377459,15144,15683
1466378197,15117,15656
1466378410,15110,15650
1466379183,15087,15626
1466379381,15089,15628
1466380103,15124,15663
1466380346,15117,15656
1466381101,15019,15558
1466381299,15031,15570
1466382021,15023,15562
1466382249,15017,15557
1466383021,14981,15524
1466383219,14986,15534
1466383946,14978,15526
1466384177,14980,15517
1466384401,14973,15504
1466384937,14952,15483
1466385409,14960,15494
1466385857,14981,15515
1466386348,14987,15519
1466386856,15016,15547
1466387307,15024,15554
1466387785,15002,15532
1466388263,15008,15552
1466388776,14998,15545
1466389223,15015,15561
1466389716,15068,15615
1466390185,15054,15599
1466390690,15020,15564
1466391148,15022,15568
1466391634,15054,15600
1466392102,15079,15628
1466392621,15042,15590
1466393058,15036,15583
1466393613,15053,15600
1466394018,15045,15590
1466394841,15030,15575
1466394993,15031,15574
1466395201,15043,15587
1466395953,15041,15585
1466396670,15046,15588
1466396906,15056,15597
1466397863,15044,15584
1466398605,15039,15579
1466398882,15081,15624
1466399788,15067,15611
1466400538,15077,15621
1466400773,15107,15659
1466401705,15091,15644
1466402481,15099,15651
1466402702,15127,15675
1466403629,15073,15614
1466404365,15071,15612
1466404585,15092,15641
1466405556,15080,15631
1466406002,15058,15604
1466406288,15062,15608
1466406510,15072,15617
1466407459,15072,15617
1466408200,15052,15597
1466408420,15140,15684
1466409137,15112,15653
1466409393,15122,15662
1466409601,15161,15696
1466410130,15155,15692
1466410353,15178,15718
1466411305,15185,15732
1466412048,15186,15733
1466412259,15180,15730
1466413286,15218,15775
1466413981,15224,15777
1466414190,15272,15827
1466415164,15286,15834
1466415884,15292,15841
1466416114,15379,15939
1466417059,15499,16063
1466417812,15507,16071
1466418018,15555,16120
1466418987,15584,16145
1466419736,15592,16152
1466419948,15631,16197
1466420402,15588,16160
1466420912,15555,16131
1466421641,15557,16133
1466421855,15583,16158
1466422829,15603,16181
1466423567,15609,16188
1466423786,15593,16167
1466424002,15582,16154
1466425057,15549,16110
1466425528,15546,16109
1466426218,15563,16119
1466427141,15605,16159
1466427405,15609,16163
1466427602,15584,16137
1466428123,15611,16160
1466428346,15621,16170
1466429059,15648,16192
1466429331,15648,16192
1466430328,15662,16200
1466431319,15737,16266
1466432420,15707,16239
1466433182,15704,16236
1466433388,15694,16228
1466434348,15709,16241
1466435075,15719,16250
1466435306,15770,16295
1466436263,15761,16286
1466437010,15761,16287
1466437217,15779,16298
1466438178,15787,16311
1466438401,15849,16377
1466438946,15843,16371
1466439148,15847,16373
1466440114,15899,16433
1466440842,15907,16441
1466441056,15920,16457
1466442040,15944,16481
1466443038,15898,16430
1466443955,15942,16475
1466444945,15958,16493
1466445866,15958,16499
1466446844,15952,16499
1466447790,15955,16502
1466448782,15968,16516
1466449201,15927,16474
1466449706,15968,16517
1466450685,15977,16522
1466451637,16008,16544
1466452602,15985,16520
1466452801,15917,16453
1466453550,15908,16443
1466454543,15907,16442
1466455460,15922,16458
1466456519,15946,16489
1466457620,15861,16403
1466458570,15858,16401
1466459541,15881,16421
1466460001,15843,16386
1466460541,15817,16365
1466461453,15849,16398
1466462462,15859,16416
1466462648,15869,16426
1466462896,15844,16398
1466463383,15812,16367
1466463601,15808,16362
1466464378,15815,16369
1466465307,15848,16404
1466466286,15841,16393
1466467243,15871,16419
1466468225,15868,16418
1466469151,15874,16428
1466470140,15899,16450
1466471061,15941,16490
1466472058,15966,16513
1466472983,15967,16513
1466473975,15996,16543
1466474401,16019,16568
1466474904,16033,16583
1466475881,16033,16585
1466476836,16078,16637
1466477824,16067,16628
1466478002,16069,16637
1466478745,16087,16659
1466479729,16105,16677
1466480432,16095,16672
1466481383,16103,16680
1466481677,16108,16685
1466482342,16150,16730
1466483319,16127,16704
1466483724,16139,16716
1466484258,16174,16752
1466485240,16218,16795
1466485734,16253,16832
1466486185,16263,16848
1466487651,16306,16894
1466488588,16301,16887
1466488801,16319,16904
1466489567,16332,16918
1466490509,16380,16970
1466491492,16378,16965
1466492440,16429,17018
1466493410,16472,17061
1466493612,16503,17095
1466494358,16528,17121
1466495332,16558,17153
1466496258,16536,17135
1466497277,16548,17134
1466498186,16546,17128
1466499171,16554,17134
1466499602,16550,17132
1466500112,16586,17168
1466501103,16585,17163
1466502024,16509,17080
1466503022,16319,16861
1466503202,16326,16867
1466503940,16326,16867
1466504919,16388,16934
1466505865,16358,16902
1466506870,16417,16959
1466507783,16430,16966
1466508782,16485,17021
1466509706,16511,17049
1466510695,16500,17055
1466511630,16541,17100
1466512613,16618,17180
1466513540,16612,17167
1466514001,16602,17156
1466514550,16532,17085
1466515452,16582,17138
1466516445,16592,17156
1466516657,16584,17147
1466517381,16561,17126
1466517602,16546,17109
1466518360,16541,17099
1466519301,16584,17143
1466520284,16565,17125
1466521245,16567,17136
1466522216,16571,17135
1466523156,16525,17088
1466524133,16545,17117
1466525322,16487,17058
1466526038,16502,17074
1466526263,16472,17040
1466527225,16477,17048
1466527974,16471,17042
1466528181,16438,17009
1466528401,16414,16985
1466529157,16397,16965
1466530153,16429,17002
1466531059,16400,16967
1466532098,16418,16985
1466533221,16405,16972
1466533977,16393,16960
1466534176,16397,16967
1466535184,16376,16944
1466535891,16401,16967
1466536100,16415,16983
1466537057,16451,17022
1466537811,16460,17031
1466538026,16460,17032
1466538976,16456,17033
1466539201,16454,17031
1466539727,16463,17039
1466539948,16453,17025
1466540914,16456,17022
1466541616,16460,17027
1466541855,16464,17032
1466542873,16481,17044
1466543544,16508,17070
1466543795,16468,17029
1466544750,16432,16991
1466545452,16439,16998
1466545711,16476,17037
1466546401,16489,17050
1466546667,16484,17046
1466547135,16482,17045
1466547384,16518,17086
1466547614,16492,17054
1466548583,16470,17030
1466549302,16478,17037
1466549548,16493,17055
1466550002,16519,17084
1466550503,16504,17073
1466551214,16514,17083
1466551455,16497,17061
1466552432,16510,17074
1466553137,16509,17072
1466553381,16486,17048
1466553602,16475,17039
1466554346,16466,17029
1466555078,16477,17040
1466555309,16532,17090
1466556260,16507,17062
1466557028,16501,17057
1466557331,16515,17069
1466557947,16579,17136
1466558422,16563,17112
1466558943,16597,17145
1466559418,16588,17121
1466559861,16583,17116
1466560341,16598,17132
1466560871,16600,17134
1466561299,16594,17136
1466561789,16575,17116
1466562256,16573,17113
1466562764,16562,17099
1466563226,16559,17096
1466563744,16554,17092
1466564171,16546,17081
1466564657,16574,17106
1466565148,16529,17041
1466565956,16508,17022
1466566110,16544,17060
1466566582,16542,17059
1466567058,16563,17081
1466568044,16582,17104
1466568500,16549,17071
