DateTime,Entries,UniqueIPs
1466347321,39606,91276
1466347682,39651,91321
1466347922,39645,91315
1466348522,39638,91309
1466349122,39651,91322
1466349293,39647,91317
1466349722,39648,91318
1466350381,39645,91315
1466351525,39641,91311
1466352121,39631,91301
1466352221,39629,91299
1466352722,39630,91300
1466353322,39629,91299
1466353922,39631,91301
1466354521,39623,91292
1466355121,39620,91289
1466355606,39565,91234
1466355722,39570,91238
1466356922,39566,91234
1466357522,39587,91255
1466358121,39584,91252
1466359444,39623,91291
1466359921,39625,91293
1466360521,39615,91283
1466361122,39605,91273
1466361363,39620,91291
1466361797,39622,91293
1466363521,39615,91286
1466364121,39615,91286
1466364721,39615,91285
1466365203,39681,91353
1466365322,39677,91349
1466365922,39680,91352
1466366522,39681,91354
1466366556,39681,91354
1466367365,39585,91257
1466367721,39586,91258
1466368322,39581,91253
1466368381,39571,91242
1466368922,39572,91243
1466369282,39621,91292
1466370215,39618,91289
1466370721,39617,91288
1466371322,39618,91289
1466371921,39613,91283
1466372521,39612,91282
1466373125,39609,91279
1466373753,39604,91273
1466374921,39603,91272
1466375521,39604,91273
1466375581,39675,91355
1466376121,39673,91353
1466376722,39675,91356
1466376964,39638,91319
1466377321,39639,91320
1466377414,39639,91320
1466377922,39640,91321
1466378522,39632,91313
1466378882,39560,91241
1466379722,39561,91242
1466380803,39618,91299
1466380922,39618,91299
1466381522,39624,91304
1466382121,39625,91307
1466382723,39563,91245
1466382781,39587,91269
1466383321,39593,91274
1466383921,39590,91271
1466384642,39629,91310
1466385121,39624,91308
1466385722,39616,91300
1466386321,39619,91304
1466386564,39637,91323
1466386922,39637,91324
1466387521,39638,91325
1466388149,39632,91318
1466389321,39630,91316
1466389921,39642,91328
1466390404,39656,91343
1466391121,39659,91346
1466391811,39655,91342
1466392323,39657,91344
1466392922,39663,91351
1466393581,39673,91361
1466394243,39695,91382
1466394722,39694,91381
1466395321,39693,91380
1466395922,39695,91382
1466396521,39687,91374
1466397722,39690,91377
1466398083,40014,91702
