DateTime,AddedIPs,RemovedIPs
1465913897,4,2
1465914373,3328,3328
1465915457,3840,3840
1465917602,4094,4096
1465917901,1,2
1465919402,3584,3582
1465920715,3584,3584
1465921253,2,3
1465922715,2,0
1465923162,4352,4352
1465924106,0,12
1465924287,4350,4352
1465924527,1,0
1465924617,4,4
1465926017,12,0
1465926602,4096,4350
1465928256,2,4
1465928407,4095,3840
1465930202,4608,4607
1465931481,4606,4608
1465932006,2,0
1465934165,3584,3838
1465935602,3840,3840
1465936088,3,3
1465936878,2816,2560
1465939213,3585,3590
1465940705,3328,3325
1465942679,3076,3072
1465944602,3071,3584
1465946185,0,4
1465946328,4094,3584
1465947677,3072,3070
1465948834,122,0
1465949850,3603,3588
1465950902,256,256
1465951505,0,68608
1465951802,4096,4095
1465953081,3581,3584
1465953438,7,1
1465955402,3584,3582
1465956690,3072,3071
1465957104,3,1
1465959002,2559,2560
1465959902,256,256
1465960331,2046,2048
1465960720,3,26
1465962602,3328,3582
1465963917,3839,3584
1465964402,1,2
1465966201,3584,3582
1465967474,4093,4096
1465968008,1,4
1465969929,3328,3326
1465971420,6,5
1465971849,3584,3583
1465973105,1,0
1465973782,3072,3072
1465975064,3585,3585
1465977001,3072,3071
1465978278,2560,2559
1465978605,3,2
1465980602,4096,4095
1465982406,3,3
1465982702,3839,3840
1465984454,3329,3327
1465985976,2817,2816
1465986487,0,5
1465987281,3583,3583
1465987505,0,2
1465989493,3587,3588
1465990326,3328,3326
1465990872,256,256
1465993203,3076,3076
1465994705,3327,3328
1465996304,3070,3072
1465996565,2,3
1465998601,3328,3582
1465999929,3072,2815
1466000106,65536,0
1466000402,3,2
1466001301,3328,86784
1466002203,3072,3072
1466004002,3843,4106
1466005802,3840,3583
1466007606,4,2
1466007976,3839,3840
1466009527,3584,3583
1466010675,3326,3328
1466011051,2,2
1466012704,2,0
1466013366,4096,4094
1466014284,3584,3584
1466014591,10,5
1466016602,2816,2816
1466017877,3069,3072
1466018402,6,1
1466020202,3072,3326
1466021814,3583,3327
1466021854,1,2
1466023803,3581,3839
1466025304,4095,5117
1466025602,4,3
1466027401,3327,3327
1466028727,2815,2815
1466029202,1,8
1466030704,3328,3071
1466032796,3840,3843
1466034602,3072,3326
1466035202,36,0
1466035880,3839,3584
1466036403,15,5
1466038325,3839,3840
