DateTime,AddedIPs,RemovedIPs
1464682821,67,82
1464686421,81,71
1464690021,157,82
1464693621,153,58
1464697221,323,91
1464700821,349,96
1464704421,252,83
1464708021,345,80
1464711621,262,97
1464715220,128,105
1464718820,193,94
1464722421,125,63
1464726020,85,83
1464729620,71,68
1464733220,46,72
1464736820,50,73
1464740420,37,57
1464744019,42,45
1464747619,46,51
1464751219,50,56
1464754819,42,57
1464758419,38,59
1464762019,45,83
1464765619,43,63
1464769219,69,80
1464772819,77,98
1464776419,53,76
1464780019,62,120
1464783619,42,83
1464787219,48,166
1464790819,61,101
1464794419,47,133
1464798020,56,135
1464801620,62,116
1464805220,64,129
1464808819,56,103
1464812419,71,102
1464816019,65,73
1464819619,67,331
1464823219,55,285
1464826819,55,217
1464830419,57,224
1464834019,51,200
1464837618,49,205
1464841218,51,221
1464844818,30,52
1464848419,38,59
1464852019,62,73
1464855619,62,71
1464859219,39,72
1464862819,58,161
1464866419,78,147
1464870019,58,314
1464873619,58,294
1464877219,35,311
1464880819,81,331
1464884419,64,289
1464888019,66,123
1464891619,29,192
1464895219,40,129
1464898819,35,88
1464902420,119,73
1464906020,118,46
1464909620,95,50
1464913220,81,36
1464916821,88,40
1464920421,99,44
1464924021,70,56
1464927621,72,42
1464931221,70,33
1464934821,58,46
1464938422,69,46
1464942021,59,66
1464945621,79,79
1464949221,92,52
1464952822,74,67
1464956422,75,39
1464960022,29,49
1464963622,34,55
1464967222,40,54
1464970822,43,53
1464974422,25,62
1464978022,35,58
1464981622,47,63
1464985222,27,69
1464988822,31,64
1464992422,35,67
1464996022,34,58
1464999622,21,55
1465003222,29,58
1465006822,25,51
1465010421,29,50
1465014022,25,49
1465017621,25,30
1465021221,30,34
1465024822,34,62
1465028421,30,67
1465032021,46,37
1465035621,35,52
1465039221,19,81
1465042820,37,56
1465046420,27,59
1465050020,28,41
1465053620,38,72
1465057220,32,71
1465060820,44,67
1465064420,18,27
1465068019,37,44
1465071619,38,34
1465075220,24,107
1465078819,36,128
1465082419,25,96
1465086019,24,81
1465089619,19,87
1465093219,29,102
1465096819,16,64
1465100420,29,75
1465104020,19,68
1465107620,21,57
1465111220,32,71
1465114820,20,61
1465118420,30,80
1465122020,19,85
1465125620,34,80
1465129220,30,71
1465132820,37,34
1465136420,31,32
1465140020,35,44
1465143620,35,44
1465147220,43,25
1465150820,15,31
1465154421,34,45
1465158021,26,32
1465161621,25,31
1465165221,21,34
1465168821,21,31
1465172421,21,24
1465176021,23,29
1465179621,19,25
1465183222,21,27
1465186821,23,24
1465190422,19,30
1465194022,31,28
1465197623,27,32
1465201222,40,30
1465204822,47,44
1465208422,46,39
1465212023,40,20
1465215622,40,34
1465219223,30,28
1465222823,46,28
1465226423,34,37
1465230023,45,31
1465233623,36,48
1465237223,29,16
1465240823,35,38
1465244423,28,34
1465248024,28,27
1465251624,28,36
1465255224,20,27
1465258824,36,23
1465262424,27,18
1465266024,19,31
1465269624,30,15
1465273224,25,27
1465276824,25,22
1465280425,22,20
1465284026,30,32
1465287625,39,22
1465291225,29,31
1465294825,39,19
1465298425,35,30
1465302025,32,31
1465305626,33,36
1465309225,38,33
1465312826,48,35
1465316425,43,34
1465320026,36,42
1465323626,47,17
1465327226,44,33
1465330826,41,28
1465334426,44,23
1465338027,49,23
1465341627,30,20
1465345227,47,22
1465348827,29,20
1465352427,39,19
1465356027,40,23
1465359627,33,20
1465363227,35,20
1465366826,38,29
1465370427,41,27
1465374027,50,41
1465377626,34,45
1465381226,36,49
1465384826,39,39
1465388426,46,39
1465392026,44,33
1465395626,47,40
1465399226,43,41
1465402826,40,39
1465406426,49,41
1465410026,59,29
1465413626,48,35
1465417226,30,29
1465420826,27,25
1465424425,31,30
1465428026,41,18
1465431626,89,36
1465435226,106,27
1465438827,80,21
1465442426,63,27
1465446026,81,28
1465449626,87,22
1465453226,87,24
1465456826,40,30
1465460426,36,40
1465464026,72,28
1465467626,124,32
1465471225,72,39
1465474825,86,35
1465478425,106,31
1465482025,94,40
1465485625,116,47
1465489225,121,40
1465492825,106,38
1465496425,92,46
1465500025,93,43
1465503625,93,46
1465507225,76,41
1465510824,94,50
1465514424,74,30
1465518024,76,49
1465521624,81,26
1465525225,51,41
1465528824,47,39
1465532424,49,36
1465536023,65,32
1465539623,44,41
1465543223,76,38
1465546823,50,49
1465550423,52,38
1465554023,50,34
1465557623,66,41
1465561223,69,42
1465564823,67,48
1465568423,72,41
1465572023,60,48
1465575622,66,39
1465579222,43,51
1465582822,35,57
1465586422,31,50
1465590022,24,30
1465593621,37,28
1465597222,30,31
1465600821,16,38
1465604421,13,88
1465608021,17,108
1465611621,16,77
1465615221,23,59
1465618821,29,79
1465622421,22,91
1465626022,16,90
1465629623,24,42
1465633222,25,39
1465636822,25,63
1465640422,21,120
1465644022,30,80
1465647622,27,74
1465651222,23,116
1465654822,22,93
1465658422,26,112
1465662022,29,116
1465665622,21,116
1465669222,28,93
1465672822,17,89
1465676423,24,85
1465680023,50,89
1465683623,61,93
1465687223,61,69
1465690823,39,75
1465694423,48,90
1465698023,49,46
1465701623,40,48
1465705223,32,54
1465708823,35,57
1465712423,34,46
1465716024,43,73
1465719623,51,54
1465723223,51,54
1465726823,46,48
1465730424,47,65
1465734023,35,67
1465737623,52,71
1465741223,53,68
1465744823,77,62
1465748423,54,65
1465752023,65,48
1465755623,53,36
1465759223,61,31
1465762823,47,23
1465766423,64,37
1465770022,47,26
1465773623,50,20
1465777222,43,15
1465780822,40,16
1465784422,60,15
1465788022,41,25
1465791622,34,27
1465795222,46,22
1465798822,42,15
1465802422,51,24
1465806022,67,26
1465809622,84,26
1465813222,66,22
1465816823,56,27
1465820423,55,26
1465824023,57,26
1465827623,77,20
1465831223,87,26
1465834823,104,31
1465838423,107,22
1465842023,78,28
1465845623,96,16
1465849223,61,24
1465852823,82,44
1465856424,68,66
1465860024,72,56
1465863624,66,43
1465867224,59,49
1465870824,75,50
1465874424,54,41
1465878024,72,26
1465881624,65,37
1465885225,66,39
1465888826,50,44
1465892425,46,44
1465896025,78,55
1465899625,61,46
1465903225,89,47
1465906825,86,37
1465910425,94,50
1465914025,92,53
1465917625,88,65
1465921225,86,63
1465924825,89,66
1465928426,75,52
1465932026,75,63
1465935626,73,49
1465939227,76,64
1465942826,62,47
1465946426,52,50
1465950026,50,40
1465953626,48,39
1465957227,39,61
1465960826,41,42
1465964427,35,37
1465968027,27,41
1465971627,58,46
1465975227,48,51
1465978827,46,63
1465982427,69,84
1465986027,29,60
1465989627,36,61
1465993227,57,61
1465996827,62,54
1466000427,66,74
1466004027,47,90
1466007626,42,95
1466011226,71,110
1466014826,72,82
1466018426,55,95
1466022026,91,55
1466025626,47,84
1466029226,55,72
1466032826,48,72
1466036425,47,69
1466040025,38,60
1466043625,60,67
1466047225,58,56
1466050825,53,72
1466054425,48,68
1466058025,58,67
1466061625,38,53
1466065225,56,45
1466068824,94,80
1466072425,38,56
1466076024,67,83
1466079624,86,88
1466083224,72,95
1466086824,84,95
1466090424,65,87
1466094023,62,88
1466097624,75,87
1466101223,51,74
1466104823,69,75
1466108423,91,74
1466112023,41,81
1466115623,41,57
1466119223,27,54
1466122823,26,48
1466127322,42,60
1466130923,23,43
1466134522,23,36
1466138122,20,34
1466141722,27,33
1466145322,23,51
1466148921,41,56
1466152521,51,51
1466156121,33,57
1466159722,45,32
1466163323,86,34
1466166923,73,65
1466170522,55,55
1466174122,92,77
1466177722,77,41
1466181322,87,43
1466184922,73,73
1466188522,81,66
1466192122,93,59
1466195721,61,91
1466199322,54,46
1466202921,70,47
1466206521,64,53
1466210121,29,43
1466213721,36,38
1466217321,54,63
1466220921,31,53
1466224521,25,63
1466228120,52,41
1466231720,64,59
1466235320,77,39
1466238921,65,59
1466242520,80,86
1466246120,59,42
1466249720,76,73
1466253320,66,86
1466256919,62,72
1466260519,47,89
1466264119,51,58
1466267719,49,60
1466271319,43,76
1466274919,40,49
1466278519,25,74
1466282119,33,89
1466285719,28,36
1466289318,18,43
1466292918,20,26
1466296518,23,24
1466300118,33,38
1466303718,24,21
1466307318,27,26
1466310918,24,17
1466314518,38,28
1466318118,56,25
1466321717,52,40
1466325317,61,46
1466328917,61,39
1466332517,58,41
1466336117,53,73
1466339717,119,84
1466343317,136,58
1466346917,71,88
1466350517,74,78
