DateTime,Entries,UniqueIPs
1464661221,4886,4886
1464664821,5005,5005
1464668421,5177,5177
1464672021,5174,5174
1464675621,5167,5167
1464679221,5162,5162
1464682821,5147,5147
1464686421,5157,5157
1464690021,5232,5232
1464693621,5327,5327
1464697221,5559,5559
1464700821,5812,5812
1464704421,5981,5981
1464708021,6246,6246
1464711621,6411,6411
1464715220,6434,6434
1464718820,6533,6533
1464722421,6595,6595
1464726020,6597,6597
1464729620,6600,6600
1464733220,6574,6574
1464736820,6551,6551
1464740420,6531,6531
1464744019,6528,6528
1464747619,6523,6523
1464751219,6517,6517
1464754819,6502,6502
1464758419,6481,6481
1464762019,6443,6443
1464765619,6423,6423
1464769219,6412,6412
1464772819,6391,6391
1464776419,6368,6368
1464780019,6310,6310
1464783619,6269,6269
1464787219,6151,6151
1464790819,6111,6111
1464794419,6025,6025
1464798020,5946,5946
1464801620,5892,5892
1464805220,5827,5827
1464808819,5780,5780
1464812419,5749,5749
1464816019,5741,5741
1464819619,5477,5477
1464823219,5247,5247
1464826819,5085,5085
1464830419,4918,4918
1464834019,4769,4769
1464837618,4613,4613
1464841218,4443,4443
1464844818,4421,4421
1464848419,4400,4400
1464852019,4389,4389
1464855619,4380,4380
1464859219,4347,4347
1464862819,4244,4244
1464866419,4175,4175
1464870019,3919,3919
1464873619,3683,3683
1464877219,3407,3407
1464880819,3157,3157
1464884419,2932,2932
1464888019,2875,2875
1464891619,2712,2712
1464895219,2623,2623
1464898819,2570,2570
1464902420,2616,2616
1464906020,2688,2688
1464909620,2733,2733
1464913220,2778,2778
1464916821,2826,2826
1464920421,2881,2881
1464924021,2895,2895
1464927621,2925,2925
1464931221,2962,2962
1464934821,2974,2974
1464938422,2997,2997
1464942021,2990,2990
1464945621,2990,2990
1464949221,3030,3030
1464952822,3037,3037
1464956422,3073,3073
1464960022,3053,3053
1464963622,3032,3032
1464967222,3018,3018
1464970822,3008,3008
1464974422,2971,2971
1464978022,2948,2948
1464981622,2932,2932
1464985222,2890,2890
1464988822,2857,2857
1464992422,2825,2825
1464996022,2801,2801
1464999622,2767,2767
1465003222,2738,2738
1465006822,2712,2712
1465010421,2691,2691
1465014022,2667,2667
1465017621,2662,2662
1465021221,2658,2658
1465024822,2630,2630
1465028421,2593,2593
1465032021,2602,2602
1465035621,2585,2585
1465039221,2523,2523
1465042820,2504,2504
1465046420,2472,2472
1465050020,2459,2459
1465053620,2425,2425
1465057220,2386,2386
1465060820,2363,2363
1465064420,2354,2354
1465068019,2347,2347
1465071619,2351,2351
1465075220,2268,2268
1465078819,2176,2176
1465082419,2105,2105
1465086019,2048,2048
1465089619,1980,1980
1465093219,1907,1907
1465096819,1859,1859
1465100420,1813,1813
1465104020,1764,1764
1465107620,1728,1728
1465111220,1689,1689
1465114820,1648,1648
1465118420,1598,1598
1465122020,1532,1532
1465125620,1486,1486
1465129220,1445,1445
1465132820,1448,1448
1465136420,1447,1447
1465140020,1438,1438
1465143620,1429,1429
1465147220,1447,1447
1465150820,1431,1431
1465154421,1420,1420
1465158021,1414,1414
1465161621,1408,1408
1465165221,1395,1395
1465168821,1385,1385
1465172421,1382,1382
1465176021,1376,1376
1465179621,1370,1370
1465183222,1364,1364
1465186821,1363,1363
1465190422,1352,1352
1465194022,1355,1355
1465197623,1350,1350
1465201222,1360,1360
1465204822,1363,1363
1465208422,1370,1370
1465212023,1390,1390
1465215622,1396,1396
1465219223,1398,1398
1465222823,1416,1416
1465226423,1413,1413
1465230023,1427,1427
1465233623,1415,1415
1465237223,1428,1428
1465240823,1425,1425
1465244423,1419,1419
1465248024,1420,1420
1465251624,1412,1412
1465255224,1405,1405
1465258824,1418,1418
1465262424,1427,1427
1465266024,1415,1415
1465269624,1430,1430
1465273224,1428,1428
1465276824,1431,1431
1465280425,1433,1433
1465284026,1431,1431
1465287625,1448,1448
1465291225,1446,1446
1465294825,1466,1466
1465298425,1471,1471
1465302025,1472,1472
1465305626,1469,1469
1465309225,1474,1474
1465312826,1487,1487
1465316425,1496,1496
1465320026,1490,1490
1465323626,1520,1520
1465327226,1531,1531
1465330826,1544,1544
1465334426,1565,1565
1465338027,1591,1591
1465341627,1601,1601
1465345227,1626,1626
1465348827,1635,1635
1465352427,1655,1655
1465356027,1672,1672
1465359627,1685,1685
1465363227,1700,1700
1465366826,1709,1709
1465370427,1723,1723
1465374027,1732,1732
1465377626,1721,1721
1465381226,1708,1708
1465384826,1708,1708
1465388426,1715,1715
1465392026,1726,1726
1465395626,1733,1733
1465399226,1735,1735
1465402826,1736,1736
1465406426,1744,1744
1465410026,1774,1774
1465413626,1787,1787
1465417226,1788,1788
1465420826,1790,1790
1465424425,1791,1791
1465428026,1814,1814
1465431626,1867,1867
1465435226,1946,1946
1465438827,2005,2005
1465442426,2041,2041
1465446026,2094,2094
1465449626,2159,2159
1465453226,2222,2222
1465456826,2232,2232
1465460426,2228,2228
1465464026,2272,2272
1465467626,2364,2364
1465471225,2397,2397
1465474825,2448,2448
1465478425,2523,2523
1465482025,2577,2577
1465485625,2646,2646
1465489225,2727,2727
1465492825,2795,2795
1465496425,2841,2841
1465500025,2891,2891
1465503625,2938,2938
1465507225,2973,2973
1465510824,3017,3017
1465514424,3061,3061
1465518024,3088,3088
1465521624,3143,3143
1465525225,3153,3153
1465528824,3161,3161
1465532424,3174,3174
1465536023,3207,3207
1465539623,3210,3210
1465543223,3248,3248
1465546823,3249,3249
1465550423,3263,3263
1465554023,3279,3279
1465557623,3304,3304
1465561223,3331,3331
1465564823,3350,3350
1465568423,3381,3381
1465572023,3393,3393
1465575622,3420,3420
1465579222,3412,3412
1465582822,3390,3390
1465586422,3371,3371
1465590022,3365,3365
1465593621,3374,3374
1465597222,3373,3373
1465600821,3351,3351
1465604421,3276,3276
1465608021,3185,3185
1465611621,3124,3124
1465615221,3088,3088
1465618821,3038,3038
1465622421,2969,2969
1465626022,2895,2895
1465629623,2877,2877
1465633222,2863,2863
1465636822,2825,2825
1465640422,2726,2726
1465644022,2676,2676
1465647622,2629,2629
1465651222,2536,2536
1465654822,2465,2465
1465658422,2379,2379
1465662022,2292,2292
1465665622,2197,2197
1465669222,2132,2132
1465672822,2060,2060
1465676423,1999,1999
1465680023,1960,1960
1465683623,1928,1928
1465687223,1920,1920
1465690823,1884,1884
1465694423,1842,1842
1465698023,1845,1845
1465701623,1837,1837
1465705223,1815,1815
1465708823,1793,1793
1465712423,1781,1781
1465716024,1751,1751
1465719623,1748,1748
1465723223,1745,1745
1465726823,1743,1743
1465730424,1725,1725
1465734023,1693,1693
1465737623,1674,1674
1465741223,1659,1659
1465744823,1674,1674
1465748423,1663,1663
1465752023,1680,1680
1465755623,1697,1697
1465759223,1727,1727
1465762823,1751,1751
1465766423,1778,1778
1465770022,1799,1799
1465773623,1829,1829
1465777222,1857,1857
1465780822,1881,1881
1465784422,1926,1926
1465788022,1942,1942
1465791622,1949,1949
1465795222,1973,1973
1465798822,2000,2000
1465802422,2027,2027
1465806022,2068,2068
1465809622,2126,2126
1465813222,2170,2170
1465816823,2199,2199
1465820423,2228,2228
1465824023,2259,2259
1465827623,2316,2316
1465831223,2377,2377
1465834823,2450,2450
1465838423,2535,2535
1465842023,2585,2585
1465845623,2665,2665
1465849223,2702,2702
1465852823,2740,2740
1465856424,2742,2742
1465860024,2758,2758
1465863624,2781,2781
1465867224,2791,2791
1465870824,2816,2816
1465874424,2829,2829
1465878024,2875,2875
1465881624,2903,2903
1465885225,2930,2930
1465888826,2936,2936
1465892425,2938,2938
1465896025,2961,2961
1465899625,2976,2976
1465903225,3018,3018
1465906825,3067,3067
1465910425,3111,3111
1465914025,3150,3150
1465917625,3173,3173
1465921225,3196,3196
1465924825,3219,3219
1465928426,3242,3242
1465932026,3254,3254
1465935626,3278,3278
1465939227,3290,3290
1465942826,3305,3305
1465946426,3307,3307
1465950026,3317,3317
1465953626,3326,3326
1465957227,3304,3304
1465960826,3303,3303
1465964427,3301,3301
1465968027,3287,3287
1465971627,3299,3299
1465975227,3296,3296
1465978827,3279,3279
1465982427,3264,3264
1465986027,3233,3233
1465989627,3208,3208
1465993227,3204,3204
1465996827,3212,3212
1466000427,3204,3204
1466004027,3161,3161
1466007626,3108,3108
1466011226,3069,3069
1466014826,3059,3059
1466018426,3019,3019
1466022026,3055,3055
1466025626,3018,3018
1466029226,3001,3001
1466032826,2977,2977
1466036425,2955,2955
1466040025,2933,2933
1466043625,2926,2926
1466047225,2928,2928
1466050825,2909,2909
1466054425,2889,2889
1466058025,2880,2880
1466061625,2865,2865
1466065225,2876,2876
1466068824,2890,2890
1466072425,2872,2872
1466076024,2856,2856
1466079624,2854,2854
1466083224,2831,2831
1466086824,2820,2820
1466090424,2798,2798
1466094023,2772,2772
1466097624,2760,2760
1466101223,2737,2737
1466104823,2731,2731
1466108423,2748,2748
1466112023,2708,2708
1466115623,2692,2692
1466119223,2665,2665
1466122823,2643,2643
1466127322,2625,2625
1466130923,2605,2605
1466134522,2592,2592
1466138122,2578,2578
1466141722,2572,2572
1466145322,2544,2544
1466148921,2529,2529
1466152521,2529,2529
1466156121,2505,2505
1466159722,2518,2518
1466163323,2570,2570
1466166923,2578,2578
1466170522,2578,2578
1466174122,2593,2593
1466177722,2629,2629
1466181322,2673,2673
1466184922,2673,2673
1466188522,2688,2688
1466192122,2722,2722
1466195721,2692,2692
1466199322,2700,2700
1466202921,2723,2723
1466206521,2734,2734
1466210121,2720,2720
1466213721,2718,2718
1466217321,2709,2709
1466220921,2687,2687
1466224521,2649,2649
1466228120,2660,2660
1466231720,2665,2665
1466235320,2703,2703
1466238921,2709,2709
1466242520,2703,2703
1466246120,2720,2720
1466249720,2723,2723
1466253320,2703,2703
1466256919,2693,2693
1466260519,2651,2651
1466264119,2644,2644
1466267719,2633,2633
1466271319,2600,2600
1466274919,2591,2591
1466278519,2542,2542
1466282119,2486,2486
1466285719,2478,2478
1466289318,2453,2453
1466292918,2447,2447
1466296518,2446,2446
1466300118,2441,2441
1466303718,2444,2444
1466307318,2445,2445
1466310918,2452,2452
1466314518,2462,2462
1466318118,2493,2493
1466321717,2505,2505
1466325317,2520,2520
1466328917,2542,2542
1466332517,2559,2559
1466336117,2539,2539
1466339717,2574,2574
1466343317,2652,2652
1466346917,2635,2635
1466350517,2631,2631
1466354116,2619,2619
1466357716,2605,2605
1466361316,2588,2588
1466364916,2564,2564
1466368516,2567,2567
1466372116,2571,2571
1466375716,2559,2559
1466379316,2538,2538
1466382916,2556,2556
1466386516,2569,2569
1466390115,2565,2565
1466393715,2588,2588
1466397315,2615,2615
1466400915,2624,2624
1466404515,2625,2625
1466408115,2613,2613
1466411714,2612,2612
1466415315,2606,2606
1466418914,2606,2606
1466422515,2627,2627
1466426114,2627,2627
1466429714,2675,2675
1466433314,2713,2713
1466436914,2726,2726
1466440513,2754,2754
1466444113,2775,2775
1466447714,2790,2790
1466451313,2824,2824
1466454913,2857,2857
1466458513,2883,2883
