DateTime,Entries,UniqueIPs
1465933502,37568,37568
1465934403,37547,37547
1465935303,37525,37525
1465936203,37485,37485
1465937103,37440,37440
1465938003,37373,37373
1465938902,37296,37296
1465939803,37254,37254
1465940702,37220,37220
1465941602,36998,36998
1465942502,36316,36316
1465943402,36095,36095
1465944303,36894,36894
1465945203,36800,36800
1465946102,36660,36660
1465947002,35675,35675
1465947902,35371,35371
1465948802,35018,35018
1465949703,34954,34954
1465950602,34750,34750
1465951502,34504,34504
1465952402,34816,34816
1465953302,34768,34768
1465954202,34407,34407
1465955103,34805,34805
1465956002,34816,34816
1465956903,34583,34583
1465957803,34478,34478
1465958702,34105,34105
1465959602,33718,33718
1465960502,33741,33741
1465961402,33662,33662
1465962302,33535,33535
1465963202,33195,33195
1465964102,33049,33049
1465965002,32956,32956
1465965902,32796,32796
1465966803,31873,31873
1465967702,32143,32143
1465968602,32383,32383
1465969502,32402,32402
1465970403,32394,32394
1465971303,32379,32379
1465972202,32221,32221
1465973102,33322,33322
1465974004,34066,34066
1465974903,33965,33965
1465975802,33843,33843
1465976703,33712,33712
1465977603,33293,33293
1465978503,33188,33188
1465979403,33292,33292
1465980302,33881,33881
1465981202,34798,34798
1465982103,34848,34848
1465983002,34937,34937
1465983903,34804,34804
1465984802,34686,34686
1465985703,34587,34587
1465986602,35048,35048
1465987502,36551,36551
1465988403,36782,36782
1465989302,37183,37183
1465990203,37176,37176
1465991103,37200,37200
1465992002,37430,37430
1465992902,37472,37472
1465993803,37492,37492
1465994702,37475,37475
1465995603,37428,37428
1465996503,37391,37391
1465997402,37129,37129
1465998303,36845,36845
1465999203,36568,36568
1466000103,36508,36508
1466001003,37519,37519
1466001903,37562,37562
1466002802,37557,37557
1466003704,37492,37492
1466004603,37470,37470
1466005502,37430,37430
1466006403,37375,37375
1466007303,37381,37381
1466008202,37391,37391
1466009102,37342,37342
1466010003,37041,37041
1466010902,36961,36961
1466011803,37377,37377
1466012703,37401,37401
1466013603,37410,37410
1466014502,37342,37342
1466015402,37299,37299
1466016302,36753,36753
1466017202,36035,36035
1466018102,35514,35514
1466064903,37409,37409
1466065802,17222,17222
1466066702,25379,25379
1466067602,31238,31238
1466068503,35869,35869
1466069403,39563,39563
1466070304,39512,39512
1466071204,39454,39454
1466072103,39413,39413
1466073003,39335,39335
1466073902,39244,39244
1466074803,39172,39172
1466075702,39110,39110
1466076602,39035,39035
1466077502,38985,38985
1466078403,38922,38922
1466079302,38842,38842
1466080202,38776,38776
1466081104,38708,38708
1466082003,38658,38658
1466082902,38586,38586
1466083803,38532,38532
1466084703,38463,38463
1466085603,38394,38394
1466086503,38318,38318
1466087403,38254,38254
1466088303,38190,38190
1466089203,38130,38130
1466090102,38021,38021
1466091903,37874,37874
1466092803,37802,37802
1466093703,37697,37697
1466094603,37603,37603
1466095504,37536,37536
1466096403,37462,37462
1466097303,37398,37398
1466098202,37312,37312
1466099102,37220,37220
1466100003,37127,37127
1466100903,37043,37043
1466101804,36969,36969
1466102703,36897,36897
1466103604,36841,36841
1466104504,36775,36775
1466105404,36706,36706
1466106303,36620,36620
1466107204,36571,36571
1466108103,36524,36524
1466109002,36475,36475
1466109903,36406,36406
1466110802,36353,36353
1466111703,36270,36270
1466112602,34989,34989
1466113502,32512,32512
1466114402,30928,30928
1466115302,30271,30271
1466116202,29994,29994
1466117102,29510,29510
1466118002,28903,28903
1466118903,28633,28633
1466119802,28589,28589
1466120702,28380,28380
1466121603,27950,27950
1466122502,27628,27628
1466123402,27343,27343
1466124302,27054,27054
1466126102,27181,27181
1466127902,27399,27399
1466128802,27237,27237
1466129702,27172,27172
1466130602,26639,26639
1466131502,26430,26430
1466132402,26195,26195
1466133303,26577,26577
1466134202,26342,26342
1466135102,26456,26456
1466136002,26853,26853
1466136903,27375,27375
1466137802,27572,27572
1466138702,27532,27532
1466139602,27397,27397
1466140502,27464,27464
1466141402,27815,27815
1466142302,27896,27896
1466143202,28323,28323
1466144102,28426,28426
1466145003,28414,28414
1466145902,28370,28370
1466146802,28504,28504
1466147703,28781,28781
1466148602,29061,29061
1466149502,29514,29514
1466150402,29454,29454
1466151302,29470,29470
1466152202,29588,29588
1466153103,29431,29431
1466154003,29713,29713
1466154902,29940,29940
1466155802,30117,30117
1466156702,30095,30095
1466157603,30036,30036
1466158502,30195,30195
1466159402,31748,31748
1466160302,32015,32015
1466161203,32191,32191
1466162102,32250,32250
1466163002,32640,32640
1466163904,36060,36060
1466164802,36120,36120
1466165702,36061,36061
1466166603,36209,36209
1466167502,36301,36301
1466168403,36385,36385
1466169303,36401,36401
1466170203,36412,36412
1466171103,36408,36408
1466172002,36419,36419
1466172902,36548,36548
1466173802,36558,36558
1466174703,36574,36574
1466175602,36591,36591
1466176502,36570,36570
1466177402,36551,36551
1466178302,36561,36561
1466179202,36604,36604
1466180103,36624,36624
1466181002,36673,36673
1466181902,36650,36650
1466182802,36620,36620
1466183702,36656,36656
1466184602,36677,36677
1466185502,36686,36686
1466186402,36518,36518
1466187303,36522,36522
