DateTime,AddedIPs,RemovedIPs
1462990878,89,126
1462998675,131,64
1463004679,30,59
1463012474,28,91
1463019075,71,106
1463026880,68,95
1463034676,28,0
1463034678,0,31
1463041276,92,107
1463048482,127,0
1463055675,88,59
1463063480,16,183
1463070677,74,0
1463077274,110,74
1463084477,52,134
1463091084,115,28
1463098881,136,51
1463106682,94,73
1463113880,36,84
1463121680,42,152
1463128274,67,119
1463134873,66,78
1463142074,28,0
1463149274,111,30
1463157077,116,149
1463163072,89,59
1463170274,18,0
1463177476,48,86
1463185875,98,68
1463191875,34,166
1463199074,110,0
1463206877,59,75
1463214081,138,89
1463221880,19,122
1463228481,21,132
1463235679,63,0
1463242879,61,147
1463250082,47,65
1463257885,116,60
1463264482,137,109
1463271682,102,0
1463278879,32,48
1463286082,68,162
1463293277,64,0
1463301077,52,127
1463308281,101,0
1463314878,105,33
1463322681,127,150
1463329880,31,34
1463337080,45,85
1463343677,141,0
1463350884,60,105
1463358084,47,55
1463365281,125,25
1463373678,114,107
1463382083,85,55
1463389284,26,0
1463396485,88,164
1463404290,66,122
1463411478,30,0
1463418679,94,87
1463427678,118,76
1463433678,60,72
1463440275,29,35
1463447476,47,109
1463452876,58,179
1463460673,51,56
1463467872,75,0
1463475070,72,40
1463481680,118,116
1463489479,56,69
1463496673,15,69
1463503271,53,136
1463511067,59,147
1463517074,37,71
1463522476,131,43
1463528475,87,75
1463535676,166,65
1463544075,88,56
1463551871,55,198
1463557868,45,0
1463565077,66,84
1463572271,25,65
1463578871,116,31
1463586677,58,87
1463593272,147,67
1463600471,38,0
1463605873,51,119
1463611272,70,45
1463619078,111,72
1463626278,44,85
1463633477,123,70
1463640681,73,0
1463647891,99,147
1463655681,36,163
1463662277,53,0
1463668882,52,107
1463676685,71,153
1463683285,105,0
1463690484,103,44
1463698281,128,113
1463705480,134,0
1463712681,32,56
1463719880,55,96
1463727077,54,48
1463734877,33,160
1463741477,104,0
1463748677,53,66
1463755879,116,134
1463762476,42,0
1463769079,46,106
1463775081,66,82
1463781079,57,75
1463788279,109,65
1463795476,139,70
