DateTime,Entries,UniqueIPs
1462955481,1693,1693
1462962682,1664,1664
1462969883,1687,1687
1462977082,1663,1663
1462984278,1657,1657
1462990878,1650,1650
1462998675,1650,1650
1463004679,1666,1666
1463012474,1654,1654
1463019075,1666,1666
1463026880,1650,1650
1463034676,1624,1624
1463041276,1597,1597
1463048482,1598,1598
1463055675,1596,1596
1463063480,1584,1584
1463070677,1562,1562
1463077274,1632,1632
1463084477,1618,1618
1463091084,1654,1654
1463098881,1714,1714
1463106682,1678,1678
1463113880,1671,1671
1463121680,1627,1627
1463128274,1624,1624
1463134873,1629,1629
1463142074,1618,1618
1463149274,1593,1593
1463157077,1550,1550
1463163072,1565,1565
1463170274,1559,1559
1463177476,1579,1579
1463185875,1586,1586
1463191875,1591,1591
1463199074,1624,1624
1463206877,1615,1615
1463214081,1638,1638
1463221880,1599,1599
1463228481,1573,1573
1463235679,1529,1529
1463242879,1543,1543
1463250082,1591,1591
1463257885,1632,1632
1463264482,1660,1660
1463271682,1694,1694
1463278879,1720,1720
1463286082,1733,1733
1463293277,1729,1729
1463301077,1717,1717
1463308281,1703,1703
1463314878,1709,1709
1463322681,1717,1717
1463329880,1720,1720
1463337080,1697,1697
1463343677,1754,1754
1463350884,1766,1766
1463358084,1803,1803
1463365281,1854,1854
1463373678,1771,1771
1463382083,1798,1798
1463389284,1795,1795
1463396485,1784,1784
1463404290,1793,1793
1463411478,1746,1746
1463418679,1709,1709
1463427678,1652,1652
1463433678,1588,1588
1463440275,1576,1576
1463447476,1594,1594
1463452876,1596,1596
1463460673,1588,1588
1463467872,1549,1549
1463475070,1484,1484
1463481680,1514,1514
1463489479,1539,1539
1463496673,1537,1537
1463503271,1491,1491
1463511067,1464,1464
1463517074,1462,1462
1463522476,1540,1540
1463528475,1596,1596
1463535676,1736,1736
1463544075,1687,1687
1463551871,1644,1644
1463557868,1588,1588
1463565077,1557,1557
1463572271,1531,1531
1463578871,1564,1564
1463586677,1525,1525
1463593272,1566,1566
1463600471,1607,1607
1463605873,1634,1634
1463611272,1677,1677
1463619078,1725,1725
1463626278,1697,1697
1463633477,1708,1708
1463640681,1713,1713
1463647891,1704,1704
1463655681,1680,1680
1463662277,1643,1643
1463668882,1619,1619
1463676685,1625,1625
1463683285,1651,1651
1463690484,1701,1701
1463698281,1728,1728
1463705480,1796,1796
1463712681,1745,1745
1463719880,1739,1739
1463727077,1712,1712
1463734877,1681,1681
1463741477,1682,1682
1463748677,1654,1654
1463755879,1687,1687
1463762476,1708,1708
1463769079,1724,1724
1463775081,1737,1737
1463781079,1766,1766
1463788279,1829,1829
1463795476,1855,1855
1463803876,1777,1777
1463812280,1767,1767
1463820073,1715,1715
1463828474,1680,1680
1463835071,1655,1655
1463842269,1648,1648
1463849475,1673,1673
1463856677,1677,1677
1463864484,1673,1673
1463871084,1687,1687
1463878278,1674,1674
1463885482,1689,1689
1463893278,1659,1659
1463899881,1654,1654
1463907083,1659,1659
1463914284,1685,1685
1463922078,1691,1691
1463929284,1662,1662
1463935278,1628,1628
1463943078,1620,1620
1463950279,1612,1612
1463956874,1648,1648
1463964678,1657,1657
1463971872,1647,1647
1463979074,1624,1624
1463986277,1608,1608
1463995277,1623,1623
1464002475,1608,1608
1464009676,1593,1593
1464016268,1562,1562
1464023470,1567,1567
1464031278,1569,1569
1464038475,1545,1545
1464045068,1598,1598
1464052872,1587,1587
1464061278,1499,1499
1464067274,1445,1445
1464074469,1393,1393
1464081077,1383,1383
1464088275,1356,1356
1464095476,1358,1358
1464102674,1363,1363
1464108674,1394,1394
1464115277,1412,1412
1464123077,1407,1407
1464129675,1409,1409
1464136874,1393,1393
1464144067,1377,1377
1464151267,1354,1354
1464158466,1346,1346
1464165066,1344,1344
1464171070,1339,1339
1464176470,1315,1315
1464181267,1303,1303
1464187266,1295,1295
1464195069,1290,1290
1464201666,1357,1357
1464209465,1357,1357
1464216674,1363,1363
1464231676,1327,1327
1464237668,1351,1351
1464244873,1338,1338
1464252068,1314,1314
1464259268,1294,1294
1464266470,1338,1338
1464273668,1333,1333
1464280271,1375,1375
1464286272,1405,1405
1464293471,1404,1404
1464300073,1402,1402
1464305467,1387,1387
1464310865,1395,1395
1464316266,1393,1393
1464322264,1372,1372
1464329468,1355,1355
1464337269,1349,1349
1464343865,1319,1319
1464351070,1324,1324
1464355871,1346,1346
1464362468,1345,1345
1464369070,1370,1370
1464374475,1437,1437
1464379874,1441,1441
1464385272,1436,1436
1464393073,1441,1441
1464399667,1417,1417
1464406866,1384,1384
1464412267,1377,1377
1464419471,1412,1412
1464424268,1442,1442
1464430873,1457,1457
1464437474,1459,1459
1464442870,1454,1454
1464450071,1428,1428
1464457874,1457,1457
1464463870,1495,1495
1464469872,1507,1507
1464477671,1525,1525
1464484275,1553,1553
1464492074,1509,1509
1464499275,1494,1494
1464506472,1474,1474
1464513074,1481,1481
1464519072,1466,1466
1464525669,1468,1468
1464531074,1495,1495
1464538272,1502,1502
1464546069,1485,1485
1464553277,1539,1539
1464560479,1520,1520
1464567668,1497,1497
1464574876,1531,1531
1464582073,1536,1536
1464589276,1520,1520
1464596475,1508,1508
1464604278,1500,1500
1464610869,1460,1460
1464617465,1492,1492
1464625268,1500,1500
1464632469,1595,1595
1464639675,1578,1578
1464646275,1596,1596
1464654076,1629,1629
1464660678,1661,1661
1464668476,1667,1667
1464675679,1662,1662
1464682279,1689,1689
1464690077,1697,1697
1464697276,1745,1745
1464705076,1727,1727
1464712873,1669,1669
1464719474,1676,1676
1464726077,1664,1664
1464733050,1660,1660
1464740478,1676,1676
1464747676,1639,1639
1464755476,1633,1633
1464762075,1599,1599
1464768678,1637,1637
1464776483,1661,1661
1464784280,1638,1638
1464791480,1629,1629
1464798682,1628,1628
1464805285,1666,1666
1464812486,1646,1646
1464819687,1619,1619
1464827487,1626,1626
1464834683,1586,1586
1464841283,1583,1583
1464847877,1575,1575
1464855081,1612,1612
1464862882,1587,1587
1464870078,1590,1590
1464876674,1605,1605
1464884483,1583,1583
1464891678,1676,1676
1464898884,1710,1710
1464906080,1690,1690
1464913884,1677,1677
1464921078,1647,1647
1464928278,1583,1583
1464941477,1558,1558
1464946881,1577,1577
1464954677,1576,1576
1464961871,1567,1567
1464969073,1615,1615
1464977477,1594,1594
1464984678,1681,1681
1464991907,1656,1656
1464999686,1611,1611
1465006879,1610,1610
1465014077,1616,1616
1465020680,1657,1657
1465027877,1670,1670
1465035677,1676,1676
1465042880,1690,1690
1465050080,1704,1704
1465057880,1767,1767
1465066273,1799,1799
1465074083,1780,1780
1465081283,1747,1747
1465088481,1644,1644
1465095081,1643,1643
1465101674,1628,1628
1465108874,1596,1596
1465116074,1623,1623
1465123878,1624,1624
1465131075,1623,1623
1465137668,1628,1628
1465145475,1637,1637
1465152670,1614,1614
1465159876,1558,1558
1465167077,1571,1571
1465174274,1665,1665
1465181477,1634,1634
1465188670,1633,1633
1465195891,1633,1633
1465202472,1613,1613
1465210276,1559,1559
1465217477,1526,1526
1465224672,1489,1489
1465231874,1445,1445
1465239881,1406,1406
1465246273,1422,1422
1465252874,1383,1383
1465260670,1373,1373
1465267269,1398,1398
1465275065,1362,1362
1465281069,1393,1393
1465287071,1395,1395
1465294279,1383,1383
1465301474,1391,1391
1465308676,1388,1388
1465316477,1341,1341
1465323673,1342,1342
1465330276,1349,1349
1465336875,1388,1388
1465342876,1395,1395
1465350077,1419,1419
1465357876,1391,1391
1465363876,1371,1371
1465369274,1379,1379
1465374679,1469,1469
1465381279,1498,1498
1465388476,1495,1495
1465396277,1491,1491
1465403479,1458,1458
1465410080,1408,1408
1465416076,1415,1415
1465422077,1407,1407
1465426879,1414,1414
1465432280,1443,1443
1465440076,1407,1407
1465446677,1405,1405
1465453272,1359,1359
1465460470,1326,1326
1465467076,1335,1335
1465474873,1334,1334
1465482075,1306,1306
1465488068,1300,1300
1465492274,1381,1381
1465498877,1394,1394
1465505471,1392,1392
1465512674,1370,1370
1465519875,1367,1367
1465527071,1346,1346
1465536681,1410,1410
1465543274,1448,1448
1465551684,1444,1444
1465560077,1428,1428
1465566676,1398,1398
1465576865,1346,1346
1465584666,1331,1331
1465591269,1327,1327
1465598473,1347,1347
1465603875,1371,1371
1465608671,1358,1358
1465619476,1346,1346
1465625473,1327,1327
1465632676,1306,1306
1465638083,1292,1292
1465645278,1299,1299
1465651875,1257,1257
1465661473,1250,1250
1465668670,1275,1275
1465674070,1260,1260
1465678878,1297,1297
1465684875,1320,1320
1465693878,1320,1320
1465701071,1288,1288
1465707669,1282,1282
1465713072,1317,1317
1465718471,1315,1315
1465723270,1313,1313
1465729274,1338,1338
1465735272,1324,1324
1465740072,1303,1303
1465746075,1283,1283
1465750872,1282,1282
1465757468,1277,1277
1465764075,1268,1268
1465771273,1231,1231
1465776672,1253,1253
1465782077,1255,1255
1465788674,1233,1233
1465794671,1214,1214
1465801274,1207,1207
1465807268,1222,1222
1465814469,1203,1203
1465821068,1190,1190
1465827072,1211,1211
1465831271,1209,1209
1465836671,1232,1232
1465842074,1291,1291
1465848672,1303,1303
1465855273,1296,1296
1465860674,1436,1436
1465866677,1435,1435
1465874480,1480,1480
1465881679,1515,1515
1465889481,1504,1504
1465896675,1450,1450
1465903875,1450,1450
1465911075,1368,1368
1465917670,1334,1334
1465924869,1332,1332
1465931468,1321,1321
1465938668,1334,1334
1465951265,1368,1368
1465958470,1337,1337
1465963868,1328,1328
1465969268,1314,1314
1465979475,1319,1319
1465986076,1324,1324
1465992676,1304,1304
1466000474,1280,1280
1466007074,1263,1263
1466013671,1230,1230
1466019070,1261,1261
1466024474,1242,1242
1466029269,1244,1244
1466035271,1247,1247
1466040670,1299,1299
1466046675,1301,1301
1466051475,1320,1320
1466056877,1337,1337
1466062874,1352,1352
1466070082,1352,1352
1466075474,1338,1338
1466081474,1319,1319
1466088673,1283,1283
1466095869,1284,1284
1466102475,1310,1310
1466109674,1314,1314
1466116276,1378,1378
1466122278,1408,1408
1466130076,1390,1390
1466139073,1376,1376
1466146270,1354,1354
1466152873,1356,1356
1466160080,1325,1325
1466167273,1355,1355
1466175678,1334,1334
1466182279,1278,1278
1466189475,1299,1299
1466196672,1281,1281
1466203271,1285,1285
1466208670,1334,1334
1466217672,1378,1378
1466225474,1378,1378
1466232672,1347,1347
1466239269,1296,1296
1466244073,1299,1299
1466250667,1282,1282
1466257272,1304,1304
1466264472,1291,1291
1466270474,1271,1271
1466279471,1285,1285
1466285473,1307,1307
1466292068,1349,1349
1466299271,1378,1378
1466307072,1409,1409
1466314277,1413,1413
1466320872,1389,1389
1466328076,1396,1396
1466335871,1381,1381
1466343671,1389,1389
1466353871,1402,1402
1466361071,1391,1391
1466368271,1380,1380
1466374274,1461,1461
1466382076,1518,1518
1466388678,1538,1538
1466397077,1549,1549
1466406077,1532,1532
1466413281,1510,1510
1466428876,1437,1437
1466437273,1434,1434
1466446277,1452,1452
1466454674,1448,1448
1466461276,1449,1449
