DateTime,Entries,UniqueIPs
1463799363,2829,2848
1463802963,2815,2834
1463810164,2830,2849
1463813764,2811,2830
1463820964,2827,2845
1463824564,2824,2842
1463831764,2819,2837
1463835364,2812,2830
1463842563,2840,2858
1463846164,2832,2850
1463853363,2850,2868
1463856963,2839,2858
1463864163,2852,2871
1463867764,2830,2849
1463874964,2856,2875
1463878564,2828,2846
1463885764,2826,2844
1463889363,2828,2848
1463896563,2810,2830
1463900164,2814,2834
1463907363,2822,2842
1463910964,2811,2831
1463918163,2806,2826
1463921765,2803,2823
1463925364,2808,2828
1463928965,2796,2816
1463936164,2791,2811
1463939764,2774,2794
1463946964,2765,2785
1463950565,2745,2765
1463957765,2730,2750
1463961363,2711,2730
1463968564,2694,2713
1463972164,2691,2710
1463979363,2684,2703
1463982964,2675,2694
1463990164,2670,2689
1463993764,2641,2660
1464004564,2634,2653
1464008164,2628,2646
1464015365,2636,2654
1464018963,2627,2645
1464026164,2636,2655
1464029764,2633,2652
1464036963,2636,2655
1464040564,2622,2641
1464047763,2625,2643
1464051363,2610,2628
1464058564,2601,2619
1464062164,2592,2610
1464069366,2589,2607
1464072964,2598,2616
1464080164,2591,2609
1464083764,2592,2610
1464090963,2590,2608
1464094564,2587,2605
1464101764,2585,2603
1464105364,2581,2599
1464112565,2587,2606
1464116163,2568,2586
1464123363,2581,2600
1464126963,2571,2590
1464134163,2583,2602
1464137764,2575,2594
1464144963,2568,2587
1464148564,2561,2580
1464155764,2521,2540
1464159365,2528,2547
1464166564,2527,2545
1464170164,2542,2561
1464177364,2543,2562
1464180964,2521,2539
1464184564,2525,2543
1464188163,2521,2539
1464195364,2523,2541
1464198964,2529,2547
1464206163,2527,2544
1464209763,2527,2544
1464216964,2529,2547
1464220564,2525,2543
1464227764,2509,2528
1464231364,2497,2516
1464234963,2501,2520
1464238563,2490,2509
1464245765,2497,2517
1464249363,2489,2509
1464256564,2495,2516
1464260164,2480,2501
1464267363,2490,2511
1464270966,2478,2499
1464278164,2480,2501
1464281764,2466,2487
1464288964,2488,2509
1464292564,2491,2512
1464299763,2490,2511
1464303364,2491,2512
1464310563,2503,2524
1464314164,2492,2513
1464321364,2490,2511
1464324964,2493,2514
1464332164,2492,2513
1464335765,2500,2521
1464342964,2507,2528
1464346563,2497,2518
1464353764,2486,2508
1464357364,2481,2503
1464364563,2481,2503
1464368164,2473,2495
1464375364,2470,2493
1464378966,2466,2490
1464386164,2471,2495
1464389764,2467,2490
1464396963,2470,2494
1464400564,2461,2485
1464407763,2461,2485
1464411364,2449,2473
1464418563,2456,2481
1464422165,2437,2462
1464429364,2442,2466
1464432963,2435,2460
1464440164,2449,2475
1464443764,2441,2468
1464447364,2450,2477
1464450964,2454,2481
1464458163,2450,2478
1464461764,2459,2487
1464468963,2473,2501
1464472564,2440,2468
1464479764,2444,2472
1464483364,2450,2478
1464490563,2441,2469
1464494164,2427,2455
1464501363,2447,2475
1464504965,2446,2475
1464512164,2433,2463
1464515763,2434,2461
1464522964,2445,2472
1464526563,2434,2461
1464533763,2447,2474
1464537363,2449,2476
1464544563,2455,2482
1464548163,2465,2492
1464555363,2481,2508
1464558963,2483,2510
1464566163,2498,2528
1464569763,2501,2531
1464576964,2507,2537
1464580564,2510,2541
1464587763,2511,2543
1464591363,2514,2547
1464598563,2528,2560
1464602164,2516,2549
1464605763,2522,2555
1464612963,2528,2561
1464616564,2520,2553
1464623763,2549,2582
1464627364,2554,2587
1464634563,2569,2601
1464638164,2570,2602
1464645364,2579,2611
1464648967,2581,2613
1464656164,2603,2635
1464659763,2603,2635
1464666963,2618,2650
1464670564,2617,2649
1464677763,2627,2659
1464681363,2634,2666
1464688564,2669,2702
1464692165,2670,2704
1464699363,2688,2723
1464702963,2683,2718
1464710164,2692,2727
1464713764,2670,2706
1464720964,2666,2702
1464724565,2651,2686
1464731764,2657,2692
1464735363,2656,2691
1464742564,2661,2695
1464746164,2655,2689
1464753364,2657,2691
1464756963,2651,2685
1464764164,2656,2690
1464767763,2645,2679
1464774964,2658,2692
1464778564,2660,2694
1464785764,2661,2695
1464789364,2654,2687
1464796564,2655,2687
1464800164,2654,2686
1464807363,2650,2682
1464810964,2651,2683
1464818163,2643,2675
1464821764,2647,2679
1464828963,2655,2687
1464832564,2649,2681
1464839763,2641,2673
1464843364,2643,2675
1464850563,2635,2666
1464854163,2633,2664
1464861364,2647,2678
1464864965,2632,2663
1464868563,2639,2670
1464872164,2639,2671
1464879363,2648,2680
1464882964,2652,2684
1464890164,2645,2677
1464893764,2643,2675
1464900965,2645,2677
1464904563,2640,2672
1464911763,2653,2686
1464915364,2650,2683
1464922564,2644,2676
1464929764,2642,2674
1464933363,2636,2668
1464940563,2640,2672
1464944164,2639,2671
1464951364,2660,2693
1464954964,2666,2699
1464958563,2680,2713
1464962163,2681,2712
1464969363,2722,2754
1464972963,2752,2784
1464976567,2761,2793
1464980164,2761,2793
1464987364,2780,2813
1464990964,2786,2819
1464998163,2825,2858
1465001764,2822,2855
1465008964,2826,2859
1465012563,2838,2871
1465019763,2932,2965
1465023363,2957,2990
1465026964,2978,3011
1465030563,2973,3006
1465037763,2998,3029
1465041364,3002,3033
1465048563,3023,3054
1465052163,3028,3058
1465055763,3044,3074
1465059363,3052,3081
1465066564,3055,3084
1465070164,3041,3070
1465077364,3038,3067
1465080964,3036,3065
1465088163,3042,3071
1465091763,3028,3056
1465098964,3017,3045
1465102569,3002,3029
1465106172,2997,3025
1465109769,2999,3028
1465116973,2966,2993
1465120564,2970,2997
1465127764,2955,2982
1465131370,2946,2970
1465138572,2956,2980
1465142170,2953,2976
1465149373,2961,2984
1465152970,2962,2985
1465160170,2962,2985
1465163769,2977,3000
1465170972,2977,3002
1465174569,2960,2985
1465181772,2972,2997
