DateTime,AddedIPs,RemovedIPs
1463831764,113,113
1463835364,84,83
1463842563,121,122
1463846164,62,63
1463853363,98,96
1463856963,74,75
1463864163,84,83
1463867764,71,71
1463874964,152,152
1463878564,62,62
1463885764,98,98
1463889363,52,52
1463896563,110,111
1463900164,68,68
1463907363,137,136
1463910964,68,68
1463918163,117,117
1463921765,79,79
1463925364,72,72
1463928965,69,69
1463936164,81,81
1463939764,57,57
1463946964,56,56
1463950565,44,44
1463957765,71,71
1463961363,69,69
1463968564,62,62
1463972164,53,55
1463979363,54,54
1463982964,50,50
1463990164,61,63
1463993764,54,54
1464004564,105,103
1464008164,92,92
1464015365,134,137
1464018963,103,103
1464026164,125,121
1464029764,89,89
1464036963,107,106
1464040564,90,90
1464047763,119,119
1464051363,61,62
1464058564,109,109
1464062164,62,62
1464069366,106,108
1464072964,80,82
1464080164,111,110
1464083764,102,100
1464090963,99,100
1464094564,90,89
1464101764,126,124
1464105364,67,68
1464112565,141,141
1464116163,111,110
1464123363,132,134
1464126963,86,87
1464134163,116,115
1464137764,63,62
1464144963,97,98
1464148564,53,52
1464155764,91,91
1464159365,77,76
1464166564,101,101
1464170164,92,92
1464177364,104,105
1464180964,113,112
1464184564,73,73
1464188163,70,70
1464195364,123,123
1464198964,100,101
1464206163,111,111
1464209763,102,103
1464216964,107,107
1464220564,55,55
1464227764,87,86
1464231364,79,79
1464234963,56,56
1464238563,82,82
1464245765,108,109
1464249363,68,68
1464256564,85,84
1464260164,64,63
1464267363,115,115
1464270966,81,81
1464278164,110,111
1464281764,63,64
1464288964,124,122
1464292564,67,67
1464299763,78,78
1464303364,77,78
1464310563,92,92
1464314164,64,64
1464321364,86,86
1464324964,68,67
1464332164,95,97
1464335765,75,75
1464342964,102,102
1464346563,73,73
1464353764,108,108
1464357364,71,72
1464364563,123,121
1464368164,82,81
1464375364,84,84
1464378966,96,96
1464386164,91,91
1464389764,81,82
1464396963,71,70
1464400564,69,70
1464407763,86,86
1464411364,69,69
1464418563,105,105
1464422165,65,64
1464429364,121,121
1464432963,68,68
1464440164,122,122
1464443764,78,78
1464447364,75,75
1464450964,73,73
1464458163,90,91
1464461764,66,66
1464468963,109,109
1464472564,79,80
1464479764,108,106
1464483364,65,65
1464490563,107,107
1464494164,69,69
1464501363,114,114
1464504965,64,64
1464512164,122,124
1464515763,103,103
1464522964,105,105
1464526563,68,67
1464533763,101,100
1464537363,67,67
1464544563,98,98
1464548163,63,63
1464555363,113,114
1464558963,67,67
1464566163,127,126
1464569763,57,57
1464576964,101,101
1464580564,63,63
1464587763,78,78
1464591363,73,73
1464598563,94,94
1464602164,74,74
1464605763,78,78
1464612963,105,105
1464616564,77,77
1464623763,115,115
1464627364,75,75
1464634563,93,93
1464638164,81,81
1464645364,84,84
1464648967,80,80
1464656164,88,88
1464659763,63,63
1464666963,103,103
1464670564,71,71
1464677763,109,109
1464681363,74,74
1464688564,121,121
1464692165,74,74
1464699363,150,151
1464702963,87,87
1464710164,130,130
