DateTime,Entries,UniqueIPs
1466107921,1723,1761
1466108522,1724,1762
1466109122,1725,1763
1466109721,1731,1769
1466110922,1727,1765
1466111521,1721,1759
1466112122,1716,1754
1466113321,1705,1743
1466114521,1697,1735
1466115722,1690,1728
1466116922,1675,1713
1466118121,1677,1715
1466118721,1680,1718
1466119322,1670,1707
1466119921,1671,1708
1466120522,1673,1707
1466121121,1668,1703
1466121722,1687,1723
1466122922,1688,1724
1466123522,1673,1709
1466124121,1673,1709
1466124723,1668,1704
1466125922,1666,1705
1466127722,1671,1709
1466128922,1653,1691
1466129522,1652,1690
1466130122,1659,1698
1466131321,1656,1695
1466131922,1661,1700
1466132522,1655,1694
1466133122,1653,1692
1466133721,1649,1688
1466134322,1653,1692
1466134922,1631,1669
1466135522,1634,1672
1466136122,1631,1669
1466136721,1632,1670
1466137323,1633,1671
1466137922,1633,1673
1466138522,1623,1663
1466139121,1621,1661
1466139722,1626,1666
1466140322,1629,1669
1466140922,1630,1670
1466141521,1638,1678
1466142122,1642,1682
1466143321,1644,1684
1466143921,1640,1680
1466144522,1648,1688
1466145722,1644,1684
1466146321,1637,1677
1466147521,1639,1679
1466148123,1640,1680
1466149321,1633,1674
1466149921,1632,1673
1466150522,1635,1676
1466151722,1627,1669
1466152322,1631,1675
1466152922,1629,1673
1466153522,1630,1674
1466154122,1635,1679
1466154721,1637,1681
1466155322,1638,1682
1466156522,1637,1681
1466157121,1620,1663
1466157721,1626,1669
1466158322,1628,1670
1466158922,1609,1650
1466159522,1606,1647
1466161321,1586,1627
1466161921,1577,1618
1466162522,1582,1623
1466163122,1581,1622
1466163722,1576,1614
1466164922,1575,1613
1466165521,1549,1587
1466166722,1538,1576
1466167322,1555,1593
1466167922,1549,1587
1466168522,1555,1594
1466169122,1558,1597
1466169721,1548,1588
1466170923,1538,1578
1466171522,1538,1578
1466172121,1530,1570
1466172722,1529,1569
1466173321,1527,1567
1466173921,1533,1573
1466174521,1541,1580
1466175122,1542,1581
1466175722,1546,1585
1466176921,1558,1597
1466177521,1560,1599
1466178122,1561,1600
1466178723,1551,1590
1466179323,1557,1596
1466180522,1558,1597
1466181122,1557,1595
1466181722,1560,1599
1466182922,1559,1598
1466183521,1536,1575
1466184121,1543,1581
1466184723,1552,1590
1466185321,1553,1591
1466186521,1557,1595
1466187121,1562,1600
1466187722,1561,1599
1466188322,1560,1598
1466188921,1549,1587
1466189521,1552,1590
1466190123,1551,1589
1466190721,1552,1590
1466191321,1554,1592
1466192521,1551,1589
1466193122,1552,1590
1466193721,1532,1569
1466194321,1525,1562
1466194922,1522,1559
1466195522,1529,1566
1466196122,1533,1570
1466196722,1532,1569
1466197322,1533,1569
1466198521,1532,1568
1466199121,1526,1561
1466199722,1525,1560
1466200322,1526,1561
1466200921,1534,1569
1466201522,1527,1562
1466202122,1509,1544
1466203921,1508,1543
1466204521,1508,1543
1466205123,1505,1540
1466205721,1510,1545
1466206321,1513,1548
1466206922,1517,1552
1466207522,1511,1546
1466208122,1509,1544
1466208722,1486,1520
1466209322,1473,1507
1466209922,1465,1498
1466210524,1454,1487
1466211121,1459,1493
1466211722,1469,1503
1466212322,1473,1507
1466212921,1470,1504
1466213523,1471,1505
1466215322,1467,1501
1466215922,1463,1497
1466216522,1463,1496
1466217122,1464,1497
1466218922,1460,1493
1466219522,1462,1495
1466220121,1465,1498
1466220723,1460,1493
1466221322,1447,1480
1466221921,1444,1477
1466222521,1461,1494
1466223721,1449,1483
1466224323,1453,1486
1466224922,1458,1491
1466226122,1429,1462
1466226721,1435,1468
1466227322,1440,1473
1466227922,1440,1473
1466228522,1424,1457
1466229722,1428,1461
1466230322,1431,1464
1466230921,1430,1463
1466232121,1433,1466
1466233322,1419,1452
1466233922,1424,1457
1466234522,1391,1424
1466235721,1393,1426
1466236322,1391,1424
1466236922,1393,1426
1466237521,1395,1429
1466238121,1405,1439
1466239322,1403,1437
1466240521,1404,1438
1466241122,1409,1443
1466241721,1411,1446
1466242322,1416,1451
1466242921,1418,1453
1466243522,1427,1462
1466244122,1403,1436
1466245321,1404,1437
1466246521,1395,1428
1466247121,1400,1433
1466248321,1399,1432
1466248921,1398,1431
1466249521,1401,1434
1466250121,1402,1435
1466250721,1402,1435
1466251321,1401,1434
1466252522,1403,1436
1466253121,1400,1433
1466253722,1386,1420
1466254322,1382,1416
1466254922,1384,1418
1466255521,1360,1393
1466256122,1356,1389
1466256722,1351,1382
1466257322,1351,1383
1466258522,1342,1374
1466259722,1337,1369
1466260921,1336,1367
1466261522,1324,1355
1466262122,1328,1359
1466262721,1324,1355
1466263321,1323,1354
1466263921,1323,1354
1466264522,1326,1357
1466265721,1323,1354
1466266921,1325,1356
1466268122,1326,1357
1466268722,1327,1358
1466269321,1334,1365
1466269922,1336,1367
1466270522,1335,1366
1466271122,1315,1346
1466271722,1318,1349
1466272922,1319,1350
1466273521,1314,1345
1466274122,1314,1345
1466275322,1313,1344
1466275921,1314,1345
1466276521,1292,1324
1466277722,1292,1324
1466278921,1286,1318
1466279522,1274,1306
1466280121,1280,1312
1466280722,1282,1314
1466281321,1282,1314
1466281922,1289,1321
1466282521,1277,1309
1466283722,1275,1307
1466284322,1271,1303
1466286121,1271,1303
1466286722,1274,1306
1466287322,1272,1304
1466287922,1274,1306
1466288521,1275,1307
1466289121,1278,1310
1466289722,1274,1307
1466290321,1273,1306
1466290922,1277,1310
1466291522,1277,1310
1466292121,1278,1311
1466293322,1257,1290
1466293922,1250,1283
1466294522,1252,1285
1466295722,1238,1271
1466296321,1244,1277
1466296922,1241,1274
1466297522,1230,1263
1466298721,1228,1260
1466299322,1234,1266
1466299922,1239,1271
1466300522,1242,1274
1466301721,1246,1278
1466302322,1247,1279
1466302922,1246,1278
1466303522,1265,1297
1466304721,1268,1300
1466306522,1268,1300
1466307121,1262,1294
1466307721,1257,1289
1466308321,1255,1287
1466308923,1255,1287
1466309521,1263,1295
1466310121,1266,1298
1466311322,1230,1262
1466311921,1233,1265
1466312521,1234,1266
1466313121,1222,1254
1466313722,1221,1253
1466314322,1224,1256
1466314922,1217,1249
1466315522,1222,1254
1466316722,1225,1257
1466317322,1228,1260
1466318521,1251,1283
1466319121,1285,1318
1466319721,1288,1321
1466320325,1300,1334
1466320932,1308,1342
1466321522,1312,1346
1466322131,1314,1348
1466322722,1318,1352
1466323331,1321,1355
1466323922,1316,1350
1466324526,1314,1348
1466325121,1320,1354
1466325722,1335,1369
1466326322,1337,1371
1466326922,1338,1372
1466328121,1324,1358
1466328721,1329,1363
1466329321,1316,1349
1466329921,1301,1334
1466330521,1307,1340
1466331121,1290,1323
1466331721,1290,1323
1466332922,1292,1325
1466334121,1283,1316
1466334721,1283,1316
1466335322,1292,1325
1466335921,1290,1323
1466336522,1294,1328
1466337121,1296,1330
1466337722,1305,1339
1466338922,1309,1344
1466339522,1316,1352
1466340122,1311,1347
1466340721,1320,1356
1466341321,1320,1356
1466341922,1324,1360
1466342522,1326,1362
1466343121,1323,1359
1466343722,1320,1356
1466344323,1321,1357
1466344922,1325,1361
1466346121,1323,1359
1466347321,1329,1365
1466347922,1332,1368
1466348522,1329,1367
1466349122,1343,1381
1466349722,1345,1383
1466350322,1351,1389
1466350922,1352,1390
1466352121,1355,1393
1466352722,1361,1399
1466353322,1363,1401
1466353922,1368,1406
1466354521,1369,1407
1466355121,1370,1408
1466355722,1372,1410
1466356922,1363,1401
1466357522,1363,1401
1466358121,1359,1397
1466359322,1360,1399
1466360521,1358,1397
1466361122,1354,1393
1466361721,1362,1401
1466362921,1359,1398
1466364121,1366,1405
1466364721,1371,1410
1466365322,1380,1419
1466365922,1385,1424
1466366522,1389,1428
1466367121,1393,1432
1466367721,1402,1441
1466368322,1402,1441
1466368922,1403,1442
1466370122,1402,1441
1466371322,1403,1442
1466372521,1406,1445
1466373121,1407,1446
1466373722,1412,1451
1466374921,1409,1448
1466375521,1409,1448
1466376121,1414,1453
1466376722,1414,1453
1466377321,1423,1462
1466377922,1417,1455
1466378522,1412,1450
1466379722,1416,1454
1466380922,1413,1451
1466381522,1415,1454
1466382121,1423,1463
1466383321,1421,1461
1466383921,1422,1462
1466384522,1426,1466
1466385121,1413,1455
1466385722,1416,1458
1466386321,1424,1467
1466386922,1428,1472
1466387521,1430,1471
1466388122,1431,1472
1466389321,1433,1474
1466389921,1442,1484
1466390521,1441,1483
1466391121,1448,1490
1466391722,1452,1494
1466392922,1455,1498
1466393522,1465,1508
1466394121,1469,1512
1466394722,1476,1519
1466395321,1473,1516
1466395922,1474,1517
1466396521,1479,1522
1466397722,1489,1532
1466398321,1493,1536
1466398921,1496,1539
1466399522,1501,1544
1466400122,1502,1549
1466400721,1502,1549
1466401322,1513,1560
1466401922,1513,1560
1466402522,1513,1560
1466403122,1516,1563
1466403722,1520,1567
1466404921,1522,1569
1466406122,1524,1571
1466406721,1530,1577
1466407321,1530,1577
1466407922,1526,1573
1466408521,1529,1576
1466409722,1513,1560
1466410322,1507,1554
1466410922,1515,1563
1466411521,1521,1570
1466412121,1505,1553
1466412722,1513,1561
1466413322,1514,1562
1466413921,1517,1565
1466414521,1521,1569
1466415722,1512,1560
1466416322,1509,1557
1466416921,1509,1557
1466418121,1508,1557
1466419322,1509,1558
1466419922,1513,1562
1466420522,1517,1567
1466421121,1514,1565
1466421722,1517,1568
1466422322,1512,1563
1466422922,1510,1561
1466423521,1506,1557
1466424721,1504,1555
1466425322,1506,1553
1466425922,1509,1556
1466426522,1508,1554
1466427722,1507,1554
1466428322,1514,1561
1466428922,1513,1560
1466429521,1517,1564
1466430122,1519,1566
1466431321,1515,1562
1466431922,1534,1581
1466432521,1538,1585
1466433122,1537,1584
1466433722,1539,1587
1466434322,1542,1589
1466434921,1529,1576
1466435522,1532,1579
1466436122,1531,1578
1466436721,1534,1581
1466437322,1536,1582
1466438522,1538,1585
1466439122,1543,1590
1466439722,1542,1589
1466440322,1548,1596
1466440922,1546,1594
1466442122,1547,1595
1466442722,1549,1597
1466443321,1551,1599
1466443922,1564,1612
1466444521,1565,1614
1466445722,1567,1616
1466446322,1565,1614
1466446921,1571,1620
1466448122,1560,1610
1466448721,1565,1615
1466449321,1568,1621
1466449922,1570,1623
1466450521,1567,1620
1466451121,1568,1621
1466452322,1558,1611
1466452922,1555,1608
1466454121,1557,1610
1466454721,1551,1604
1466455322,1547,1600
1466456522,1550,1603
1466457121,1555,1608
1466457721,1556,1609
1466458922,1563,1618
1466460121,1554,1609
1466460722,1562,1618
1466461321,1567,1623
1466461921,1557,1612
1466462522,1561,1617
1466463121,1563,1622
1466463722,1564,1623
1466464322,1567,1626
1466464922,1571,1630
1466465521,1559,1617
1466466122,1548,1605
1466466722,1550,1607
1466467322,1553,1610
1466467922,1562,1619
1466468521,1553,1609
1466469121,1556,1613
1466469722,1563,1620
1466470321,1563,1620
1466470921,1562,1619
1466472122,1559,1617
1466472722,1572,1630
1466473321,1568,1626
1466473921,1562,1619
