DateTime,AddedIPs,RemovedIPs
1462773995,548,352
1462781212,1041,1050
1462784799,9,542
1462788391,3,547
1462799208,2164,1491
1462802809,459,752
1462810013,1028,1055
1462817196,1116,1258
1462824409,1271,951
1462835195,2638,783
1462838809,877,221
1462842391,822,287
1462845995,998,316
1462856791,2651,1196
1462860391,903,395
1462867594,1565,816
1462871207,6213,465
1462878424,9156,1080
1462881997,1542,436
1462889204,2574,1081
1462896419,5007,1163
1462903609,10964,931
1462910825,11577,682
1462914404,2072,239
1462921602,1200,506
1462925186,606,240
1462928796,519,276
1462935995,1330,881
1462939597,807,486
1462943200,694,408
1462946792,802,468
1462964823,21555,2908
1462972052,11926,4540
1462975647,4639,1561
1462979209,3251,1271
1462982822,2865,1144
1462993631,9941,3646
1462997214,2543,2252
1463004408,2484,1767
1463011608,2138,960
1463022424,4129,1554
1463026003,865,748
1463029598,1018,610
1463033198,974,1023
1463040440,1949,1610
1463051232,20587,4209
1463054860,5114,1011
1463065624,7568,3410
1463080023,3252,4593
1463083605,797,590
1463090808,1491,993
1463094414,585,400
1463098001,494,322
1463108817,2210,1850
1463119610,2450,2503
1463126841,1919,1696
1463130401,726,853
1463144810,3862,7207
1463159210,4020,7532
1463162802,1026,1952
1463170010,1697,2958
1463177198,2436,1076
1463184399,2351,974
1463188010,541,576
1463202405,2425,5175
1463209598,1811,2956
1463213200,806,750
1463216801,880,888
1463220399,1023,922
1463231209,3175,3794
1463238410,2085,2583
1463242007,1007,1639
1463245602,864,1020
1463252802,1750,1253
1463260006,1196,1080
1463267201,900,549
1463270810,100,444
1463274389,9,410
1463281581,18,1082
1463285185,12,1022
1463288794,8,788
1463292390,12,496
1463299588,9,1506
1463310401,6763,3940
1463317624,3193,1959
1463321208,1079,1028
1463328411,1889,1831
1463339209,2133,3868
1463353619,1805,2249
1463360809,1049,794
1463368011,1803,1350
1463371611,777,972
1463375213,1042,1073
1463382410,1021,1839
1463389596,33,2131
1463396800,56,2481
1463403997,23565,2108
1463407649,6285,503
1463411205,1416,661
1463414817,4926,912
1463418409,4866,1133
1463422003,2157,755
1463429205,3545,1059
1463432805,944,610
1463436412,1644,224
1463443605,8124,397
1463450824,7040,643
1463465218,8220,2258
1463468816,1588,674
1463472399,1315,492
1463476001,800,506
1463479613,998,605
1463490430,23209,2380
1463494027,3774,663
1463501219,5881,1225
1463508429,4519,1358
1463515618,2222,934
1463526417,6760,948
1463530024,1080,265
1463533616,1837,299
1463548032,6459,2126
1463555217,1672,1806
1463558819,926,988
1463562426,768,575
1463566025,833,757
1463573222,1872,1632
1463587644,8922,4638
1463591231,3397,629
1463594822,785,628
1463605629,8487,1413
1463609224,2363,482
1463620028,5872,1000
1463623620,1417,349
1463634424,3263,1479
1463641624,1814,1692
1463645220,978,677
1463648829,1023,626
1463652413,6834,885
1463656029,8886,633
1463659646,6748,774
1463666837,9106,3535
1463670415,2128,1076
1463674021,1608,1056
1463692031,17138,3355
1463699215,1946,1322
1463717221,4582,3687
1463720834,3276,786
1463724418,847,664
1463731624,4120,1585
1463735214,650,656
1463753243,25765,5473
1463756834,2342,1098
1463760416,8912,1435
1463774840,11684,3539
1463785620,1056,2260
1463789217,209,408
1463792820,197,493
1463803624,555,1706
1463821625,1330,4233
1463828827,1170,1706
1463843223,2370,4593
1463850426,1143,2119
1463857620,861,2121
1463879227,3399,3332
1463882823,478,501
1463886412,471,628
1463890010,445,573
1463897224,1159,1104
1463900806,573,642
1463904408,589,855
1463911614,1108,1302
1463915215,638,607
1463929614,2744,5179
1463933225,767,1196
1463936818,670,794
1463940417,618,808
1463947611,1270,1604
1463954815,979,1633
1463962009,718,1166
1463976414,1912,3084
1463983615,1369,2063
1463987229,507,1086
1463990813,21,1188
1463998013,35,2620
1464005190,78,4628
1464016010,83,3436
1464019597,33,1127
1464026814,50,1491
1464030397,9,555
1464037599,21,971
1464044788,29,1147
1464055606,24,1787
1464066395,45,2285
1464070001,21,914
1464073590,21,890
1464080794,18,1730
1464102481,79674,7847
1464113257,22481,3813
1464124040,4178,2158
1464127460,940,50
1464131213,796,1169
1464138446,1437,738
1464149221,2654,1846
1464152815,727,728
1464156426,937,811
1464160014,797,743
1464167223,1554,1453
1464170814,842,873
1464174424,2005,1894
1464206880,51573,11450
1464210415,1720,478
1464224828,4140,2951
1464228419,1032,912
1464239214,1885,3258
1464253616,2595,3888
1464257216,6136,988
1464264460,16708,3429
1464268038,5805,964
1464271634,4352,902
1464293256,21711,9622
1464304032,4208,2427
1464311226,2191,1462
1464318436,1952,1665
1464322026,677,788
1464350850,21166,23785
1464354428,3840,11606
1464358044,4678,4785
1464361636,4692,4302
1464376050,17657,11452
1464379628,2119,598
1464383225,1198,1368
1464386824,1310,1001
1464390421,752,998
1464404820,2662,5281
1464408416,524,1031
1464419238,2212,3225
1464437229,2896,11104
1464440828,786,1399
1464444415,965,6121
1464451621,2144,24769
1464466034,2260,12814
1464469614,753,1013
1464473215,536,1296
1464480414,894,968
1464484015,540,355
1464498421,2365,2548
1464505620,1328,1858
1464512813,1558,3225
1464548830,7740,18264
1464556014,1047,3503
1464563230,988,2552
1464566815,502,565
1464574022,1310,1483
1464588421,3207,3111
1464599227,2199,3107
1464610007,51,2064
1464628043,11386,3921
1464631610,619,578
1464635210,507,663
1464642430,727,1314
1464656830,20075,481
1464660419,888,741
1464671215,1931,1882
1464674809,760,1213
1464678411,601,1106
1464685616,1535,2003
1464692818,5102,1454
1464696434,3825,794
1464700026,5306,967
1464707232,5588,1861
1464714443,4923,1289
1464725230,5817,1934
1464728826,807,751
1464732419,746,848
1464736030,618,704
1464739618,589,486
1464743227,613,531
1464754022,2801,1914
1464757624,759,621
1464761220,1062,586
1464772038,2967,2658
1464779218,1334,1164
1464782826,655,647
1464786413,885,614
1464797235,3521,2680
1464804424,1727,1192
1464808015,770,416
1464822419,3351,1300
1464836834,3035,2408
1464840410,758,567
1464847625,2057,1454
1464862035,3798,4065
1464872825,3235,3115
1464880025,2723,1964
1464894428,4120,5830
1464898026,592,777
1464919618,3406,4273
1464923214,712,826
1464930425,1185,1617
1464934016,791,875
1464937622,1033,882
1464941233,854,885
1464944814,687,984
1464948418,849,1020
1464955619,1594,2712
1464970034,4533,19058
1464973618,903,5625
1464977253,816,6865
1464988030,2252,6212
1465009626,4493,18053
1465013233,781,1525
1465034830,5157,7514
1465038416,751,1275
1465042019,899,1529
1465052831,3433,5749
1465056431,1227,4630
1465067220,2529,15243
1465074417,990,6144
1465096026,2826,13564
1465103220,1469,1946
