DateTime,Entries,UniqueIPs
1462583221,5481496,5863126
1462586822,5481501,5863131
1462590410,5481505,5863135
1462594008,5481508,5863138
1462604804,5481522,5863152
1462608401,5481523,5863153
1462612014,5481531,5863161
1462619208,5481537,5863167
1462622810,5481538,5863168
1462626415,5481549,5863179
1462637218,5481555,5863185
1462640816,5481557,5863187
1462648008,5481566,5863196
1462658794,5481574,5863204
1462662408,5481574,5863211
1462666005,5481577,5863214
1462669600,5481579,5863217
1462673205,5481582,5863220
1462684003,5481594,5863232
1462687614,5481597,5863235
1462691198,5481600,5863238
1462694800,5481602,5863240
1462705606,5481611,5863250
1462712814,5481614,5863253
1462727213,5481626,5863265
1462730802,5481629,5863269
1462734400,5481632,5863272
1462741622,5481640,5863280
1462759607,5481639,5863279
1462766799,5481620,5863260
1462770411,5481622,5863262
1462773998,5481623,5863263
1462781216,5481624,5863264
1462799212,5481637,5863278
1462802813,5481638,5863279
1462810016,5481637,5863279
1462817199,5481639,5863281
1462824413,5481642,5863285
1462835198,5481648,5863291
1462838813,5481650,5863293
1462845999,5481651,5863294
1462856796,5481656,5863300
1462860395,5481676,5863322
1462867597,5481760,5863410
1462871211,5482362,5864045
1462878428,5483304,5865033
1462882001,5483478,5865218
1462889207,5483632,5865376
1462896423,5484053,5865814
1462903613,5485562,5867381
1462910829,5487339,5869221
1462914407,5487452,5869338
1462921605,5487531,5869419
1462925189,5487582,5869471
1462928800,5487637,5869528
1462935999,5487751,5869654
1462939600,5487842,5869751
1462943204,5487908,5869820
1462946796,5487963,5869877
1462964826,5491387,5873437
1462972056,5493292,5875414
1462975651,5493339,5875464
1462979213,5493396,5875522
1462982826,5493446,5875576
1462993636,5493546,5875686
1462997218,5493600,5875744
1463004412,5493653,5875798
1463011612,5494129,5876288
1463022429,5494987,5877180
1463026007,5495084,5877280
1463029601,5495160,5877359
1463033201,5495221,5877424
1463040446,5495327,5877538
1463051236,5498359,5880684
1463054864,5498884,5881234
1463065628,5498929,5881287
1463080027,5498939,5881299
1463090812,5498942,5881302
1463094418,5498985,5881347
1463098005,5499010,5881374
1463108821,5499125,5881503
1463119614,5499236,5881621
1463126845,5499330,5881717
1463130404,5499415,5881803
1463144814,5499665,5882068
1463159213,5499936,5882351
1463162806,5499982,5882398
1463170014,5500054,5882473
1463177201,5500279,5882707
1463184403,5500594,5883033
1463188014,5500621,5883060
1463202409,5500761,5883205
1463209602,5500864,5883314
1463213204,5500931,5883384
1463216807,5500975,5883432
1463220402,5501013,5883471
1463231213,5501197,5883668
1463238414,5501303,5883780
1463242011,5501341,5883819
1463245605,5501409,5883893
1463252806,5501536,5884024
1463260010,5501611,5884101
1463267205,5501656,5884147
1463270814,5501662,5884153
1463310404,5502827,5885361
1463317628,5502897,5885436
1463321212,5502942,5885483
1463328415,5503063,5885613
1463339213,5503207,5885763
1463353623,5503292,5885856
1463360813,5503334,5885901
1463368015,5503442,5886012
1463371615,5503502,5886074
1463375217,5503558,5886135
1463382414,5503608,5886188
1463404001,5506496,5889192
1463407653,5507248,5889966
1463411209,5507322,5890042
1463414820,5508241,5890995
1463418413,5508270,5891024
1463422007,5508296,5891050
1463429209,5508341,5891095
1463432809,5508363,5891117
1463436415,5508369,5891125
1463443609,5508985,5891771
1463450829,5509486,5892290
1463465222,5511033,5893907
1463468820,5511248,5894131
1463472403,5511306,5894191
1463476005,5511359,5894245
1463479618,5511402,5894292
1463490434,5514722,5897759
1463494031,5515357,5898417
1463501223,5515525,5898594
1463508433,5515625,5898700
1463515622,5515779,5898860
1463526421,5516443,5899548
1463530028,5516524,5899632
1463533620,5516808,5899932
1463548036,5517912,5901088
1463555221,5517952,5901132
1463558823,5517970,5901150
1463562431,5517995,5901175
1463566029,5518024,5901206
1463573226,5518146,5901337
1463587648,5519080,5902298
1463591236,5519200,5902422
1463594826,5519405,5902625
1463605633,5521255,5904540
1463609228,5521689,5904999
1463620032,5522989,5906339
1463623625,5523397,5906758
1463634428,5524216,5907600
1463641628,5524431,5907817
1463645224,5524452,5907839
1463648834,5524480,5907874
1463652417,5525295,5908730
1463656034,5526594,5910082
1463659650,5527595,5911124
1463666841,5528812,5912401
1463670419,5528969,5912558
1463674025,5529267,5912871
1463692035,5533181,5916920
1463699219,5533432,5917176
1463717225,5534328,5918115
1463720838,5534926,5918739
1463724422,5535057,5918876
1463731628,5535128,5918952
1463735218,5535150,5918975
1463753246,5539705,5923735
1463756838,5539969,5924019
1463760420,5541163,5925262
1463774844,5543460,5927633
1463785624,5543558,5927735
1463789221,5543564,5927741
1463792826,5543574,5927751
1463803629,5543602,5927779
1463821630,5543643,5927824
1463828832,5543655,5927839
1463843227,5543699,5927883
1463850430,5543719,5927903
1463857624,5543739,5927923
1463879230,5543801,5927986
1463882827,5543812,5927997
1463886416,5543820,5928005
1463890014,5543829,5928014
1463897229,5543851,5928036
1463900810,5543866,5928053
1463904412,5543872,5928059
1463911618,5543890,5928080
1463915219,5543908,5928098
1463929617,5543972,5928166
1463933229,5543986,5928179
1463936822,5544007,5928201
1463940420,5544018,5928213
1463947615,5544049,5928244
1463954819,5544073,5928268
1463962013,5544084,5928279
1463976419,5544117,5928316
1463983619,5544153,5928352
1463987233,5544163,5928362
1464102485,5558676,5943525
1464113262,5561304,5946252
1464124045,5561773,5946735
1464127465,5561863,5946827
1464131217,5561933,5946900
1464138451,5562040,5947007
1464149225,5562207,5947181
1464152819,5562272,5947249
1464156431,5562330,5947307
1464160018,5562395,5947374
1464167227,5562536,5947520
1464170819,5562595,5947580
1464174428,5562671,5947655
1464206885,5571081,5956392
1464210420,5571512,5956838
1464224832,5572608,5957981
1464228423,5572911,5958288
1464239218,5573531,5958938
1464253620,5573672,5959083
1464257220,5574469,5959925
1464264464,5577312,5962898
1464268042,5578427,5964056
1464271638,5579310,5964971
1464293260,5582906,5968724
1464304037,5584112,5969971
1464311230,5584663,5970544
1464318441,5585236,5971135
1464322030,5585471,5971375
1464350854,5588245,5974295
1464354432,5588704,5974778
1464358048,5589496,5975599
1464361640,5589949,5976060
1464376054,5592650,5978887
1464379633,5593327,5979599
1464383229,5593811,5980097
1464386828,5594117,5980412
1464390425,5594367,5980671
1464404824,5595356,5981693
1464408421,5595531,5981873
1464419242,5595783,5982136
1464437233,5595992,5982358
1464440833,5596108,5982477
1464444420,5596162,5982533
1464451625,5596351,5982728
1464466038,5596566,5982949
1464469619,5596584,5982967
1464473219,5596598,5982981
1464480418,5596625,5983007
1464484019,5596639,5983021
1464498425,5596698,5983080
1464505624,5596732,5983116
1464512817,5596774,5983161
1464548834,5596940,5983335
1464556018,5596966,5983361
1464563234,5597000,5983397
1464566819,5597015,5983412
1464574027,5597047,5983445
1464588425,5597102,5983505
1464599231,5597140,5983545
1464628047,5597771,5984202
1464631614,5597786,5984217
1464635214,5597802,5984236
1464642435,5597822,5984257
1464656833,5598115,5984561
1464660423,5598207,5984652
1464671219,5598466,5984933
1464674813,5598520,5984988
1464678415,5598543,5985010
1464685620,5598640,5985111
1464692822,5599353,5985857
1464696438,5599610,5986123
1464700030,5600251,5986786
1464707236,5600630,5987179
1464714447,5601292,5987864
1464725235,5602039,5988651
1464728831,5602135,5988750
1464732423,5602218,5988834
1464736035,5602220,5988835
1464739622,5602246,5988865
1464743232,5602261,5988880
1464754026,5602394,5989021
1464757628,5602418,5989047
1464761224,5602461,5989095
1464772043,5602569,5989211
1464779223,5602620,5989267
1464782830,5602639,5989287
