DateTime,AddedIPs,RemovedIPs
1466049721,7,7
1466050322,10,10
1466050926,3,3
1466051522,1,1
1466052121,12,12
1466052722,10,10
1466053321,6,6
1466054522,5,5
1466055721,4,4
1466056322,3,3
1466056921,7,7
1466057521,2,2
1466058122,11,11
1466058721,1,1
1466059321,1,1
1466059921,2,2
1466060522,5,5
1466061122,10,10
1466061722,3,3
1466062322,2,2
1466062922,2,2
1466064121,3,3
1466065321,3,3
1466065921,16,16
1466066521,4,4
1466067721,4,4
1466068921,5,5
1466069521,1,1
1466070122,1,1
1466070721,6,6
1466071321,3,3
1466071921,2,2
1466072522,5,5
1466073722,9,9
1466074322,6,6
1466074921,4,4
1466075522,5,5
1466076121,5,5
1466077322,3,3
1466077922,5,5
1466078532,2,2
1466079727,10,10
1466080922,10,10
1466081522,4,4
1466082121,3,3
1466082721,3,3
1466083323,4,4
1466083922,2,2
1466084521,4,4
1466085721,1,1
1466086323,4,4
1466086922,6,6
1466088121,2,2
1466088722,3,3
1466089323,3,3
1466089921,4,4
1466090521,1,1
1466091122,2,2
1466091721,4,4
1466092921,11,11
1466094121,2,2
1466094722,10,10
1466095322,4,4
1466095922,2,2
1466096522,1,1
1466097121,3,3
1466097722,5,5
1466098921,11,11
1466099521,3,3
1466100122,4,4
1466100721,7,7
1466101321,7,7
1466101922,6,6
1466102522,2,2
1466103721,6,6
1466104922,2,2
1466106121,5,5
1466106721,6,6
1466107322,5,5
1466107921,2,2
1466108522,10,10
1466109721,3,3
1466110922,3,3
1466111521,3,3
1466112122,2,2
1466112721,7,7
1466113321,3,3
1466114521,4,4
1466116922,3,3
1466118121,4,4
1466119322,6,6
1466119921,4,4
1466121722,4,4
1466122322,3,3
1466122922,1,1
1466124121,2,2
1466124723,9,9
1466125922,3,3
1466127722,7,7
1466128922,35,35
1466130122,3,3
1466131321,10,10
1466131922,2,2
1466133122,4,4
1466133721,3,3
1466134322,30,30
1466134921,3,3
1466136122,10,10
1466137323,3,3
1466137922,21,21
1466138522,15,15
1466139121,3,3
1466140322,3,3
1466140922,4,4
1466141521,15,15
1466142122,14,14
1466143321,17,17
1466143921,8,8
1466144522,9,9
1466145122,6,6
1466145722,2,2
1466146321,3,3
1466146922,2,2
1466147521,4,4
1466148123,2,2
1466148722,9,9
1466149321,6,6
1466149921,7,7
1466150522,1,1
1466151722,4,4
1466152322,5,5
1466152922,7,7
1466153522,2,2
1466154122,1,1
1466154721,1,1
1466155322,3,3
1466156522,15,15
1466157721,2,2
1466158322,2,2
1466158922,3,3
1466159522,3,3
1466160122,6,6
1466161321,4,4
1466161921,1,1
1466162522,3,3
1466163722,8,8
1466165521,2,2
1466166121,6,6
1466166722,3,3
1466167322,2,2
1466168522,3,3
1466169721,10,10
1466170923,4,4
1466172121,3,3
1466172722,1,1
1466173921,4,4
1466174521,2,2
1466175122,5,5
1466175722,9,9
1466176921,2,2
1466177521,1,1
1466178122,1,1
1466179323,6,6
1466179923,1,1
1466180522,14,14
1466181722,5,5
1466182922,3,3
1466183521,2,2
1466184121,2,2
1466185321,9,9
1466186521,1,1
1466187722,7,7
1466188322,3,3
1466189521,1,1
1466190123,9,9
1466191321,6,6
1466191922,4,4
1466192521,1,1
1466193122,1,1
1466193721,3,3
1466194922,6,6
1466195522,10,10
1466196722,3,3
1466197322,3,3
1466197921,1,1
1466198521,3,3
1466199121,2,2
1466199722,3,3
1466200322,4,4
1466200921,2,2
1466202122,3,3
1466202721,3,3
1466203322,2,2
1466203921,3,3
1466204521,1,1
1466205123,4,4
1466205721,6,6
1466206321,1,1
1466206921,2,2
1466208721,2,2
1466209322,3,3
1466209922,4,4
1466210523,4,4
1466211722,15,15
1466212322,3,3
1466212921,3,3
1466213523,1,1
1466214121,5,5
1466214722,5,5
1466215322,2,2
1466215922,3,3
1466217122,4,4
1466217722,3,3
1466218922,48,48
1466219522,4,4
1466220121,9,9
1466221322,14,14
1466221921,7,7
1466222521,1,1
1466223721,1,1
1466224322,10,10
1466224922,8,8
1466225521,5,5
1466226122,7,7
1466227322,2,2
1466228522,7,7
1466229722,3,3
1466230921,3,3
1466232121,3,3
1466233322,3,3
1466234522,1,1
1466235122,1,1
1466235721,4,4
1466236322,3,3
1466236922,3,3
1466237521,1,1
1466239322,2,2
1466241122,1,1
1466241721,1,1
1466242321,1,1
1466242921,2,2
1466244122,7,7
1466245321,4,4
1466246521,3,3
1466247722,1,1
1466248321,2,2
1466248921,1,1
1466249521,2,2
1466250121,1,1
1466250721,4,4
1466251321,1,1
1466252522,2,2
1466253121,3,3
1466253722,2,2
1466254322,1,1
1466254922,1,1
1466256122,2,2
1466256722,1,1
1466257322,3,3
1466258522,4,4
1466259121,2,2
1466259722,2,2
1466260921,18,18
1466261522,3,3
1466262122,3,3
1466262721,2,2
1466263321,1,1
1466263921,2,2
1466264522,2,2
1466265721,1,1
1466266921,6,6
1466267522,3,3
1466268122,3,3
1466269321,23,23
1466270521,1,1
1466271721,1,1
1466272922,1,1
1466273521,1,1
1466274122,1,1
1466275322,4,4
1466275921,1,1
1466277722,6,6
1466278322,1,1
1466278921,1,1
1466280121,4,4
1466281922,1,1
1466282521,1,1
1466284322,5,5
1466284921,2,2
1466286121,6,6
1466286721,4,4
1466287322,2,2
1466289121,2,2
1466291522,3,3
1466292121,3,3
1466293922,9,9
1466294522,5,5
1466295122,2,2
1466298123,2,2
1466299922,3,3
1466300522,1,1
1466301121,5,5
1466301721,2,2
1466302322,1,1
1466302922,1,1
1466303522,9,9
1466304121,6,6
1466304721,2,2
1466305322,2,2
1466305922,2,2
1466306522,1,1
1466307121,1,1
1466307721,1,1
1466308321,1,1
1466308923,1,1
1466309521,1,1
1466310121,1,1
1466311322,1,1
1466311921,13,13
1466312521,15,15
1466313121,7,7
1466314322,2,2
1466314922,2,2
1466315522,2,2
1466316122,1,1
1466316721,1,1
1466317322,6,6
1466317921,1,1
1466319121,2,2
1466319721,2,2
1466320325,3,3
1466320932,5,5
1466321522,3,3
1466322131,1,1
1466322722,1,1
1466323331,1,1
1466323922,1,1
1466324526,4,4
1466325722,2,2
1466326922,3,3
1466328121,3,3
1466328721,4,4
1466329321,1,1
1466329921,2,2
1466330521,3,3
1466331121,3,3
1466331721,6,6
1466332922,5,5
1466334121,5,5
1466334721,1,1
1466335322,2,2
1466336522,6,6
1466337121,2,2
1466337722,2,2
1466338921,5,5
1466340122,9,9
1466340721,1,1
1466341321,4,4
1466341922,4,4
1466343121,1,1
1466343722,1,1
1466344323,5,5
1466344921,7,7
1466345522,5,5
1466346121,1,1
1466347321,4,4
1466347921,3,3
1466348522,1,1
1466349122,2,2
1466349722,1,1
1466350322,2,2
1466350921,1,1
1466352121,5,5
1466352722,1,1
1466353922,2,2
1466354521,2,2
1466355121,2,2
1466355721,3,3
1466356321,3,3
1466356922,1,1
1466357522,14,14
1466358121,10,10
1466359322,2,2
1466359921,1,1
1466360521,2,2
1466361122,2,2
1466361721,1,1
1466362921,1,1
1466363521,1,1
1466364121,3,3
1466364721,3,3
1466365322,2,2
1466365922,2,2
1466366521,3,3
1466367121,4,4
1466367721,1,1
1466368922,1,1
1466370122,2,2
1466370721,2,2
1466371921,1,1
1466372521,1,1
1466373121,1,1
1466373722,2,2
1466374921,6,6
1466375521,2,2
1466376121,1,1
1466378522,1,1
1466379721,3,3
1466380922,3,3
1466381522,1,1
1466382121,1,1
1466383321,1,1
1466383921,1,1
1466386922,2,2
1466388122,1,1
1466389321,1,1
1466389921,1,1
1466390521,3,3
1466392922,5,5
1466393522,7,7
1466394121,3,3
1466394722,4,4
1466395321,1,1
1466395921,2,2
1466396521,5,5
1466401322,1,1
1466401922,2,2
1466402521,3,3
1466404921,5,5
1466405522,1,1
1466407321,2,2
1466407922,2,2
1466408521,1,1
1466409122,1,1
1466409721,1,1
1466410321,2,2
1466410922,2,2
1466411521,2,2
1466412121,3,3
1466413322,3,3
1466414521,1,1
1466415122,1,1
1466415722,1,1
1466416921,1,1
1466418121,1,1
1466418722,3,3
1466419322,4,4
1466420521,2,2
1466421121,1,1
1466421722,1,1
1466422922,2,2
1466423521,1,1
1466426522,2,2
1466427721,3,3
1466428322,1,1
1466428922,3,3
1466430121,1,1
1466430722,1,1
1466431321,1,1
1466432521,1,1
1466433122,4,4
1466433722,2,2
1466434322,1,1
1466434921,4,4
1466437322,1,1
1466437921,4,4
1466438522,1,1
1466439122,3,3
1466439722,2,2
1466440321,2,2
1466440922,2,2
1466442122,6,6
1466442722,1,1
1466443321,2,2
1466443922,4,4
1466444521,5,5
1466445722,4,4
1466446322,5,5
1466446921,2,2
1466447522,5,5
1466448122,5,5
1466449321,2,2
1466449922,3,3
1466450521,3,3
1466451721,3,3
1466452322,1,1
1466452922,2,2
1466453521,2,2
1466454721,4,4
1466455322,7,7
1466455922,4,4
1466456522,3,3
1466457121,1,1
1466457721,1,1
1466458321,1,1
1466460121,3,3
1466460722,1,1
1466461321,1,1
1466461921,1,1
1466462522,2,2
