DateTime,Entries,UniqueIPs
1464642002,5193,5193
1464645602,5221,5221
1464649202,5171,5171
1464652802,5166,5166
1464656402,5254,5254
1464660002,5303,5303
1464663602,5311,5311
1464667201,5340,5340
1464670802,5336,5336
1464674402,5365,5365
1464678002,5349,5349
1464681602,5374,5374
1464685202,5374,5374
1464688801,5421,5421
1464692401,5395,5395
1464696001,5355,5355
1464699601,5343,5343
1464703201,5356,5356
1464706802,5415,5415
1464710401,5360,5360
1464714002,5281,5281
1464717601,5257,5257
1464721202,5200,5200
1464724802,5199,5199
1464728402,5229,5229
1464732002,5222,5222
1464735601,5238,5238
1464739202,5206,5206
1464742802,5221,5221
1464746402,5175,5175
1464750002,5152,5152
1464753601,5136,5136
1464757202,5150,5150
1464760802,5113,5113
1464764402,5138,5138
1464768002,5165,5165
1464771602,5219,5219
1464775201,5220,5220
1464778801,5232,5232
1464782401,5270,5270
1464786002,5294,5294
1464789602,5270,5270
1464793202,5240,5240
1464796802,5211,5211
1464800402,5219,5219
1464804001,5207,5207
1464807602,5153,5153
1464811201,5116,5116
1464814802,5094,5094
1464818402,5071,5071
1464822001,5077,5077
1464825602,5061,5061
1464829202,5076,5076
1464832802,5048,5048
1464836401,4996,4996
1464840002,4954,4954
1464843601,4923,4923
1464847202,4964,4964
1464850802,4998,4998
1464854401,5016,5016
1464858001,5092,5092
1464861601,5196,5196
1464865202,5186,5186
1464868801,5180,5180
1464872402,5110,5110
1464876002,5109,5109
1464879602,5061,5061
1464883202,5048,5048
1464886802,5055,5055
1464890402,5010,5010
1464894002,5008,5008
1464897602,5022,5022
1464901202,4974,4974
1464904802,4945,4945
1464908402,4948,4948
1464912003,4939,4939
1464915603,5025,5025
1464919202,5042,5042
1464922802,5071,5071
1464926403,5046,5046
1464930002,5052,5052
1464933602,5051,5051
1464937202,4974,4974
1464940802,4945,4945
1464944402,4928,4928
1464948002,4871,4871
1464951602,4848,4848
1464955203,4892,4892
1464958802,4952,4952
1464962402,4964,4964
1464966001,4905,4905
1464969601,4898,4898
1464973202,4881,4881
1464976802,4894,4894
1464980402,4864,4864
1464984001,4861,4861
1464987602,4865,4865
1464991202,4873,4873
1464994801,4876,4876
1464998402,4900,4900
1465002002,4927,4927
1465005602,4849,4849
1465009202,4858,4858
1465012801,4880,4880
1465016402,4882,4882
1465020002,4958,4958
1465023602,4996,4996
1465027202,5039,5039
1465030801,5046,5046
1465034401,4980,4980
1465038002,5003,5003
1465041602,4971,4971
1465045202,4944,4944
1465048802,5085,5085
1465052401,5094,5094
1465056002,5060,5060
1465059601,5110,5110
1465063201,5064,5064
1465066801,5097,5097
1465070401,5187,5187
1465074001,5185,5185
1465077601,5194,5194
1465081202,5191,5191
1465084802,5155,5155
1465088402,5156,5156
1465092002,5099,5099
1465095602,5093,5093
1465099201,5085,5085
1465102802,5132,5132
1465106402,5088,5088
1465110001,5032,5032
1465113601,5062,5062
1465117202,5014,5014
1465120802,5027,5027
1465124401,5003,5003
1465128001,4972,4972
1465131602,4928,4928
1465135202,4783,4783
1465138802,4813,4813
1465142402,4813,4813
1465146001,4817,4817
1465149602,4771,4771
1465153201,4771,4771
1465156801,4684,4684
1465160401,4669,4669
1465164002,4641,4641
1465167601,4581,4581
1465171202,4516,4516
1465174802,4520,4520
1465178401,4553,4553
1465182002,4518,4518
1465185601,4539,4539
1465189201,4507,4507
1465192801,4520,4520
1465196402,4610,4610
1465200002,4653,4653
1465203601,4679,4679
1465207202,4696,4696
1465210802,4733,4733
1465214402,4753,4753
1465218002,4743,4743
1465221602,4698,4698
1465225202,4731,4731
1465228801,4736,4736
1465232402,4735,4735
1465236002,4765,4765
1465239601,4751,4751
1465243201,4718,4718
1465246802,4734,4734
1465250401,4752,4752
1465254002,4776,4776
1465257602,4764,4764
1465261201,4797,4797
1465264802,4779,4779
1465268402,4792,4792
1465272001,4779,4779
1465275601,4778,4778
1465279202,4786,4786
1465282802,4769,4769
1465286402,4770,4770
1465290001,4819,4819
1465293602,4838,4838
1465297202,4831,4831
1465300801,4836,4836
1465304401,4854,4854
1465308001,4832,4832
1465311601,4774,4774
1465315202,4790,4790
1465318801,4800,4800
1465322402,4817,4817
1465326001,4763,4763
1465329602,4787,4787
1465333202,4752,4752
1465336801,4734,4734
1465340402,4717,4717
1465344002,4660,4660
1465347602,4685,4685
1465351202,4704,4704
1465354802,4740,4740
1465358401,4757,4757
1465362002,4745,4745
1465365601,4726,4726
1465369201,4691,4691
1465372801,4720,4720
1465376401,4658,4658
1465380002,4652,4652
1465383602,4660,4660
1465387201,4722,4722
1465390802,4710,4710
1465394402,4692,4692
1465398001,4774,4774
1465401602,4745,4745
1465405202,4716,4716
1465408802,4696,4696
1465412402,4715,4715
1465416001,4709,4709
1465419602,4746,4746
1465423202,4784,4784
1465426801,4800,4800
1465430402,4805,4805
1465434002,4822,4822
1465437601,4851,4851
1465441202,4966,4966
1465444802,4968,4968
1465448402,5015,5015
1465452001,5056,5056
1465455602,5031,5031
1465459202,4989,4989
1465462802,4951,4951
1465466401,4956,4956
1465470002,4915,4915
1465473601,4882,4882
1465477201,5064,5064
1465480801,5023,5023
1465484402,4965,4965
1465488001,4978,4978
1465491601,5018,5018
1465495201,5001,5001
1465498801,5002,5002
1465502402,4973,4973
1465506002,4990,4990
1465509602,4992,4992
1465513202,4992,4992
1465516802,4984,4984
1465520402,5016,5016
1465524002,5013,5013
1465527602,4871,4871
1465531201,4869,4869
1465534802,4844,4844
1465538402,4888,4888
1465542001,4951,4951
1465545602,4938,4938
1465549202,4971,4971
1465552801,5149,5149
1465556402,5300,5300
1465560001,5405,5405
1465563602,5215,5215
1465567202,5173,5173
1465570801,5170,5170
1465574402,5167,5167
1465578002,5176,5176
1465581601,5225,5225
1465585201,5194,5194
1465588801,5213,5213
1465592402,5255,5255
1465596001,5254,5254
1465599602,5204,5204
1465603202,5179,5179
1465606802,5215,5215
1465610402,5216,5216
1465614001,5220,5220
1465617602,5225,5225
1465621202,5226,5226
1465624802,5202,5202
1465628402,5183,5183
1465632002,5206,5206
1465635602,5205,5205
1465639201,5062,5062
1465642802,4912,4912
1465646401,4803,4803
1465650001,4949,4949
1465653601,4978,4978
1465657201,4930,4930
1465660801,4878,4878
1465664401,4854,4854
1465668001,4862,4862
1465671601,4827,4827
1465675202,4808,4808
1465678802,4725,4725
1465682402,4712,4712
1465686001,4777,4777
1465689602,4741,4741
1465693202,4756,4756
1465696801,4783,4783
1465700402,4780,4780
1465704001,4755,4755
1465707601,4782,4782
1465711202,4781,4781
1465714801,4776,4776
1465718401,4777,4777
1465722001,4736,4736
1465725601,4691,4691
1465729202,4667,4667
1465732801,4713,4713
1465736401,4525,4525
1465740002,4481,4481
1465743602,4456,4456
1465747201,4441,4441
1465750802,4397,4397
1465754401,4378,4378
1465758001,4368,4368
1465761602,4490,4490
1465765202,4561,4561
1465768801,4562,4562
1465772401,4593,4593
1465776001,4579,4579
1465779602,4654,4654
1465783202,4644,4644
1465786802,4672,4672
1465790402,4792,4792
1465794002,4786,4786
1465797601,4813,4813
1465801201,4816,4816
1465804801,4829,4829
1465808401,4886,4886
1465812001,4917,4917
1465815602,4953,4953
1465819202,4957,4957
1465822802,5096,5096
1465826401,5123,5123
1465830002,5286,5286
1465833601,5416,5416
1465837202,5499,5499
1465840802,5543,5543
1465844402,5572,5572
1465848002,5546,5546
1465851602,5550,5550
1465855201,5595,5595
1465858802,5537,5537
1465862402,5533,5533
1465866001,5469,5469
1465869601,5473,5473
1465873202,5653,5653
1465876802,5677,5677
1465880401,5696,5696
1465884001,5688,5688
1465887601,5739,5739
1465891201,5795,5795
1465894802,5797,5797
1465898402,5784,5784
1465902001,5781,5781
1465905601,5742,5742
1465909201,5705,5705
1465912802,5665,5665
1465916401,5596,5596
1465920002,5423,5423
1465923602,5428,5428
1465927201,5368,5368
1465930801,5373,5373
1465934401,5267,5267
1465938001,5208,5208
1465941602,5189,5189
1465945201,5192,5192
1465948802,5125,5125
1465952402,5151,5151
1465956002,5162,5162
1465959601,5039,5039
1465963201,4884,4884
1465966801,4915,4915
1465970402,4939,4939
1465974001,4928,4928
1465977601,4908,4908
1465981202,4906,4906
1465984802,4889,4889
1465988401,4906,4906
1465992001,4880,4880
1465995601,4875,4875
1465999201,4872,4872
1466002801,4841,4841
1466006402,4864,4864
1466010001,4854,4854
1466013601,4853,4853
1466017202,4865,4865
1466020802,4886,4886
1466024402,4856,4856
1466028002,4825,4825
1466031602,4815,4815
1466035201,4819,4819
1466038802,4831,4831
1466042402,4797,4797
1466046001,4806,4806
1466049601,4855,4855
1466053201,4836,4836
1466056802,4808,4808
1466060401,4788,4788
1466064001,4797,4797
1466067602,4776,4776
1466071202,4848,4848
1466074802,4832,4832
1466078402,4870,4870
1466082002,4880,4880
1466085601,4871,4871
1466089202,4916,4916
1466092802,4862,4862
1466096401,4845,4845
1466100001,4912,4912
1466103602,4966,4966
1466107202,5053,5053
1466110801,5077,5077
1466114401,5119,5119
1466118002,5125,5125
1466121602,5095,5095
1466125202,5118,5118
1466128802,5172,5172
1466132401,5207,5207
1466136002,5200,5200
1466139602,5232,5232
1466143202,5252,5252
1466146802,5274,5274
1466150401,5306,5306
1466154002,5297,5297
1466157602,5283,5283
1466161201,5346,5346
1466164802,5391,5391
1466168401,5373,5373
1466172001,5322,5322
1466175601,5325,5325
1466179202,5299,5299
1466182801,5273,5273
1466186402,5262,5262
1466190001,5150,5150
1466193601,5083,5083
1466197201,4981,4981
1466200802,4984,4984
1466204401,4974,4974
1466208002,4946,4946
1466211602,4977,4977
1466215201,4978,4978
1466218802,4968,4968
1466222402,4905,4905
1466226002,4849,4849
1466229602,4927,4927
1466233202,4924,4924
1466236802,4940,4940
1466240401,4969,4969
1466244002,4956,4956
1466247601,4905,4905
1466251202,4913,4913
1466254801,4870,4870
1466258401,4848,4848
1466262001,4809,4809
1466265602,4821,4821
1466269202,4782,4782
1466272801,4764,4764
1466276402,4729,4729
1466280002,4740,4740
1466283601,4749,4749
1466287202,4732,4732
