DateTime,Entries,UniqueIPs
1465729200,97893,97893
1465731900,97052,97052
1465732800,97440,97440
1465734600,97439,97439
1465735500,96826,96826
1465736400,97416,97416
1465739100,96595,96595
1465740000,97069,97069
1465741800,97067,97067
1465742700,96285,96285
1465743600,96849,96849
1465746300,95942,95942
1465747200,96362,96362
1465748100,96361,96361
1465749000,96354,96354
1465749900,95292,95292
1465750800,95685,95685
1465753500,94784,94784
1465754400,95042,95042
1465756200,95036,95036
1465757100,94596,94596
1465758000,94874,94874
1465760700,94459,94459
1465761600,94686,94686
1465763400,94690,94690
1465764300,94273,94273
1465765200,94612,94612
1465767900,94187,94187
1465768800,94383,94383
1465770600,94385,94385
1465771500,94000,94000
1465772400,94332,94332
1465775100,93942,93942
1465776000,94092,94092
1465776900,94093,94093
1465777800,94094,94094
1465778700,93750,93750
1465779600,93909,93909
1465782300,93501,93501
1465783200,93741,93741
1465785000,93737,93737
1465785900,93337,93337
1465786800,93782,93782
1465789500,93323,93323
1465790400,93622,93622
1465792200,93624,93624
1465793100,92994,92994
1465794000,93345,93345
1465796700,92738,92738
1465797600,93218,93218
1465799400,93214,93214
1465800300,92608,92608
1465801200,93618,93618
1465803900,93206,93206
1465804800,93549,93549
1465806600,93545,93545
1465807500,93188,93188
1465808400,93821,93821
1465811100,93153,93153
1465812000,93560,93560
1465813800,93561,93561
1465814700,92922,92922
1465815600,93318,93318
1465818300,92721,92721
1465819200,93122,93122
1465821000,93122,93122
1465821900,92635,92635
1465822800,92994,92994
1465825500,92503,92503
1465826400,93256,93256
1465828200,93261,93261
1465829100,92781,92781
1465830000,93497,93497
1465832700,93077,93077
1465833600,93698,93698
1465835400,93701,93701
1465836300,93391,93391
1465837200,93883,93883
1465839900,93608,93608
1465840800,93995,93995
1465842600,93995,93995
1465843500,93726,93726
1465844400,94083,94083
1465847100,93892,93892
1465849800,93893,93893
1465850700,93685,93685
1465851600,93947,93947
1465854300,93721,93721
1465855200,93935,93935
1465857000,93934,93934
1465857900,93670,93670
1465861500,93423,93423
1465864200,93424,93424
1465865100,93182,93182
1465866000,93191,93191
1465867800,93192,93192
1465868700,92952,92952
1465871400,92945,92945
1465872300,92666,92666
1465875900,92385,92385
1465878600,92388,92388
1465879500,92051,92051
1465880400,92052,92052
1465883100,91798,91798
1465884900,91797,91797
1465885800,91802,91802
1465886700,91550,91550
1465887600,91554,91554
1465890300,91273,91273
1465893000,91276,91276
1465893900,90977,90977
1465897500,90654,90654
1465900200,90655,90655
1465901100,90316,90316
1465904700,90001,90001
1465907400,90001,90001
1465908300,89592,89592
1465911900,89094,89094
1465914600,89097,89097
1465915500,88595,88595
1465919100,87720,87720
1465920000,89525,89525
1465921800,89529,89529
1465922700,89004,89004
1465923600,89527,89527
1465926300,89106,89106
1465927200,90248,90248
1465929000,90243,90243
1465929900,90013,90013
1465930800,90250,90250
1465931700,90252,90252
1465933500,90053,90053
1465934400,90248,90248
1465936200,90253,90253
1465937100,89795,89795
1465938000,89989,89989
1465940700,89987,89987
1465941600,90347,90347
1465943400,90348,90348
1465944300,90343,90343
1465945200,90664,90664
1465947900,90661,90661
1465948800,90852,90852
1465950600,90852,90852
1465951500,90849,90849
1465952400,91076,91076
1465955100,91075,91075
1465956000,91418,91418
1465957800,91414,91414
1465958700,91411,91411
1465959600,91655,91655
1465962300,91654,91654
1465963200,91889,91889
1465965000,91893,91893
1465965900,91890,91890
1465966800,92271,92271
1465969500,92269,92269
1465970400,93061,93061
1465972200,93062,93062
1465973100,93057,93057
1465974000,93736,93736
1465976700,93734,93734
1465977600,94119,94119
1465979400,94121,94121
1465980300,94117,94117
1465981200,94735,94735
1465983900,94734,94734
1465984800,95109,95109
1465986600,95110,95110
1465987500,95108,95108
1465991100,95899,95899
1465992900,95894,95894
1465994700,86545,86545
1465997400,86546,86546
1465998300,83662,83662
1465999200,86982,86982
1466001000,86983,86983
1466001900,86982,86982
1466002800,87325,87325
1466005500,87296,87296
1466006400,87776,87776
1466008200,87779,87779
1466010000,87993,87993
1466012700,87723,87723
1466013600,87992,87992
1466015400,87991,87991
1466016300,87788,87788
1466017200,88049,88049
1466019900,87947,87947
1466020800,88184,88184
1466022600,88182,88182
1466023500,88134,88134
1466024400,88409,88409
1466027100,88407,88407
1466028000,88763,88763
1466028900,88761,88761
1466029800,88759,88759
1466030700,88757,88757
1466031600,89200,89200
1466035200,89406,89406
1466037000,89407,89407
1466038800,89738,89738
1466041500,89737,89737
1466042400,90212,90212
1466044200,90210,90210
1466045100,90209,90209
1466046000,90565,90565
1466048700,90563,90563
1466049600,90988,90988
1466051400,90992,90992
1466053200,91396,91396
1466055900,91395,91395
