DateTime,Entries,UniqueIPs
1464807822,2969,3019
1464811361,2970,3020
1464814959,2971,3021
1464817216,2974,3024
1464818559,2969,3019
1464822217,2974,3024
1464825755,2979,3029
1464828013,2980,3030
1464829356,2979,3029
1464832955,2980,3030
1464836554,2980,3030
1464840152,2981,3031
1464843751,2984,3034
1464846862,2979,3029
1464851009,2984,3034
1464854615,2980,3030
1464858208,2978,3028
1464861746,2978,3028
1464865406,2979,3029
1464868944,2978,3028
1464872604,2984,3034
1464876142,2978,3028
1464879131,2979,3029
1464883401,2980,3030
1464887046,2968,3018
1464889317,2969,3020
1464894197,2969,3020
1464897735,2966,3017
1464900053,2967,3018
1464904996,2966,3017
1464908595,2969,3020
1464910912,2969,3020
1464915793,2964,3015
1464919696,2965,3016
1464922990,2968,3019
1464926528,2959,3010
1464928968,2962,3013
1464933789,2956,3007
1464937393,2955,3006
1464940252,2952,3003
1464944584,2943,2994
1464948194,2945,2997
1464950439,2942,2994
1464955381,2944,2996
1464958980,2946,2998
1464961297,2943,2995
1464966178,2944,2996
1464969783,2940,2992
1464973376,2941,2993
1464976989,2935,2987
1464980150,2937,2989
1464980584,2940,2992
1464984178,2944,2996
1464987837,2942,2994
1464988203,2943,2995
1464991441,2943,2995
1464994973,2941,2993
1464998573,2945,2997
1464998939,2948,3000
1465002257,2950,3002
1465005770,2953,3005
1465009369,2955,3007
1465009736,2956,3008
1465012981,2959,3011
1465016574,2956,3008
1465020166,2957,3009
1465020533,2950,3002
1465023766,2951,3003
1465027366,2949,3001
1465031026,2949,3001
1465031391,2951,3003
1465034562,2949,3001
1465041760,2952,3004
1465042127,2951,3003
1465045741,2951,3003
1465049021,2955,3007
1465052559,2958,3010
1465052924,2958,3010
1465054943,2960,3012
1465059757,2960,3012
1465063416,2965,3017
1465063721,2966,3018
1465067022,2967,3019
1465070615,2977,3029
1465074152,2983,3035
1465074518,2983,3035
1465077813,2985,3037
1465081411,2984,3036
1465084949,2985,3036
1465085315,2986,3037
1465088549,2988,3039
1465092148,2991,3042
1465095747,2993,3044
1465096234,2990,3041
1465099407,2987,3038
1465107031,2983,3034
1465110223,2982,3033
1465113741,2983,3034
1465115577,2979,3030
1465117407,2982,3033
1465121007,2985,3036
1465124545,2986,3037
1465128143,2988,3039
1465131743,2986,3037
1465134426,2988,3039
1465139011,2990,3041
1465142600,2987,3038
1465144735,2995,3046
1465146199,2994,3045
1465149737,2997,3048
1465153398,2996,3046
1465155898,2998,3048
1465160535,3000,3050
1465164134,3001,3051
1465166695,3000,3050
1465171398,2997,3047
1465174992,2995,3045
1465177492,2996,3046
1465182190,2994,3044
1465185788,2984,3034
1465188289,2986,3036
1465192986,2979,3026
1465196592,2975,3022
1465199086,2977,3024
1465203783,2975,3022
1465207393,2975,3022
1465209273,2968,3015
1465214642,2970,3017
1465218179,2972,3019
1465221778,2968,3015
1465225377,2970,3017
1465232576,2970,3016
1465236236,2968,3014
1465239774,2972,3018
1465243372,2973,3019
1465247032,2968,3014
1465248985,2974,3020
1465254169,2973,3019
1465257769,2971,3017
1465259781,2972,3018
1465261368,2969,3015
1465268565,2965,3011
1465270578,2967,3013
1465275763,2964,3010
1465279362,2961,3007
1465281375,2962,3008
1465282963,2956,3002
1465286561,2955,3001
1465290220,2956,3002
1465292112,2954,3000
1465293819,2955,3001
1465297357,2956,3002
1465300957,2957,3003
1465302909,2959,3005
1465304617,2957,3003
1465308186,2959,3005
1465311754,2958,3004
1465313706,2959,3005
1465319013,2957,3003
1465322611,2959,3005
1465324503,2961,3007
1465329749,2962,3008
1465333347,2962,3008
1465335300,2968,3014
1465340606,2965,3011
1465344205,2967,3012
1465346158,2969,3014
1465347744,2968,3013
1465351403,2970,3015
1465355002,2967,3012
1465356954,2972,3017
1465358601,2969,3014
1465362140,2971,3016
1465365739,2963,3008
1465367751,2965,3010
1465369338,2963,3008
1465372936,2964,3009
1465376603,2967,3012
1465378549,2965,3010
1465380197,2965,3010
1465383795,2966,3011
1465387394,2971,3016
1465389346,2973,3018
1465390993,2974,3019
1465394593,2968,3013
1465398191,2970,3015
1465400144,2972,3017
1465405389,2972,3017
1465408988,2975,3020
1465412587,2975,3020
1465416125,2976,3021
1465419785,2971,3016
1465426983,2971,3016
1465430399,2972,3017
1465430583,2970,3015
1465434181,2972,3017
1465437779,2973,3018
1465441379,2974,3019
1465444977,2975,3020
1465448576,2975,3020
1465451687,2972,3017
1465455843,2970,3015
1465459381,2966,3011
1465466572,2963,3008
1465470171,2964,3009
1465472855,2965,3010
1465476543,2965,3010
1465480935,2969,3014
1465484534,2967,3012
1465488194,2970,3015
1465491732,2967,3012
1465494721,2970,3015
1465495331,2967,3012
1465498991,2969,3014
1465502529,2974,3019
1465505518,2977,3022
1465509728,2977,3022
1465513326,2971,3016
1465516315,2972,3017
1465520586,2972,3017
1465524185,2969,3014
1465527295,2966,3011
1465527783,2962,3007
1465531383,2960,3005
1465534981,2960,3005
1465538580,2961,3006
1465542179,2959,3004
1465545778,2962,3007
1465549377,2961,3006
1465552976,2964,3009
1465556575,2966,3011
1465559503,2967,3012
1465560175,2964,3009
1465563774,2967,3012
1465567372,2970,3015
