DateTime,AddedIPs,RemovedIPs
1464807822,7,4
1464811361,1,8
1464814959,2,0
1464817216,6,5
1464822217,5,9
1464825755,5,3
1464828013,1,5
1464832955,1,8
1464836554,5,0
1464840152,3,2
1464843751,3,7
1464846862,2,0
1464847410,0,6
1464851009,5,0
1464854615,3,5
1464858208,1,0
1464861746,3,4
1464865406,1,1
1464868944,3,0
1464872604,6,4
1464876142,2,0
1464879131,3,1
1464883401,1,4
1464887046,3,1
1464889317,2,1
1464890607,0,3
1464894197,7,4
1464900053,1,3
1464904996,5,7
1464908595,3,0
1464910912,2,0
1464915793,1,3
1464919696,5,4
1464922990,3,0
1464926528,2,5
1464928968,3,4
1464933789,2,1
1464937393,1,5
1464940252,0,3
1464944584,3,3
1464948194,3,0
1464950439,1,2
1464955381,3,3
1464958980,2,2
1464961297,4,4
1464966178,4,3
1464969783,2,0
1464973376,4,3
1464976989,0,2
1464980150,2,0
1464980584,3,0
1464984178,7,4
1464987837,1,4
1464988203,3,5
1464991441,2,0
1464994973,6,6
1464998573,4,0
1464998939,3,6
1465002257,3,1
1465005770,5,7
1465009369,6,3
1465009736,1,0
1465012981,3,0
1465016574,4,2
1465020166,2,4
1465020533,0,3
1465023766,3,6
1465027366,4,2
1465031026,2,5
1465031391,2,0
1465034562,2,0
1465038161,0,3
1465041760,3,1
1465042127,2,1
1465045741,3,1
1465049021,6,0
1465052559,3,5
1465052924,1,0
1465054943,2,0
1465059757,2,3
1465063416,5,0
1465063721,1,4
1465067022,2,0
1465070615,13,1
1465074152,6,3
1465074518,2,5
1465077813,2,0
1465081411,8,3
1465084949,4,2
1465085315,1,0
1465088549,2,0
1465092148,4,4
1465095747,4,7
1465096234,3,1
1465099407,0,3
1465102944,0,1
1465107031,5,5
1465113741,4,6
1465117407,3,0
1465121007,4,8
1465124545,1,3
1465128143,3,3
1465131743,2,2
1465134426,2,0
1465139011,4,2
1465142600,2,3
1465144735,8,0
1465149737,3,1
1465153398,3,8
1465155898,3,0
1465157003,0,2
1465160535,5,3
1465164134,1,0
1465166695,5,5
1465171398,1,2
1465174992,2,3
1465177492,1,0
1465182190,5,5
1465185788,1,0
1465188289,2,1
1465192986,2,5
1465196592,0,2
1465199086,2,1
1465203783,0,3
1465207393,1,6
1465214642,2,0
1465218179,2,1
1465221778,2,0
1465225377,2,2
1465228976,0,2
1465232576,3,0
1465236236,2,3
1465239774,6,3
1465243372,1,5
1465247032,2,0
1465248985,6,5
1465254169,3,4
1465257769,1,2
1465259781,1,2
1465261368,1,2
1465264967,0,5
