DateTime,AddedIPs,RemovedIPs
1464832955,2,6
1464836554,7,7
1464840152,4,6
1464843751,4,3
1464846862,2,3
1464847410,0,1
1464851009,6,4
1464854615,3,4
1464858208,1,5
1464861746,3,2
1464865406,1,3
1464868944,4,3
1464872604,6,2
1464876142,3,3
1464879131,3,2
1464883401,5,5
1464887046,4,5
1464889317,2,2
1464890607,0,1
1464894197,7,3
1464897735,0,1
1464900053,2,4
1464901398,0,2
1464904996,5,4
1464908595,3,3
1464910912,3,4
1464912194,0,1
1464915793,1,0
1464919696,6,7
1464922990,3,3
1464926528,2,2
1464928968,3,4
1464930188,0,1
1464933789,2,2
1464937393,2,3
1464940252,0,3
1464944584,3,3
1464948194,3,5
1464950439,1,1
1464955381,4,2
1464958980,3,1
1464961297,4,1
1464962585,0,2
1464966178,5,4
1464969783,2,2
1464973376,7,4
1464976989,2,1
1464980150,3,3
1464980584,6,0
1464984178,7,2
1464987837,3,4
1464988203,4,3
1464991441,2,1
1464994973,6,3
1464998573,4,2
1464998939,3,5
1465002257,3,1
1465005770,5,1
1465009369,7,8
1465009736,1,4
1465012981,3,0
1465016574,4,4
1465020166,2,4
1465020533,0,3
1465023766,3,0
1465027366,4,7
1465031026,2,4
1465031391,2,4
1465034562,2,0
1465038161,1,2
1465041760,4,2
1465042127,2,5
1465045741,3,2
1465049021,6,3
1465052559,3,7
1465052924,1,7
1465054943,2,0
1465056218,0,1
1465059757,3,4
1465063416,6,6
1465063721,1,2
1465067022,2,2
1465070615,13,10
1465074152,6,5
1465074518,3,1
1465077813,2,2
1465081411,8,5
1465084949,4,5
1465085315,1,1
1465088549,3,1
1465092148,4,4
1465095747,5,5
1465096234,3,4
1465099407,0,1
1465102944,0,4
1465107031,5,6
1465110223,1,0
1465113741,5,3
1465115577,0,3
1465117407,4,0
1465121007,4,5
1465124545,1,3
1465128143,4,3
1465131743,3,7
1465134426,5,1
1465135425,0,1
1465139011,4,3
1465142600,3,5
1465144735,10,7
1465146199,0,1
1465149737,4,3
1465153398,7,2
1465155898,5,5
1465160535,5,6
1465164134,3,3
1465166695,6,6
1465171398,2,3
1465174992,4,2
1465177492,5,3
1465182190,8,4
1465185788,1,1
1465188289,3,1
1465189388,0,1
1465192986,3,4
1465196592,1,3
1465199086,6,3
1465203783,2,1
1465207393,4,1
1465209273,1,3
1465214642,4,5
1465218179,2,3
1465221778,7,3
1465225377,3,6
1465228976,1,4
1465232576,5,5
1465236236,3,6
1465239774,6,4
1465243372,2,5
1465247032,3,3
1465248985,6,5
1465250630,0,2
1465254169,3,3
1465257769,1,3
1465259781,1,3
1465261368,1,0
1465264967,1,0
1465268565,4,7
1465270578,3,3
1465279362,3,4
1465281375,4,2
1465286561,2,5
1465290220,1,2
1465292112,1,2
1465293819,1,1
1465297357,3,1
1465300957,4,1
1465302909,3,4
1465304617,0,1
1465308186,4,2
1465311754,3,2
1465313706,1,1
1465319013,3,6
1465322611,4,3
1465324503,3,6
1465329749,3,1
1465333347,7,4
1465335300,8,5
1465340606,1,4
1465344205,4,4
1465346158,2,3
1465351403,4,3
1465355002,6,8
1465356954,6,4
1465362140,2,1
1465365739,4,4
1465367751,2,5
1465372936,1,3
1465376603,4,0
1465378549,1,2
1465380197,1,0
1465383795,2,9
1465387394,6,6
1465389346,3,3
1465390993,1,0
1465394593,1,8
1465398191,3,6
1465400144,2,2
1465405389,2,3
1465408988,4,2
1465412587,4,3
1465416125,3,2
1465419785,0,9
1465423324,0,2
1465426983,3,3
1465430399,2,2
1465434181,3,2
1465437779,4,2
1465441379,8,6
1465444977,3,2
1465448576,5,7
1465451687,2,2
1465455843,3,1
1465459381,1,3
1465462424,0,1
1465466572,2,3
1465470171,2,2
1465472855,2,3
1465476543,6,1
1465477336,9,0
1465480935,7,1
1465484534,5,2
1465488194,4,4
1465491732,3,2
1465494721,3,3
1465498991,5,5
1465502529,7,7
1465505518,3,3
1465509728,5,2
1465513326,2,2
1465516315,2,2
1465516986,0,1
1465520586,2,2
1465524185,0,1
1465527295,5,7
1465531383,2,2
1465534981,4,4
1465538580,2,2
1465542179,4,3
1465545778,4,3
1465549377,2,1
1465552976,7,3
1465556575,4,3
1465559503,4,6
1465563774,3,3
1465567372,6,7
1465570971,7,4
1465574571,2,2
1465578169,5,7
1465580318,2,0
1465581782,1,3
1465585320,2,2
1465588980,8,8
1465592580,6,1
1465596184,5,5
1465599106,2,3
1465603376,4,2
1465607037,2,2
1465610575,2,1
1465614174,5,6
1465617772,1,1
1465621386,0,2
1465624971,4,4
1465628571,2,4
1465632232,3,6
1465635769,3,4
1465639366,3,7
1465642966,3,2
1465646570,2,3
1465650168,4,2
1465653832,3,2
1465657363,3,4
1465660989,3,3
1465664560,1,0
1465668158,3,4
1465671818,2,4
1465675357,4,3
1465679015,1,1
1465682554,5,3
1465686153,3,2
1465689813,1,2
1465693413,3,4
1465697012,1,1
1465700549,7,4
1465704149,5,4
1465707809,1,2
1465711407,6,6
1465714945,1,0
1465717934,7,4
1465722205,4,6
1465725803,3,4
1465728731,3,3
1465729402,0,1
1465733002,6,2
1465736540,3,0
1465739529,2,4
1465743799,1,6
1465747398,4,1
1465750997,3,3
1465754596,1,3
1465758195,5,4
1465761794,5,5
1465765393,4,2
1465768994,4,3
1465772593,1,3
1465776192,5,2
1465779790,1,1
1465783390,2,7
1465786989,5,7
1465790587,3,4
1465794186,3,3
1465797785,4,5
1465801384,4,5
1465804983,0,3
1465808582,9,4
1465812182,1,2
1465815787,2,3
1465819379,3,2
1465822978,4,6
1465825907,8,3
1465830177,3,2
1465833784,2,2
1465836279,1,1
1465840973,7,3
1465844572,2,2
1465847501,4,7
1465851770,2,4
1465855369,2,5
1465858297,2,3
1465859028,0,1
1465862566,4,3
1465866231,2,4
1465868488,1,1
1465873368,6,5
1465876968,4,4
1465879285,6,5
1465884165,2,4
1465887826,2,7
1465890082,7,4
1465895024,6,4
1465898623,1,5
1465900940,2,0
1465905759,3,0
1465909358,3,3
1465913018,7,6
1465916557,5,4
1465918874,2,4
1465923815,2,5
1465926743,2,2
1465930952,8,5
1465934613,3,7
1465937174,5,1
1465938211,0,1
1465941748,2,2
1465945408,3,3
1465948337,2,2
1465952606,3,3
1465956205,6,3
1465959133,5,5
1465963403,7,6
1465967003,5,5
1465969931,2,3
1465974141,6,3
1465977800,2,7
1465980179,5,3
1465981400,1,0
1465984999,1,4
1465988598,2,4
1465991586,3,8
1465995795,4,5
1465999394,4,3
1466002323,5,5
1466006592,3,3
1466010198,4,3
1466012509,4,7
1466017390,4,5
1466020990,4,0
1466023308,4,4
1466028188,2,4
1466031727,4,1
1466034167,3,4
1466038987,6,3
1466042586,3,6
1466045025,8,7
1466049784,5,6
1466053383,6,8
1466055761,3,7
1466060581,5,3
1466064180,4,4
1466066619,4,4
1466071378,4,1
1466074976,3,4
1466077355,1,2
1466082174,4,2
1466085773,3,3
1466088152,2,2
1466092971,3,3
1466096631,6,6
1466098949,2,1
1466100321,0,2
1466103829,1,2
1466107367,7,3
1466109746,2,0
1466114565,5,2
1466118226,3,5
1466120604,0,1
1466121824,0,1
1466125363,6,7
1466128961,0,3
1466131340,4,4
1466132621,0,1
1466136159,3,4
1466139758,2,3
1466142137,3,6
1466143419,0,5
1466146956,3,2
1466150555,4,5
1466152995,3,5
1466157814,5,7
1466161413,9,3
1466164951,2,0
1466168550,2,4
1466172210,5,8
1466175810,4,3
1466179409,6,6
1466183007,4,0
1466186606,4,1
1466190205,3,1
1466193194,1,5
1466197343,2,2
1466200943,1,1
1466204541,1,2
1466208199,3,3
1466211249,2,3
1466211798,0,1
1466215398,3,1
1466218936,2,3
1466222656,5,8
1466226195,2,4
1466229793,1,0
1466232172,2,1
1466237073,3,5
1466240597,5,5
1466244189,2,3
1466247729,1,1
1466251021,2,2
1466254986,1,0
1466258585,2,2
1466261757,2,2
1466265783,2,2
1466269383,1,3
1466272982,1,4
1466276580,1,1
1466280179,4,1
1466283229,1,2
1466287377,6,2
1466290976,2,4
1466293416,4,5
1466298174,4,2
1466301774,5,1
1466304213,4,4
1466305372,0,1
1466309146,4,4
1466312571,2,2
1466315010,2,1
1466316169,1,0
1466319768,2,6
1466323367,2,3
1466325807,0,2
1466330566,4,4
1466334165,1,4
1466337763,3,2
1466341362,2,0
1466344046,4,3
1466349293,1,7
1466352221,3,4
1466355758,2,0
1466359419,2,5
1466361797,8,3
1466363017,0,1
1466366556,8,2
1466370215,1,2
1466377414,3,3
1466380952,1,1
1466383513,4,5
1466388149,7,5
1466391811,6,8
1466394310,4,3
1466398946,2,2
1466402606,5,8
1466405046,2,2
1466409804,3,1
1466413404,1,0
1466415904,4,1
1466417002,0,1
1466420542,3,1
1466424201,4,3
1466426701,2,2
1466431398,3,4
1466434998,4,3
1466437437,7,3
1466442204,2,6
1466445794,13,2
1466449394,3,5
1466452993,6,6
1466456042,4,0
1466460191,3,4
1466463790,3,1
1466466841,4,0
1466470990,2,3
1466474589,1,3
