DateTime,Entries,UniqueIPs
1464807822,1026,1026
1464811361,1025,1025
1464814959,1024,1024
1464817216,1028,1028
1464822217,1025,1025
1464825755,1028,1028
1464828013,1027,1027
1464832955,1023,1023
1464836554,1023,1023
1464840152,1021,1021
1464843751,1022,1022
1464846862,1021,1021
1464847410,1020,1020
1464851009,1022,1022
1464854615,1021,1021
1464858208,1017,1017
1464861746,1018,1018
1464865406,1016,1016
1464868944,1017,1017
1464872604,1021,1021
1464876142,1021,1021
1464879131,1022,1022
1464883401,1022,1022
1464887046,1021,1021
1464889317,1021,1021
1464890607,1020,1020
1464894197,1024,1024
1464897735,1023,1023
1464900053,1021,1021
1464901398,1019,1019
1464904996,1020,1020
1464908595,1020,1020
1464910912,1019,1019
1464912194,1018,1018
1464915793,1019,1019
1464919696,1018,1018
1464922990,1018,1018
1464926528,1018,1018
1464928968,1017,1017
1464930188,1016,1016
1464933789,1016,1016
1464937393,1015,1015
1464940252,1012,1012
1464944584,1012,1012
1464948194,1010,1010
1464950439,1010,1010
1464955381,1012,1012
1464958980,1014,1014
1464961297,1017,1017
1464962585,1015,1015
1464966178,1016,1016
1464969783,1016,1016
1464973376,1019,1019
1464976989,1020,1020
1464980150,1020,1020
1464980584,1026,1026
1464984178,1031,1031
1464987837,1030,1030
1464988203,1031,1031
1464991441,1032,1032
1464994973,1035,1035
1464998573,1037,1037
1464998939,1035,1035
1465002257,1037,1037
1465005770,1041,1041
1465009369,1040,1040
1465009736,1037,1037
1465012981,1040,1040
1465016574,1040,1040
1465020166,1038,1038
1465020533,1035,1035
1465023766,1038,1038
1465027366,1035,1035
1465031026,1033,1033
1465031391,1031,1031
1465034562,1033,1033
1465038161,1032,1032
1465041760,1034,1034
1465042127,1031,1031
1465045741,1032,1032
1465049021,1035,1035
1465052559,1031,1031
1465052924,1025,1025
1465054943,1027,1027
1465056218,1026,1026
1465059757,1025,1025
1465063416,1025,1025
1465063721,1024,1024
1465067022,1024,1024
1465070615,1027,1027
1465074152,1028,1028
1465074518,1030,1030
1465077813,1030,1030
1465081411,1033,1033
1465084949,1032,1032
1465085315,1032,1032
1465088549,1034,1034
1465092148,1034,1034
1465095747,1034,1034
1465096234,1033,1033
1465099407,1032,1032
1465102944,1028,1028
1465107031,1027,1027
1465110223,1028,1028
1465113741,1030,1030
1465115577,1027,1027
1465117407,1031,1031
1465121007,1030,1030
1465124545,1028,1028
1465128143,1029,1029
1465131743,1025,1025
1465134426,1029,1029
1465135425,1028,1028
1465139011,1029,1029
1465142600,1027,1027
1465144735,1030,1030
1465146199,1029,1029
1465149737,1030,1030
1465153398,1035,1035
1465155898,1035,1035
1465160535,1034,1034
1465164134,1034,1034
1465166695,1034,1034
1465171398,1033,1033
1465174992,1035,1035
1465177492,1037,1037
1465182190,1041,1041
1465185788,1041,1041
1465188289,1043,1043
1465189388,1042,1042
1465192986,1041,1041
1465196592,1039,1039
1465199086,1042,1042
1465203783,1043,1043
1465207393,1046,1046
1465209273,1044,1044
1465214642,1043,1043
1465218179,1042,1042
1465221778,1046,1046
1465225377,1043,1043
1465228976,1040,1040
1465232576,1040,1040
1465236236,1037,1037
1465239774,1039,1039
1465243372,1036,1036
1465247032,1036,1036
1465248985,1037,1037
1465250630,1035,1035
1465254169,1035,1035
1465257769,1033,1033
1465259781,1031,1031
1465261368,1032,1032
1465264967,1033,1033
1465268565,1030,1030
1465270578,1030,1030
1465279362,1029,1029
1465281375,1031,1031
1465286561,1028,1028
1465290220,1027,1027
1465292112,1026,1026
1465293819,1026,1026
1465297357,1028,1028
1465300957,1031,1031
1465302909,1030,1030
1465304617,1029,1029
1465308186,1031,1031
1465311754,1032,1032
1465313706,1032,1032
1465319013,1029,1029
1465322611,1030,1030
1465324503,1027,1027
1465329749,1029,1029
1465333347,1032,1032
1465335300,1035,1035
1465340606,1032,1032
1465344205,1032,1032
1465346158,1031,1031
1465351403,1032,1032
1465355002,1030,1030
1465356954,1032,1032
1465362140,1033,1033
1465365739,1033,1033
1465367751,1030,1030
1465372936,1028,1028
1465376603,1032,1032
1465378549,1031,1031
1465380197,1032,1032
1465383795,1025,1025
1465387394,1025,1025
1465389346,1025,1025
1465390993,1026,1026
1465394593,1019,1019
1465398191,1016,1016
1465400144,1016,1016
1465405389,1015,1015
1465408988,1017,1017
1465412587,1018,1018
1465416125,1019,1019
1465419785,1010,1010
1465423324,1008,1008
1465426983,1008,1008
1465430399,1008,1008
1465434181,1009,1009
1465437779,1011,1011
1465441379,1013,1013
1465444977,1014,1014
1465448576,1012,1012
1465451687,1012,1012
1465455843,1014,1014
1465459381,1012,1012
1465462424,1011,1011
1465466572,1010,1010
1465470171,1010,1010
1465472855,1009,1009
1465476543,1014,1014
1465477336,1023,1023
1465480935,1029,1029
1465484534,1032,1032
1465488194,1032,1032
1465491732,1033,1033
1465494721,1033,1033
1465498991,1033,1033
1465502529,1033,1033
1465505518,1033,1033
1465509728,1036,1036
1465513326,1036,1036
1465516315,1036,1036
1465516986,1035,1035
1465520586,1035,1035
1465524185,1034,1034
1465527295,1032,1032
1465531383,1032,1032
1465534981,1032,1032
1465538580,1032,1032
1465542179,1033,1033
1465545778,1034,1034
1465549377,1035,1035
1465552976,1039,1039
1465556575,1040,1040
1465559503,1038,1038
1465563774,1038,1038
1465567372,1037,1037
1465570971,1040,1040
1465574571,1040,1040
1465578169,1038,1038
1465580318,1040,1040
1465581782,1038,1038
1465585320,1038,1038
1465588980,1038,1038
1465592580,1043,1043
1465596184,1043,1043
1465599106,1042,1042
1465603376,1044,1044
1465607037,1044,1044
1465610575,1045,1045
1465614174,1044,1044
1465617772,1044,1044
1465621386,1042,1042
1465624971,1042,1042
1465628571,1040,1040
1465632232,1037,1037
1465635769,1036,1036
1465639366,1032,1032
1465642966,1033,1033
1465646570,1032,1032
1465650168,1034,1034
1465653832,1035,1035
1465657363,1034,1034
1465660989,1034,1034
1465664560,1035,1035
1465668158,1034,1034
1465671818,1032,1032
1465675357,1033,1033
1465679015,1033,1033
1465682554,1035,1035
1465686153,1036,1036
1465689813,1035,1035
1465693413,1034,1034
1465697012,1034,1034
1465700549,1037,1037
1465704149,1038,1038
1465707809,1037,1037
1465711407,1037,1037
1465714945,1038,1038
1465717934,1041,1041
1465722205,1039,1039
1465725803,1038,1038
1465728731,1038,1038
1465729402,1037,1037
1465733002,1041,1041
1465736540,1044,1044
1465739529,1042,1042
1465743799,1037,1037
1465747398,1040,1040
1465750997,1040,1040
1465754596,1038,1038
1465758195,1039,1039
1465761794,1039,1039
1465765393,1041,1041
1465768994,1042,1042
1465772593,1040,1040
1465776192,1043,1043
1465779790,1043,1043
1465783390,1038,1038
1465786989,1036,1036
1465790587,1035,1035
1465794186,1035,1035
1465797785,1034,1034
1465801384,1033,1033
1465804983,1030,1030
1465808582,1035,1035
1465812182,1034,1034
1465815787,1033,1033
1465819379,1034,1034
1465822978,1032,1032
1465825907,1037,1037
1465830177,1038,1038
1465833784,1038,1038
1465836279,1038,1038
1465840973,1042,1042
1465844572,1042,1042
1465847501,1039,1039
1465851770,1037,1037
1465855369,1034,1034
1465858297,1033,1033
1465859028,1032,1032
1465862566,1033,1033
1465866231,1031,1031
1465868488,1031,1031
1465873368,1032,1032
1465876968,1032,1032
1465879285,1033,1033
1465884165,1031,1031
1465887826,1026,1026
1465890082,1029,1029
1465895024,1031,1031
1465898623,1027,1027
1465900940,1029,1029
1465905759,1032,1032
1465909358,1032,1032
1465913018,1033,1033
1465916557,1034,1034
1465918874,1032,1032
1465923815,1029,1029
1465926743,1029,1029
1465930952,1032,1032
1465934613,1028,1028
1465937174,1032,1032
1465938211,1031,1031
1465941748,1031,1031
1465945408,1031,1031
1465948337,1031,1031
1465952606,1031,1031
1465956205,1034,1034
1465959133,1034,1034
1465963403,1035,1035
1465967003,1035,1035
1465969931,1034,1034
