DateTime,AddedIPs,RemovedIPs
1464073024,2,0
1464076624,2,0
1464083827,1,1
1464087424,0,3
1464091024,0,6
1464094624,0,34
1464098223,0,97
1464101822,2,96
1464105422,0,61
1464109021,1,25
1464112622,2,5
1464116222,1,9
1464119822,1,16
1464123422,2,21
1464127022,1,0
1464130622,1,0
1464134222,2,1
1464137822,4,0
1464141422,5,0
1464145021,8,1
1464148622,6,1
1464152222,4,0
1464155822,2,0
1464159422,7,2
1464163022,4,1
1464166622,2,0
1464170222,3,1
1464173821,3,0
1464177422,1,0
1464181022,52,0
1464184622,56,0
1464188222,46,2
1464191823,26,0
1464195423,81,1
1464199024,44,2
1464202624,36,1
1464206526,6,1
1464210126,7,2
1464213725,2,1
1464217326,4,1
1464220926,7,1
1464224526,9,5
1464228126,10,6
1464231725,2,9
1464235623,0,5
1464239224,3,3
1464242824,0,2
1464246424,1,6
1464250026,1,6
1464253625,3,3
1464257224,2,3
1464260824,0,3
1464264424,14,5
1464268026,4,55
1464271624,3,58
1464275224,1,43
1464278824,3,30
1464282423,1,94
1464286023,0,27
1464289622,0,34
1464293223,1,2
1464296823,1,8
1464300423,5,2
1464304023,1,5
1464307623,1,9
1464311222,6,6
1464314822,5,9
1464318422,2,2
1464322023,2,1
1464325924,10,3
1464329525,7,0
1464336725,0,1
1464340324,0,3
1464343925,1,1
1464351125,14,16
1464354725,14,4
1464358325,5,2
1464361925,3,1
1464365525,46,3
1464369126,49,1
1464372725,16,1
1464376325,15,0
1464379926,13,1
1464383526,7,1
1464387126,5,4
1464390726,4,1
1464394326,5,1
1464397926,4,6
1464401526,4,5
1464405126,9,1
1464408727,8,3
1464412326,11,9
1464415926,17,7
1464419526,11,0
1464423126,5,0
1464430326,0,1
1464433926,0,1
1464437526,0,13
1464441127,0,12
1464445024,0,6
1464448624,0,7
1464452224,1,44
1464455823,0,50
1464459423,0,13
1464463024,0,17
1464466623,0,11
1464470223,0,7
1464473823,1,4
1464477422,0,3
1464481022,1,5
1464484623,0,5
1464488223,0,3
1464491822,0,10
1464495422,0,9
1464499022,0,12
1464502622,0,17
1464506222,0,10
1464509822,0,5
1464513422,0,1
1464517021,1,0
1464520621,0,1
1464527822,0,1
1464538621,0,1
1464545822,1,0
1464549422,1,0
1464560222,0,1
1464567421,0,1
1464574622,1,0
1464578222,1,0
1464599821,2,0
1464607022,6,1
1464610622,1,0
1464614222,2,0
1464617822,1,0
1464621422,2,0
1464632222,0,1
1464635822,1,0
1464639422,1,0
1464646622,2,0
1464650221,1,0
1464657422,1,0
1464661022,0,1
1464664621,0,1
1464671822,1,0
1464675422,4,0
1464679022,1,0
1464682622,2,1
1464686221,1,1
1464689822,5,1
1464693422,0,6
1464697022,5,0
1464700623,8,3
1464704223,9,1
1464707823,34,2
1464711423,41,0
1464715024,198,0
1464718624,105,0
1464722225,32,1
1464725824,26,1
1464729424,13,0
1464733024,1,2
1464736624,0,1
1464751025,1,0
1464754624,1,0
1464761824,0,3
1464765425,2,1
1464769024,0,2
