DateTime,AddedIPs,RemovedIPs
1464017581,4,0
1464024781,2,2
1464028382,0,4
1464031981,5,0
1464039181,2,3
1464046381,3,3
1464053581,2,2
1464057181,0,2
1464064381,6,4
1464067982,5,0
1464071581,0,2
1464075181,5,0
1464078781,0,3
1464082381,1,0
1464085982,0,6
1464089581,5,0
1464096781,3,4
1464103981,7,3
1464107582,0,1
1464111181,5,0
1464118381,1,5
1464121981,0,8
1464125582,1,0
1464129181,0,3
1464132782,7,0
1464139982,4,6
1464147181,5,6
1464154382,2,5
1464161581,6,4
1464165181,5,0
1464172381,6,0
1464175981,0,7
1464179581,2,5
1464183182,2,0
1464186781,0,5
1464190381,10,0
1464193981,0,6
1464197582,11,0
1464204781,7,5
1464211981,6,3
1464219181,3,4
1464222781,0,2
1464226381,3,0
1464229981,0,7
1464233581,6,0
1464237181,0,5
1464240781,1,0
1464247981,5,6
1464251581,0,4
1464255181,5,7
1464262381,4,1
1464265982,0,1
1464269582,4,0
1464273181,0,2
1464276781,6,0
1464280381,9,4
1464287581,1,8
1464294781,2,6
1464301981,3,4
1464305582,6,0
1464312781,3,1
1464316382,2,0
1464319981,0,6
1464323582,3,0
1464327181,0,4
1464330781,3,3
1464337981,3,0
1464341581,0,5
1464345181,3,8
1464352381,5,0
1464355981,1,6
1464363181,3,12
1464370381,4,2
1464377581,5,5
1464381181,2,0
1464388381,1,4
1464391981,0,6
1464395581,6,0
1464399181,0,7
1464402781,3,0
1464409981,0,9
1464413581,2,4
1464420781,11,2
1464424382,5,0
1464427981,0,2
1464431581,4,0
1464435181,0,3
1464438782,3,1
1464445981,5,10
1464453181,3,0
1464456781,0,2
1464460381,7,4
1464467581,0,2
1464471181,3,0
1464478381,2,2
1464485581,0,3
1464492781,4,4
1464499981,2,1
1464503581,0,5
1464507182,2,0
1464510781,0,4
1464514381,1,0
1464517981,0,4
1464521581,2,0
1464528781,7,0
1464532381,5,4
1464539581,5,5
1464546781,2,6
1464550381,0,4
1464553981,5,4
1464561181,6,0
1464564781,0,5
1464568381,2,0
1464571981,0,3
1464575581,3,4
1464582781,5,0
1464586381,0,3
1464589981,5,0
1464593581,0,2
1464597181,1,1
1464604381,1,4
1464611581,1,0
1464615181,0,12
1464618781,4,0
1464622381,0,3
1464625981,7,0
1464629581,0,1
1464633181,10,0
1464636781,0,7
1464640382,2,0
1464643982,0,5
1464647581,4,0
1464654781,6,6
1464661981,5,2
1464669181,5,3
1464676381,3,4
1464679981,0,5
1464683581,4,0
1464690781,4,2
1464694381,0,2
1464697982,2,0
1464705181,2,0
1464712381,0,3
1464715981,4,3
1464719581,8,0
1464726781,0,4
1464733981,2,5
1464737581,0,3
1464741181,2,0
1464744781,0,3
1464748381,7,0
1464751981,0,1
1464755581,5,0
1464759181,0,3
1464762781,2,0
1464766381,0,6
1464769981,5,0
1464773581,0,7
1464777182,5,0
1464784381,6,3
1464791581,4,1
1464798782,9,7
1464805982,5,7
1464813181,3,2
1464820381,2,2
1464827581,2,5
1464834781,2,5
1464841981,6,1
1464849181,2,6
1464856381,7,4
1464863581,4,5
1464870781,3,3
1464874381,0,5
1464877981,3,0
1464881581,0,10
1464885182,2,0
1464892381,5,4
1464899581,3,1
1464906781,3,3
1464910381,0,2
1464913981,7,0
1464917581,0,4
1464921181,2,0
1464928382,0,4
1464935581,5,2
1464939181,0,4
1464942782,4,0
1464949981,8,4
1464957182,8,1
1464964381,2,4
1464967981,0,4
1464975181,0,6
1464978781,10,0
1464982381,0,5
1464985981,6,0
1464989581,0,8
1464993182,6,0
1465000381,4,2
1465007581,3,6
1465011181,0,3
1465014781,4,0
1465018381,0,4
1465021981,3,0
1465029182,3,2
1465032781,0,3
1465036381,4,0
